checkpoint,configuration,step,stage,particles,gradient_reference,exact_gradient_norm_max,exact_chi_s_max,exact_chi_r_max,net_strength_rate_norm,chi_gamma_median,chi_gamma_p95,chi_gamma_p99,chi_gamma_max,actual_gradient_evaluator,rate_relative_l2_on_targets
leapfrog,exact_pair_rk3_isolated,1,1,14080,independent_f64_source_blob_gradient_on_64_targets,43.388763002178656,0.08630612748385635,0.23887325345802363,1.4405456295990328e-06,0.026026064683215847,0.09773786030392671,0.13349531392383804,0.17419694062987529,none_pairwise_rate_uses_target_source_mean_core_radius,0.02461775772539496
leapfrog,exact_pair_rk3_isolated,1,2,14080,independent_f64_source_blob_gradient_on_64_targets,43.015521712668,0.08764784345314855,0.23677922311402452,3.3859189622897636e-06,0.025741790008534472,0.09796672964517018,0.13209445207058948,0.17324897532261846,none_pairwise_rate_uses_target_source_mean_core_radius,0.023044281625674762
leapfrog,exact_pair_rk3_isolated,1,3,14080,independent_f64_source_blob_gradient_on_64_targets,43.532802721402454,0.0875031402023582,0.23965304853454672,2.82325235241854e-06,0.026076892310163094,0.09959291422480872,0.13282258387858456,0.17665391870360359,none_pairwise_rate_uses_target_source_mean_core_radius,0.023886706076496157
leapfrog,exact_pair_rk3_isolated,2,1,14080,independent_f64_source_blob_gradient_on_64_targets,43.458061694688624,0.08820525384195743,0.23922535330240344,2.515410417343059e-06,0.025970659479680053,0.0997552448015141,0.13414237169901164,0.1753752797541182,none_pairwise_rate_uses_target_source_mean_core_radius,0.02306751827258399
leapfrog,exact_pair_rk3_isolated,2,2,14080,independent_f64_source_blob_gradient_on_64_targets,43.08441156835734,0.08858568246743961,0.23713785149958463,1.1435060297936058e-06,0.025779203516715858,0.09798986641954593,0.13067160437430528,0.16056270087614777,none_pairwise_rate_uses_target_source_mean_core_radius,0.021409919206369237
leapfrog,exact_pair_rk3_isolated,2,3,14080,independent_f64_source_blob_gradient_on_64_targets,43.60176761646308,0.08893376552687642,0.24000766789008138,2.194478357079806e-06,0.02607635122262504,0.09941523687882046,0.13366828713590406,0.17159475145052155,none_pairwise_rate_uses_target_source_mean_core_radius,0.02228550574809963
