cloud,strength_scale,mode,method,step,time,total_strength_drift,total_strength_drift_abs,linear_impulse_drift,linear_impulse_drift_abs,angular_impulse_drift,angular_impulse_drift_abs,energy_drift,energy_drift_abs
single_ring,0.75,DIRECT,fractional_x_gamma,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,1,0.004,2.68924726368169e-20,1.2672779170903276e-19,1.4755119175738224e-19,3.4765930504005814e-19,1.1426902601752423e-16,1.7949336633475753e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,2,0.008,5.378494527363379e-20,2.5345558341806546e-19,3.055131697702742e-19,7.198484472939185e-19,1.0030168587054442e-16,1.5755351973678675e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,3,0.012,8.0830801141617e-20,3.8090617657542214e-19,6.435930039321023e-19,1.5164302897911595e-18,5.800904123973158e-17,9.112038890026403e-17,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,4,0.016,1.079073336558333e-19,5.085013300224428e-19,4.604731225864219e-19,1.0849642343197915e-18,8.9425212763697e-17,1.4046879573206735e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,5,0.02,1.3498386617004965e-19,6.360964834694636e-19,8.281546026300657e-19,1.9512933117443915e-18,5.926636304173047e-17,9.309538536844304e-17,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,6,0.024,1.6206039868426616e-19,7.636916369164853e-19,8.549997361545016e-19,2.014545667443145e-18,2.0029381816367133e-17,3.1462079385121984e-17,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,7,0.028,1.891369311984824e-19,8.912867903635057e-19,7.924233315935775e-19,1.8671034878006487e-18,1.1485360970350138e-16,1.8041162824139466e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,8,0.032,2.1621346371269884e-19,1.018881943810527e-18,1.277744229014574e-18,3.010613912279205e-18,3.5714355488564427e-17,5.609997841528415e-17,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,9,0.036000000000000004,2.432899962269152e-19,1.1464770972575477e-18,8.900544395678895e-19,2.0971413664810963e-18,4.2377929946382216e-17,6.656709669694863e-17,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,10,0.04,2.703665287411318e-19,1.27407225070457e-18,8.239643282728063e-19,1.9414202103914227e-18,2.3561862218763268e-17,3.701088662568079e-17,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,11,0.044,2.974430612553482e-19,1.401667404151591e-18,1.3839078532128819e-18,3.2607560586741086e-18,8.038306645644341e-17,1.2626542552629138e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,12,0.048,3.245195937695649e-19,1.5292625575986135e-18,1.5381604796373798e-18,3.624205247153209e-18,8.707677003636074e-17,1.3677987052227936e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,13,0.052000000000000005,3.515961262837813e-19,1.6568577110456348e-18,1.888094970144845e-18,4.448718965615164e-18,6.042780289530922e-17,9.491977082423774e-17,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,14,0.056,3.7867265879799773e-19,1.784452864492656e-18,2.0918156567948383e-18,4.928724525038079e-18,2.5720032649653606e-17,4.0400932811120694e-17,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,15,0.06,4.057491913122144e-19,1.9120480179396784e-18,2.1664023985983172e-18,5.104465395116835e-18,9.039974007080288e-17,1.4199957964643059e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,16,0.064,4.3282572382643074e-19,2.0396431713866993e-18,1.8888570422864707e-18,4.450514555796391e-18,7.345392579322673e-17,1.1538115682466545e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,17,0.068,4.599022563406476e-19,2.1672383248337226e-18,1.8123414960691217e-18,4.270229047385015e-18,6.174554978316162e-17,9.69896827953217e-17,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,18,0.07200000000000001,4.869787888548638e-19,2.2948334782807427e-18,1.615487538438697e-18,3.806402837043652e-18,9.20319023410958e-17,1.4456337414533992e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,19,0.076,5.1405532136908e-19,2.4224286317277633e-18,2.7690346558346394e-18,6.5243841992292335e-18,2.3978911879836693e-17,3.766598670138599e-17,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,20,0.08,5.411318538832966e-19,2.550023785174785e-18,1.8901177279087144e-18,4.4534849763133865e-18,8.055951498587525e-17,1.2654259022819126e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,1,0.004,4.954621723487833e-20,2.3348104811738662e-19,1.2553219985770976e-19,2.9577827764646e-19,1.1426903389239204e-16,1.7949337870457097e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,2,0.008,7.64386898716952e-20,3.6020883982641924e-19,2.898316743584127e-19,6.828997942065139e-19,1.0030169219145942e-16,1.575535296656568e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,3,0.012,1.0333116250851209e-19,4.869366315354519e-19,4.486666906020245e-19,1.0571459843293238e-18,5.800903446218767e-17,9.112037825412297e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,4,0.016,1.3040769502272844e-19,6.145317849824729e-19,5.16012092486655e-19,1.215824849189679e-18,8.942522682637533e-17,1.4046881782167081e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,5,0.02,1.574842275369449e-19,7.421269384294943e-19,7.988322015400984e-19,1.8822040318570004e-18,5.926643716737144e-17,9.309550180472759e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,6,0.024,1.8456076005116124e-19,8.69722091876515e-19,7.822597655763444e-19,1.843156149550138e-18,2.0029335567667437e-17,3.146200673783438e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,7,0.028,2.1163729256537768e-19,9.973172453235364e-19,9.274613579469206e-19,2.1852793414608445e-18,1.1485357902455178e-16,1.804115800510133e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,8,0.032,2.3871382507959404e-19,1.1249123987705573e-18,8.754945004657608e-19,2.062835318191125e-18,3.571390483373513e-17,5.609927052833365e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,9,0.036000000000000004,2.657903575938104e-19,1.2525075522175782e-18,9.663143563474227e-19,2.2768245622195593e-18,4.2377866506096815e-17,6.656699704518136e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,10,0.04,2.9286689010802697e-19,1.3801027056646001e-18,9.117940487706131e-19,2.148364113903489e-18,2.3562388457174807e-17,3.7011713239044656e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,11,0.044,3.1994342262224367e-19,1.5076978591116228e-18,1.2894586812787265e-18,3.0382154401596224e-18,8.038301156501149e-17,1.2626533930303173e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,12,0.048,3.4701995513645984e-19,1.6352930125586427e-18,1.5268482590366898e-18,3.597551455302022e-18,8.707689786154772e-17,1.3678007130961354e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,13,0.052000000000000005,3.740964876506764e-19,1.7628881660056646e-18,1.709109260778383e-18,4.026993823382738e-18,6.042710908142475e-17,9.491868098393653e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,14,0.056,4.01173020164893e-19,1.8904833194526867e-18,2.0918156567948383e-18,4.928724525038079e-18,2.5721266260690445e-17,4.0402870562806054e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,15,0.06,4.282495526791097e-19,2.018078472899709e-18,1.9823855483546552e-18,4.670885906470169e-18,9.039941228058058e-17,1.4199906475475343e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,16,0.064,4.553260851933264e-19,2.145673626346732e-18,1.929476307462204e-18,4.546221444599116e-18,7.345289856166348e-17,1.1537954325309913e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,17,0.068,4.824026177075429e-19,2.2732687797937533e-18,2.4441053581621937e-18,5.758787578351348e-18,6.174503519530189e-17,9.698887448260183e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,18,0.07200000000000001,5.094791502217598e-19,2.400863933240777e-18,1.6183929835124005e-18,3.813248630717868e-18,9.20323374870694e-17,1.4456405767103686e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,19,0.076,5.365556827359762e-19,2.5284590866877982e-18,2.7690346558346394e-18,6.5243841992292335e-18,2.3983214195001596e-17,3.767274476224373e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk3,20,0.08,5.636322152501926e-19,2.656054240134819e-18,1.8901177279087144e-18,4.4534849763133865e-18,8.055985272194896e-17,1.2654312074277527e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,1,0.004,4.9546217234878346e-20,2.334810481173867e-19,1.4138960449157823e-19,3.3314140707353144e-19,5.18722701910931e-17,8.148077147868145e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,2,0.008,9.909243446975669e-20,4.669620962347734e-19,2.8277920898315645e-19,6.662828141470629e-19,2.0095735081079617e-17,3.15663068496032e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,3,0.012,1.487920349358013e-19,7.011659458004838e-19,3.8015691345406677e-19,8.957236248890002e-19,5.676719347200306e-17,8.916969898827764e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,4,0.016,1.9852231204807917e-19,9.35514355655859e-19,5.655584179663129e-19,1.3325656282941258e-18,9.965129300611584e-17,1.5653188501436874e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,5,0.02,2.482525891603571e-19,1.1698627655112344e-18,5.803407131734942e-19,1.367395590813683e-18,3.4978633580866894e-17,5.494430914513033e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,6,0.024,2.979828662726349e-19,1.4042111753666092e-18,8.270352716956064e-19,1.9486559503639168e-18,1.2521457835569825e-17,1.9668659974230258e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,7,0.028,3.4771314338491264e-19,1.6385595852219839e-18,9.894723145805291e-19,2.3313892158125094e-18,1.0366453491504932e-16,1.6283587066346077e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,8,0.032,3.974434204971906e-19,1.8729079950773595e-18,1.2013702415190659e-18,2.8306619437482698e-18,3.6814886308759934e-17,5.782868818517183e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,9,0.036000000000000004,4.471736976094684e-19,2.107256404932734e-18,1.1364859069098868e-18,2.6777818320423255e-18,3.185958425952375e-17,5.0044917928072416e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,10,0.04,4.969039747217461e-19,2.3416048147881084e-18,1.2210370382603703e-18,2.877000741869864e-18,6.700138790276163e-17,1.0524553400781797e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,11,0.044,5.466342518340236e-19,2.5759532246434822e-18,1.5316834411624747e-18,3.6089440847858736e-18,4.359265343657729e-17,6.847517989341853e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,12,0.048,5.963645289463015e-19,2.8103016344988573e-18,1.7660773631349475e-18,4.161221752271988e-18,4.875900227976137e-17,7.659046167923315e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,13,0.052000000000000005,6.460948060585793e-19,3.0446500443542323e-18,1.5037045852184273e-18,3.5430204585686235e-18,4.515846741022809e-17,7.093475473167333e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,14,0.056,6.958250831708571e-19,3.2789984542096073e-18,1.4014277999769827e-18,3.302036460708146e-18,1.1277685289846737e-17,1.771494662804009e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,15,0.06,7.455553602831348e-19,3.5133468640649816e-18,1.9353657608198728e-18,4.5600981421507e-18,7.81190786929344e-17,1.2270916186346281e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,16,0.064,7.95285637395413e-19,3.747695273920358e-18,1.670896299480597e-18,3.936956654518961e-18,4.830978578101985e-17,7.58848340530743e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,17,0.068,8.450159145076908e-19,3.982043683775733e-18,1.89085273969125e-18,4.455216807025623e-18,4.9836233403632303e-17,7.828257237171875e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,18,0.07200000000000001,8.947461916199686e-19,4.216392093631108e-18,2.2729718138197737e-18,5.355563664084651e-18,8.496630603844342e-17,1.3346476142651797e-16,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,19,0.076,9.444764687322463e-19,4.4507405034864825e-18,2.261326771477348e-18,5.328125679479371e-18,1.433404324266727e-17,2.2515862473700955e-17,0.0,0.0
single_ring,0.75,DIRECT,coupled_rk4_reference,20,0.08,9.942067458445242e-19,4.685088913341858e-18,1.7072499328058622e-18,4.0226128850584235e-18,6.03013650123889e-17,9.472116266217878e-17,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,1,0.004,8.678504027705797e-20,4.089648674638494e-19,1.3094984582911227e-19,3.085433052340913e-19,1.1426906166147436e-16,1.7949342232414346e-16,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,2,0.008,5.714903817649107e-20,2.6930849774248046e-19,2.9251248135212274e-19,6.892162968743626e-19,1.0030167429950242e-16,1.5755350156103647e-16,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,3,0.012,2.7512963192303874e-20,1.2965178456514235e-19,4.50836729371437e-19,1.0622590177213172e-18,5.800895597421584e-17,9.112025496550511e-17,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,4,0.016,2.123532878441267e-21,1.0006912935851207e-20,6.601384226178242e-19,1.555414514136383e-18,8.942507272008918e-17,1.4046857575208259e-16,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,5,0.02,3.176095556062287e-20,1.4966997699036705e-19,8.749652951582845e-19,2.0615884075614687e-18,5.926613832328634e-17,9.309503238153644e-17,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,6,0.024,6.1399622079098e-20,2.893389024853259e-19,8.796085539230352e-19,2.0725288282795113e-18,2.0027903755219308e-17,3.14597576521002e-17,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,7,0.028,9.104019322677504e-20,4.290168033339476e-19,7.933413095378938e-19,1.869266422375165e-18,1.1485336682359994e-16,1.8041124672653761e-16,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,8,0.032,1.2068286730286519e-19,5.687046139992497e-19,1.0387981246003067e-18,2.4476104176053834e-18,3.5713652128964204e-17,5.609887358060771e-17,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,9,0.036000000000000004,1.5032888019515276e-19,7.08408158465208e-19,1.2015905299055276e-18,2.831180986030704e-18,4.2377331324956285e-17,6.656615638461164e-17,0.0,0.0
