cloud,strength_scale,mode,method,step,time,total_strength_drift,total_strength_drift_abs,linear_impulse_drift,linear_impulse_drift_abs,angular_impulse_drift,angular_impulse_drift_abs,energy_drift,energy_drift_abs
single_ring,0.75,DIRECT,reuse_stage_gradients,10,0.04,1.7997886522857756e-19,8.481304212052901e-19,1.0873470890802457e-18,2.5620012202175596e-18,2.3559977598671007e-17,3.7007926271362464e-17,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,11,0.044,2.0963436472917088e-19,9.878786702596898e-19,1.2970692671482108e-18,3.0561474606524367e-18,8.038198636288349e-17,1.2626372891929485e-16,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,12,0.048,2.3929717628124215e-19,1.1276613765448981e-18,1.6897681834145863e-18,3.981422483463776e-18,8.707605935124255e-17,1.367787541807062e-16,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,13,0.052000000000000005,2.689670033107246e-19,1.2674771424885511e-18,1.8634642317476976e-18,4.390684155514436e-18,6.042605258704672e-17,9.491702144644825e-17,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,14,0.056,2.9864416192794116e-19,1.4073274577254509e-18,1.7355407496403093e-18,4.0892715518067886e-18,2.571627790440985e-17,4.0395034871083754e-17,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,15,0.06,3.2833214834702203e-19,1.547228797776538e-18,1.8880511635484232e-18,4.4486157487540404e-18,9.039922072043192e-17,1.4199876385277558e-16,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,16,0.064,3.580308220713362e-19,1.6871805005670362e-18,2.6449853080492384e-18,6.232099809465317e-18,7.345148350293204e-17,1.1537732048404158e-16,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,17,0.068,3.877407473991755e-19,1.827185225289998e-18,2.34721452064163e-18,5.530493920835274e-18,6.174441825948168e-17,9.698790540208156e-17,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,18,0.07200000000000001,4.17463799660411e-19,1.9672518092292425e-18,2.1846512319619057e-18,5.14746319574056e-18,9.203064589816643e-17,1.4456140052940164e-16,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,19,0.076,4.472012231484412e-19,2.1073861159792685e-18,2.4615051855331903e-18,5.799784955733188e-18,2.3971631018138043e-17,3.7654549950573846e-17,0.0,0.0
single_ring,0.75,DIRECT,reuse_stage_gradients,20,0.08,4.769544629642057e-19,2.2475949554178206e-18,2.2439080790786427e-18,5.287083852423186e-18,8.055796376913046e-17,1.265401535826265e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,1,0.004,1.2146914953177443e-20,5.72409881710234e-20,1.0103706508203951e-19,2.3806297605150687e-19,1.142690226224976e-16,1.7949336100186217e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,2,0.008,2.4293829906354928e-20,1.1448197634204698e-19,2.2017348421212464e-19,5.187715503870593e-19,1.0030166457223626e-16,1.5755348628148253e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,3,0.012,3.644074485953227e-20,1.717229645130699e-19,4.0545592242364847e-19,9.553330104304553e-19,5.800896459967744e-17,9.112026851434852e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,4,0.016,4.858765981270977e-20,2.289639526840936e-19,4.639090026404911e-19,1.093059835972151e-18,8.942510650939751e-17,1.40468628828204e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,5,0.02,6.073457476588704e-20,2.862049408551161e-19,7.810693724665789e-19,1.8403513518637457e-18,5.926616028658236e-17,9.309506688140115e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,6,0.024,7.28814897190646e-20,3.434459290261401e-19,4.994532264792935e-19,1.1768089403393006e-18,2.002836343522233e-17,3.146047971576045e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,7,0.028,8.502840467224187e-20,4.006869171971626e-19,9.207486422779025e-19,2.169462877787276e-18,1.148534557650349e-16,1.8041138643541693e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,8,0.032,9.717531962541922e-20,4.579279053681856e-19,7.904167700317722e-19,1.8623756385044913e-18,3.5713531032765405e-17,5.609868336314344e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,9,0.036000000000000004,1.0932223457859643e-19,5.151688935392079e-19,1.0302113491368699e-18,2.427378304569915e-18,4.237707066251605e-17,6.656574693700798e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,10,0.04,1.2146914953177378e-19,5.724098817102309e-19,1.040246215888244e-18,2.4510224023193166e-18,2.3559949683849294e-17,3.7007882422863056e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,11,0.044,1.336160644849513e-19,6.296508698812546e-19,1.5553893469052714e-18,3.66479980928207e-18,8.038200490470036e-17,1.262637580447127e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,12,0.048,1.45762979438129e-19,6.868918580522792e-19,1.6637231427596623e-18,3.920055302175808e-18,8.707610032004204e-17,1.3677881853434596e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,13,0.052000000000000005,1.5790989439130652e-19,7.44132846223303e-19,1.5216716228073553e-18,3.5853542935407345e-18,6.042619935858638e-17,9.491725199464362e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,14,0.056,1.7005680934448388e-19,8.01373834394326e-19,1.6919498368962466e-18,3.9865628833767725e-18,2.5717139236230266e-17,4.0396387847943414e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,15,0.06,1.8220372429766092e-19,8.5861482256534745e-19,1.997050995100171e-18,4.705440551288163e-18,9.039889012389179e-17,1.4199824455294467e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,16,0.064,1.9435063925083895e-19,9.158558107363735e-19,1.9527920281203858e-18,4.601157817148788e-18,7.345164957851772e-17,1.1537758135496155e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,17,0.068,2.0649755420401613e-19,9.730967989073958e-19,1.1731561331619905e-18,2.7641840170916387e-18,6.174357118362185e-17,9.698657481843242e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,18,0.07200000000000001,2.186444691571937e-19,1.0303377870784196e-18,1.4834030023522763e-18,3.4951859808772155e-18,9.203072568488127e-17,1.4456152585808024e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,19,0.076,2.306380008792041e-19,1.0868559738011157e-18,2.041355203704493e-18,4.809829883493998e-18,2.3974296995901245e-17,3.76587376586516e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,fractional_x_gamma,20,0.08,2.4260085595498253e-19,1.1432296002341531e-18,2.702791960329127e-18,6.368303525063656e-18,8.055713752881583e-17,1.265388557273752e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,1,0.004,2.276704027628794e-21,1.072871497139537e-20,9.063760918296333e-20,2.1355983536110527e-19,1.142690207628891e-16,1.7949335808079598e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,2,0.008,1.4423618980806155e-20,6.796970314241838e-20,1.869358129838764e-19,4.404571325722362e-19,1.0030165779497284e-16,1.5755347563578203e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,3,0.012,2.6570533933983663e-20,1.2521069131344206e-19,3.7735080553401134e-19,8.891118888688805e-19,5.800895201849335e-17,9.112024875187077e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,4,0.016,3.8717448887160975e-20,1.8245167948446483e-19,5.041999847284649e-19,1.1879932259722734e-18,8.942508459626118e-17,1.4046859440712993e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,5,0.02,5.086436384033844e-20,2.396926676554883e-19,7.174868510385253e-19,1.6905385652024288e-18,5.926615453413865e-17,9.309505784548369e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,6,0.024,6.30112787935158e-20,2.9693365582651133e-19,4.56721751553997e-19,1.0761252745625247e-18,2.002822630512303e-17,3.146026431230418e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,7,0.028,7.51581937466933e-20,3.54174643997535e-19,9.073383062550515e-19,2.1378655179386067e-18,1.1485342165063352e-16,1.804113328486406e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,8,0.032,8.730510869987083e-20,4.114156321685588e-19,1.0710379511414583e-18,2.5235737192664016e-18,3.571359115616768e-17,5.60987778047629e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,9,0.036000000000000004,9.945202365304787e-20,4.686566203395803e-19,1.0279126464601668e-18,2.4219621139884768e-18,4.237706788080549e-17,6.656574256750726e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,10,0.04,1.1159893860622555e-19,5.258976085106048e-19,1.007760001957316e-18,2.374478564048055e-18,2.3560136888066755e-17,3.7008176482560205e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,11,0.044,1.2374585355940292e-19,5.831385966816278e-19,1.5786659839395737e-18,3.7196440932125e-18,8.038198628772428e-17,1.2626372880123504e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,12,0.048,1.3589276851258035e-19,6.403795848526512e-19,1.6673681452536806e-18,3.928643636968952e-18,8.707599807227431e-17,1.3677865792392798e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,13,0.052000000000000005,1.480396834657578e-19,6.976205730236746e-19,1.574048702929342e-18,3.708764881136523e-18,6.042616577028645e-17,9.491719923426546e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,14,0.056,1.6018659841893501e-19,7.5486156119469685e-19,1.683835110812662e-18,3.967443010489211e-18,2.5717440862742965e-17,4.0396861641761624e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,15,0.06,1.7233351337211237e-19,8.121025493657199e-19,2.0062737713277177e-18,4.727171205819785e-18,9.039897859600316e-17,1.4199838352461224e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,16,0.064,1.844804283252899e-19,8.693435375367436e-19,2.2051506853260967e-18,5.195763894809222e-18,7.345121924351846e-17,1.1537690538632543e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,17,0.068,1.9662734327846741e-19,9.265845257077674e-19,1.742237884190623e-18,4.105051303334314e-18,6.174370711024518e-17,9.698678833147307e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,18,0.07200000000000001,2.0877425823164462e-19,9.838255138787897e-19,1.5667066591740029e-18,3.691465598093441e-18,9.203074030154784e-17,1.445615488178864e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,19,0.076,2.209211731848221e-19,1.0410665020498134e-18,1.9981109658472734e-18,4.7079380485222505e-18,2.3973402195782345e-17,3.7657332109911614e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk3,20,0.08,2.3303741149176604e-19,1.0981629299311708e-18,2.648185472928678e-18,6.23964002032196e-18,8.055719334251725e-17,1.265389433993324e-16,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk4_reference,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk4_reference,1,0.004,2.276704027628789e-21,1.0728714971395345e-20,1.0456705624497035e-19,2.4638032178003217e-19,5.187224048155219e-17,8.148072481104372e-17,0.0,0.0
single_ring,0.75,TRANSPOSED,coupled_rk4_reference,2,0.008,4.553408055257578e-21,2.145742994279069e-20,2.091341124899407e-19,4.927606435600643e-19,2.0095428326245606e-17,3.1565825000236714e-17,0.0,0.0
