checkpoint,configuration,displacement_max,dt,forcing,horizon,kernel,median_step_wall_s,particles,scheme,status,steps,strength_growth_max,strength_growth_median,strength_growth_p95,stretching_evaluator,total_strength_drift_abs,total_strength_drift_normalized,predicted_step_wall_s,gate_s,basis
leapfrog,exact_pair_rk3_isolated,0.07711348878203257,0.007798592211502873,isolated_self_induced,0.015597184423005747,GAUSSIAN,32.86975745946984,14080,RK3,completed,2,0.17631910235325599,0.00017523251471696089,0.057841946808149004,exact_pairwise,1.9145560531167754e-08,4.972649361178095e-10,,,
leapfrog,production_numerics_unforced,0.07705371430613252,0.007798592211502873,isolated_self_induced,0.015597184423005747,GAUSSIAN,33.9624100185174,14080,RK3,completed,2,0.17573752972458423,0.00016923322014317232,0.05754087003965967,exact_pairwise,2.7699761097328188e-08,7.194419776907601e-10,,,
leapfrog,tree_gradient_rk3_isolated,0.07711422073824933,0.007798592211502873,isolated_self_induced,0.015597184423005747,GAUSSIAN,16.298570223530987,14080,RK3,completed,2,0.17423827168326245,0.0001303028252354066,0.05782918603006032,tree_gradient,0.00043404233122998066,1.1273320086927589e-05,,,
rotor,production_numerics_unforced,0.18184955376433967,0.006,freestream_only_no_vlm_replay,0.012,WINCKELMANS,155.35113219849882,70200,RK2,completed,2,0.11656681980704442,0.000644145180509148,0.016566614497093225,tree_gradient,0.01755876598024224,3.7462717775636242e-06,,,
rotor,tree_gradient_rk3_isolated,0.09949121766278782,0.006,isolated_self_induced,0.012,WINCKELMANS,154.11593672001618,70200,RK3,completed,2,0.11680551281348772,0.0006436448206699197,0.016568708051760188,tree_gradient,0.019498263004048947,4.160075513608147e-06,,,
rotor,exact_pair_rk3_isolated,,,,,,,70200,,skipped_by_measured_feasibility_gate,0,,,,,,,455.50526816463105,120.0,35000-particle complete-step timing with observed quadratic extrapolation
