particles,configuration,status,complete_step_wall_s,precision,device_request,source_checkpoint,includes,forcing
4000,tree_gradient_rk3_isolated,measured,2.0220163839985617,f32,VULKAN,rotor_000520_uniform_index_subset,"velocity,all_RK_stages,stretching,viscosity_or_inviscid,LES_if_production,stabilization_if_production",none
14000,tree_gradient_rk3_isolated,measured,11.85467760503525,f32,VULKAN,rotor_000520_uniform_index_subset,"velocity,all_RK_stages,stretching,viscosity_or_inviscid,LES_if_production,stabilization_if_production",none
35000,tree_gradient_rk3_isolated,measured,49.07648758596042,f32,VULKAN,rotor_000520_uniform_index_subset,"velocity,all_RK_stages,stretching,viscosity_or_inviscid,LES_if_production,stabilization_if_production",none
70200,tree_gradient_rk3_isolated,measured,125.3102424419485,f32,VULKAN,rotor_000520_uniform_index_subset,"velocity,all_RK_stages,stretching,viscosity_or_inviscid,LES_if_production,stabilization_if_production",none
