checkpoint,status,path,particles,dt,gradient_evaluator,production_gradient_relative_l2,production_transposed_rate_relative_l2,total_strength_x,total_strength_y,total_strength_z,linear_impulse_norm,angular_impulse_norm,energy_status,projection_correction_status,chi_s_median,chi_s_p95,chi_s_p99,chi_s_max,chi_r_median,chi_r_p95,chi_r_p99,chi_r_max,chi_x_median,chi_x_p95,chi_x_p99,chi_x_max,chi_gamma_median,chi_gamma_p95,chi_gamma_p99,chi_gamma_max,h_over_sigma_median,h_over_sigma_p95,h_over_sigma_p99,h_over_sigma_max,strength_median,strength_p95,strength_p99,strength_max
leapfrog_healthy_050,measured,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000050.h5,14080,0.007798592211502873,independent_f64_gradient_on_256_targets,,,2.450898790584688e-07,3.903221568180015e-08,4.671085207519354e-08,18.804022345763023,0.0035321304810544685,not_computed: exact checkpoint energy is O(N^2),not_recorded_in_checkpoint,0.07927093967001542,0.11058755304018031,0.11681597993011789,0.12365053430014199,0.16249619538398413,0.2877104127445403,0.3078471640332625,0.31328275024845786,0.87674755260276,2.0127649510983536,3.4953837423472334,5.100884069510249,0.03521535985564865,0.10553428887136124,0.12169167544294618,0.17232242751633128,0.26640241570337686,0.3885297057829916,0.42901180470554945,0.5710190945800605,0.0017810945599278697,0.00809649109916969,0.009432939835238024,0.010094727099481499
leapfrog_late_150,measured,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,14080,0.007798592211502873,independent_f64_gradient_on_256_targets,,,1.4512795587506844e-07,4.16821421822533e-08,1.4570741768693551e-07,18.780210171171888,0.002813184339058159,not_computed: exact checkpoint energy is O(N^2),not_recorded_in_checkpoint,0.051276279335814405,0.07720018186641729,0.08854730678934675,0.08933922186065481,0.1330035206098856,0.2260327012245767,0.23697320888383624,0.24250449047691391,0.8558643502591972,2.4516449174402974,4.497932981342933,11.953979605098754,0.028401557244761906,0.09633080905274236,0.14188491630181774,0.16173910271865027,0.18211685440033176,0.29631675835780374,0.3440268285449016,0.42083518431824274,0.0018095015927478884,0.008439143877162925,0.01079358326740054,0.011478795597065734
rotor_healthy_515,measured,tutorials/vpm/rotor_flow/solution/vpm_rotor_000515.h5,69525,0.006,stored_production_gradient_all_particles,0.03217897704731129,0.027175205613449157,1244.015067978081,-0.026015975277698944,-0.6294812799214604,5914.702741977657,9781.541310479177,not_computed: exact checkpoint energy is O(N^2),not_recorded_in_checkpoint,0.0040602083218699405,0.01902508417588473,0.029794012623711157,0.07449615938816223,0.0035238516539241004,0.03647210515512086,0.06450642305175264,0.1656334250713627,0.22191554891243312,0.6148431520018433,0.8720660973594078,14.81280856553669,0.0022769531685114556,0.022845936201636097,0.04394260789527798,0.12629353165350943,0.2953330372024644,0.5051483948106609,0.5266091829622247,1.2518153697273064,0.010439053702554739,0.28447850491309146,1.3422181904015946,13.844846346390131
rotor_prefailure_520,measured,tutorials/vpm/rotor_flow/solution/vpm_rotor_000520.h5,70200,0.006,stored_production_gradient_all_particles,0.02882599287938029,0.01936153338644427,1256.4562655743339,-0.047240570874700794,-0.6171352679617654,5972.59255793951,9828.346194535156,not_computed: exact checkpoint energy is O(N^2),not_recorded_in_checkpoint,0.004051947112789478,0.01894851720378731,0.02977789883031477,0.07607881900604992,0.003522821840810331,0.0361624023488368,0.06443603486874012,0.1741139869830008,0.22166617387675472,0.614733436653676,0.8716638214208802,7.521784432852217,0.0022528299472784723,0.022999363793193478,0.043569110635311346,0.14433297436836767,0.29524044124024895,0.5051818480326948,0.5266003436952635,1.2169858331222756,0.010447147756035564,0.28560472632279527,1.3414795158242643,17.86518920737101
rotor_rejected_520,measured,tutorials/vpm/rotor_flow/solution/rejected_state.h5,70200,0.006,stored_production_gradient_all_particles,0.02882599287938029,0.01936153338644427,1256.4562655743339,-0.047240570874700794,-0.6171352679617654,5972.59255793951,9828.346194535156,not_computed: exact checkpoint energy is O(N^2),not_recorded_in_checkpoint,0.004051947112789478,0.01894851720378731,0.02977789883031477,0.07607881900604992,0.003522821840810331,0.0361624023488368,0.06443603486874012,0.1741139869830008,0.22166617387675472,0.614733436653676,0.8716638214208802,7.521784432852217,0.0022528299472784723,0.022999363793193478,0.043569110635311346,0.14433297436836767,0.29524044124024895,0.5051818480326948,0.5266003436952635,1.2169858331222756,0.010447147756035564,0.28560472632279527,1.3414795158242643,17.86518920737101
