checkpoint,configuration,step,stage,particles,gradient_reference,exact_gradient_norm_max,exact_chi_s_max,exact_chi_r_max,net_strength_rate_norm,chi_gamma_median,chi_gamma_p95,chi_gamma_p99,chi_gamma_max,actual_gradient_evaluator,gradient_relative_l2_on_targets,rate_relative_l2_on_targets
leapfrog,tree_gradient_rk3_isolated,1,1,14080,independent_f64_source_blob_gradient_on_64_targets,43.388763002178656,0.08630612748385635,0.23887325345802363,0.020907542725237822,0.02582780195332138,0.09683038730708358,0.13296732556315727,0.17388790168305274,production_tree_gradient,0.02698424244757662,0.028072066297610932
leapfrog,tree_gradient_rk3_isolated,1,2,14080,independent_f64_source_blob_gradient_on_64_targets,43.012449770261675,0.08765179803706588,0.2367620376147424,0.03280267035254418,0.025599276196268297,0.09730119322759696,0.13116422450104193,0.17264513071539597,production_tree_gradient,0.026385886138331354,0.02651579024368106
leapfrog,tree_gradient_rk3_isolated,1,3,14080,independent_f64_source_blob_gradient_on_64_targets,43.53116574899782,0.08750448271019028,0.2396439358489751,0.050516094344996584,0.025920552831535368,0.09908690283140188,0.13180575755602525,0.17629334999126048,production_tree_gradient,0.027060493738820364,0.02690948215628693
leapfrog,tree_gradient_rk3_isolated,2,1,14080,independent_f64_source_blob_gradient_on_64_targets,43.45498417095992,0.08820900979828412,0.2392082157588437,0.03964277569493763,0.025793432749135772,0.09902443054481012,0.1332115286314797,0.17479028668950536,production_tree_gradient,0.02679872085845602,0.0260339157250712
leapfrog,tree_gradient_rk3_isolated,2,2,14080,independent_f64_source_blob_gradient_on_64_targets,43.078567920909286,0.0885927322773602,0.23710534771671823,0.016470924072339323,0.02567120242892601,0.09750197470703159,0.1298810150498204,0.15997577441232932,production_tree_gradient,0.026353930409304383,0.02430014648963235
leapfrog,tree_gradient_rk3_isolated,2,3,14080,independent_f64_source_blob_gradient_on_64_targets,43.597305029906444,0.08893945433998353,0.2399828282702012,0.025072220737457438,0.025888054665918495,0.09882682771329086,0.13299947541534193,0.1708845486134512,production_tree_gradient,0.026947755744508358,0.02528359456153457
