checkpoint,configuration,stage_records,chi_s_max_over_stages,chi_r_max_over_stages,chi_gamma_max_over_stages,net_strength_rate_norm_max,source_blob_gradient_reference,rate_relative_l2_min,rate_relative_l2_max,rate_error_interpretation,tree_gradient_relative_l2_min,tree_gradient_relative_l2_max
leapfrog,exact_pair_rk3_isolated,6,0.08893376552687642,0.24000766789008138,0.17665391870360359,3.3859189622897636e-06,True,0.021409919206369237,0.02461775772539496,operator difference: pairwise rate uses mean target/source core; source-blob J uses source core,,
leapfrog,production_numerics_unforced,6,0.08858162458729593,0.2393267777602223,0.17646768865771364,3.3470102434349577e-06,True,0.02143436040800076,0.02461931781686792,operator difference: pairwise rate uses mean target/source core; source-blob J uses source core,,
leapfrog,tree_gradient_rk3_isolated,6,0.08893945433998353,0.2399828282702012,0.17629334999126048,0.050516094344996584,True,0.02430014648963235,0.028072066297610932,,0.026353930409304383,0.027060493738820364
rotor,production_numerics_unforced,4,0.06248098306067355,0.1722896440091084,0.15092263620868712,2.6451153974057613,True,0.01818494909561709,0.022605282884475556,,0.030938437156120817,0.031122955786959665
rotor,tree_gradient_rk3_isolated,6,0.06251287892153154,0.17235202985850767,0.1521311089322392,3.241354649656918,True,0.018137546583311265,0.022461725559780064,,0.030942573690469634,0.031154566638546117
