checkpoint,configuration,rank,checkpoint_index,x0,y0,z0,initial_strength,final_strength,relative_strength_growth,displacement
rotor,production_numerics_unforced,1,70144,0.0943431630730629,-1.0327768325805664,0.41160184144973755,5.765931504449872e-05,5.877914919538413e-05,0.019421565275639763,0.0761726383799001
rotor,production_numerics_unforced,2,70190,0.09434006363153458,0.15994206070899963,-1.1002082824707031,6.229248009415393e-05,6.350554308815332e-05,0.019473666679603374,0.07616310106537176
rotor,production_numerics_unforced,3,70196,0.09433578699827194,0.8728433847427368,0.6886186003684998,6.354340847464743e-05,6.477788391676841e-05,0.01942727769495578,0.0761539842500224
rotor,production_numerics_unforced,4,69997,0.13184502720832825,-1.0507848262786865,0.3566615879535675,5.932775844877244e-05,6.143125439024074e-05,0.035455510143444835,0.07570987793654604
rotor,production_numerics_unforced,5,70055,0.1318427473306656,0.21653401851654053,-1.0883301496505737,6.26832264675397e-05,6.490341084205983e-05,0.03541911448463564,0.07571197443448029
rotor,production_numerics_unforced,6,70061,0.13184311985969543,0.8342693448066711,0.7316869497299194,6.328507822515525e-05,6.552615162661819e-05,0.03541235097299955,0.07570739227369358
rotor,production_numerics_unforced,7,69874,0.16928301751613617,-1.0656921863555908,0.300708532333374,6.082734674910709e-05,6.381713228782046e-05,0.04915199656899816,0.07572433759353663
rotor,production_numerics_unforced,8,69926,0.16928040981292725,0.27245402336120605,-1.0732605457305908,6.379056376381536e-05,6.692777435337018e-05,0.04917985364058475,0.07571530279801948
rotor,production_numerics_unforced,9,69921,0.16927529871463776,0.7932652831077576,0.7725816965103149,6.39506527150784e-05,6.70951456636353e-05,0.04917061538944201,0.07571181122910967
rotor,production_numerics_unforced,10,69791,0.20683090388774872,0.3273584246635437,-1.0550322532653809,6.611034076698141e-05,6.993960727199655e-05,0.057922353153678774,0.07607009826619475
rotor,production_numerics_unforced,11,69786,0.20683348178863525,0.7500393390655518,0.8110113739967346,6.50168740869279e-05,6.878545890699487e-05,0.05796318068180817,0.07607317802201168
rotor,production_numerics_unforced,12,69754,0.206814706325531,-1.07735276222229,0.24404188990592957,6.263105229242713e-05,6.627111703978008e-05,0.0581191695511889,0.07605296485225548
rotor,production_numerics_unforced,13,69592,0.24458815157413483,-1.0856976509094238,0.1869727373123169,6.458651424248928e-05,6.858967173218129e-05,0.061981321281129986,0.076590706024872
rotor,production_numerics_unforced,14,69656,0.24457427859306335,0.3809785544872284,-1.0336967706680298,6.823070028184609e-05,7.245826964675903e-05,0.06195992929062388,0.07659746470426987
rotor,production_numerics_unforced,15,69651,0.2445845752954483,0.7047750353813171,0.8467802405357361,6.604643124627992e-05,7.01380318807105e-05,0.06195036669238707,0.07659063056131449
rotor,production_numerics_unforced,16,69462,0.2826146185398102,-1.0906914472579956,0.12972228229045868,6.737550767008893e-05,7.153003736756232e-05,0.06166231381611942,0.07723851563667365
