figure,time,rms_percent,sampled_max_percent,covered_area_D2,valid_nodes
velocity_fields,1.0,2.1268157213078234,14.852170061159978,7.5455998844146706,592
reference_vpm_fields,1.0,2.305373344620811,15.179849507984342,7.5455998844146706,592
reference_fvm_fields,1.0,0.9902648224342763,7.691425957678434,7.5455998844146706,592
velocity_fields,2.0,2.5956636168607523,14.104157733334194,7.5455998844146706,592
reference_vpm_fields,2.0,3.8529722311182595,19.3389924179768,7.5455998844146706,592
reference_fvm_fields,2.0,2.588528062106262,25.50711195794073,7.5455998844146706,592
velocity_fields,3.0,3.1923836030936696,17.586313457335613,7.5455998844146706,592
reference_vpm_fields,3.0,5.156148889890376,22.739838845215655,7.5455998844146706,592
reference_fvm_fields,3.0,3.456601157634811,26.52009509281667,7.5455998844146706,592
velocity_fields,4.0,3.522925245726549,29.707464276450086,7.5455998844146706,592
reference_vpm_fields,4.0,5.928012980844075,28.852985128597457,7.5455998844146706,592
reference_fvm_fields,4.0,4.778287893422644,36.67841097032446,7.5455998844146706,592
velocity_fields,5.0,3.742117324703791,37.464724025269,7.5455998844146706,592
reference_vpm_fields,5.0,6.02177222048503,29.72513065346713,7.5455998844146706,592
reference_fvm_fields,5.0,5.448425317310368,43.33841610892147,7.5455998844146706,592
velocity_fields,6.0,3.5555109625117187,41.31035836941022,7.5455998844146706,592
reference_vpm_fields,6.0,6.475563155986546,31.87039686633879,7.5455998844146706,592
reference_fvm_fields,6.0,6.634192256688592,44.75312325547185,7.5455998844146706,592
velocity_fields,7.0,4.719175954610629,36.145691214581824,7.5455998844146706,592
reference_vpm_fields,7.0,7.160411921092426,29.180473081190918,7.5455998844146706,592
reference_fvm_fields,7.0,7.926712842428855,46.28253884004593,7.5455998844146706,592
velocity_fields,8.0,5.704492876143416,55.25119716066084,7.5455998844146706,592
reference_vpm_fields,8.0,11.036236475679937,47.442996192924454,7.5455998844146706,592
reference_fvm_fields,8.0,12.706940509139345,69.58808644476035,7.5455998844146706,592
velocity_fields,9.0,3.8847315856542486,31.30871443776993,7.5455998844146706,592
reference_vpm_fields,9.0,11.58421540654747,48.22766089025316,7.5455998844146706,592
reference_fvm_fields,9.0,12.280894604532502,48.42339258372726,7.5455998844146706,592
velocity_fields,10.0,4.87208049459833,34.474490691940815,7.5455998844146706,592
reference_vpm_fields,10.0,16.66191954205421,64.64234687939427,7.5455998844146706,592
reference_fvm_fields,10.0,17.259936694803795,77.53635109181823,7.5455998844146706,592
velocity_fields,11.0,4.618595791750077,31.3217892670686,7.5455998844146706,592
reference_vpm_fields,11.0,18.09101172250467,70.52876919963555,7.5455998844146706,592
reference_fvm_fields,11.0,18.449622587321077,70.85348838186388,7.5455998844146706,592
velocity_fields,12.0,5.64947494024513,40.48665608689396,7.5455998844146706,592
reference_vpm_fields,12.0,24.092023577916127,72.78315478703901,7.5455998844146706,592
reference_fvm_fields,12.0,24.834224855561718,74.64893123948981,7.5455998844146706,592
velocity_fields,13.0,5.249428845536222,37.35837996586531,7.5455998844146706,592
reference_vpm_fields,13.0,26.88703369481973,87.67671487088695,7.5455998844146706,592
reference_fvm_fields,13.0,27.996250167309235,101.80553598015258,7.5455998844146706,592
velocity_fields,14.0,7.193848780714169,68.64140748526685,7.5455998844146706,592
reference_vpm_fields,14.0,31.285012609420335,99.82834596510281,7.5455998844146706,592
reference_fvm_fields,14.0,32.69489830181348,103.54795973004553,7.5455998844146706,592
velocity_fields,15.0,6.991401950723349,65.01427304172593,7.5455998844146706,592
reference_vpm_fields,15.0,32.11631810806217,118.601548069436,7.5455998844146706,592
reference_fvm_fields,15.0,33.88181521229294,121.6658019590321,7.5455998844146706,592
