time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z,kinematic_pressure
0.0,0,1.5,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.02,10,1.5,0.0,0.0,0.8881029024195723,-2.5795463931601126e-08,1.881287056076294e-08,8.427917568930226e-09,-8.526365086935874e-07,2.369033860793867e-07,-0.07581485750919117
0.04,16,1.5,0.0,0.0,0.8852574406032735,-5.055396478553525e-08,2.0420558789477288e-09,7.139200905116008e-09,-5.629503217375436e-07,6.977942961446354e-07,-0.045314174464041033
0.06,21,1.5,0.0,0.0,0.8827336398791894,-6.877694324561159e-08,-1.315476052105411e-08,-1.9425231757666972e-08,-3.5505284004169967e-07,8.597673700435966e-07,-0.024797402629242543
0.08,26,1.5,0.0,0.0,0.8804255866261828,-8.069450445926624e-08,-2.2324465416153138e-08,-3.8495151631936064e-08,-2.0033586766295286e-07,8.496060164369561e-07,-0.00971746043621559
0.1,31,1.5,0.0,0.0,0.8782714778319405,1.2202217159714374e-08,4.5350313781472845e-08,-5.159043515761308e-08,-1.058904956269079e-07,1.1635674669678687e-06,0.0017077550076259945
0.12,36,1.5,0.0,0.0,0.8762266417220909,7.918866737865178e-08,8.867084705842295e-08,-6.079258025901658e-08,-2.6179066013809923e-08,1.487365253378243e-06,0.01042942195487034
0.14,41,1.5,0.0,0.0,0.8742584973448712,1.1789874365867819e-07,1.0075004213074628e-07,-6.799303202678664e-08,4.110410673653722e-08,1.7764592098604957e-06,0.017264864055937978
0.16,46,1.5,0.0,0.0,0.8723423313562497,1.386328700096289e-07,1.0154736076542812e-07,-6.918040090810937e-08,9.341471630974888e-08,2.05124792630675e-06,0.022679564262681903
0.18,51,1.5,0.0,0.0,0.8704594398198306,1.4933122381289653e-07,9.942449445514727e-08,-6.555455044729072e-08,1.3005318633274066e-07,2.322761541949578e-06,0.02706088810898956
0.2,56,1.5,0.0,0.0,0.868595244075936,1.5130870173028115e-07,9.76681730903277e-08,-5.842473073547533e-08,1.5282480599864758e-07,2.5943041964319142e-06,0.030650189819229585
0.22,61,1.5,0.0,0.0,0.8667383536570512,1.4627632069915058e-07,9.822652571051321e-08,-4.907893955675395e-08,1.6389791817849636e-07,2.865448868295248e-06,0.03363067274232388
0.24,66,1.5,0.0,0.0,0.8648792569994542,1.3584943023433207e-07,1.0124465032783098e-07,-3.863232714870883e-08,1.6477760697490448e-07,3.1327577943261135e-06,0.03610644874299531
0.26,71,1.5,0.0,0.0,0.8630097438148625,1.2275487767515262e-07,1.0616134111556179e-07,-2.73429576046249e-08,1.5707412124151033e-07,3.3982468325858113e-06,0.03819701152938289
0.28,76,1.5,0.0,0.0,0.8611216308994988,1.0849874616399765e-07,1.1271333834737967e-07,-1.585878692565766e-08,1.4382719513797518e-07,3.6637603782140813e-06,0.039897894748741794
0.3,81,1.5,0.0,0.0,0.8592103213638645,8.796964530426328e-08,1.2109080115218212e-07,-5.039035131711866e-09,1.2517161943758235e-07,3.930963223763777e-06,0.041425633860167316
0.32,86,1.5,0.0,0.0,0.8572717144552853,6.530921050996316e-08,1.302735560343739e-07,4.904419284358181e-09,1.0822994006708779e-07,4.200302688571009e-06,0.04272810093222343
0.34,91,1.5,0.0,0.0,0.855293652683341,3.94622108043638e-08,1.3984386609173804e-07,1.3824870439843963e-08,8.676658805196675e-08,4.4731104854041146e-06,0.043521583311756984
0.36,96,1.5,0.0,0.0,0.8532761631783375,1.5854269095131277e-08,1.499821205613455e-07,2.1116362414043073e-08,6.990402346273982e-08,4.750084171122309e-06,0.04466997948442528
0.38,101,1.5,0.0,0.0,0.8512251384625625,-9.89096602591598e-09,1.5991571887210687e-07,2.651822611741778e-08,5.835745051829057e-08,5.029587816416767e-06,0.04579787286584733
0.4,106,1.5,0.0,0.0,0.8491327743365311,-4.0938614073412765e-08,1.7031430061084914e-07,3.024964024095693e-08,4.8902313409125265e-08,5.319581003614003e-06,0.04652382074385577
0.42,111,1.5,0.0,0.0,0.8469944284201615,-7.401326284014031e-08,1.807091419939865e-07,3.267959534749027e-08,4.238912188082536e-08,5.613250456170591e-06,0.04731624128550847
0.44,116,1.5,0.0,0.0,0.8448094612963228,-1.100330811572227e-07,1.9084859192575456e-07,3.439252254389365e-08,3.7673955878822914e-08,5.913936607089616e-06,0.04810051698862799
0.46,121,1.5,0.0,0.0,0.8425749350124597,-1.4451651373223132e-07,2.0063377090538095e-07,3.556469434032199e-08,3.606289749032022e-08,6.221009469621522e-06,0.04878586579888176
0.48,126,1.5,0.0,0.0,0.8402877387488131,-1.840812597410568e-07,2.1091385985903514e-07,3.659998701725493e-08,3.636780695443506e-08,6.5337367138317596e-06,0.04938475132796958
0.5,131,1.5,0.0,0.0,0.8379445320764383,-2.2306136065095673e-07,2.210222144773913e-07,3.7829725420748076e-08,3.6823632580844136e-08,6.854435165783176e-06,0.04997196378828031
0.52,136,1.5,0.0,0.0,0.8355460769136267,-2.657327139114585e-07,2.3001458871809672e-07,3.988723424647366e-08,3.992741837152461e-08,7.183661064460402e-06,0.050618420790174555
0.54,141,1.5,0.0,0.0,0.8330856763697366,-3.099903755775527e-07,2.3990781903890005e-07,4.2855896291845e-08,4.571981801069401e-08,7.5259553049691125e-06,0.05113334633769257
0.56,146,1.5,0.0,0.0,0.8305627971854543,-3.5601521806401663e-07,2.4992068081303107e-07,4.7120263201582164e-08,5.464290493024852e-08,7.8783345455271e-06,0.05162788413168923
0.58,151,1.5,0.0,0.0,0.8279746984664005,-4.0099625224693e-07,2.5783212671080857e-07,5.21403223641456e-08,6.662106814063985e-08,8.243735366386943e-06,0.05223881661631309
0.6,156,1.5,0.0,0.0,0.8253190148401448,-4.555077128551951e-07,2.6907544832918043e-07,5.784439870144218e-08,8.460712383534684e-08,8.622370229003438e-06,0.05262368329461129
0.62,161,1.5,0.0,0.0,0.8225923211761808,-5.081171777917541e-07,2.788772908035933e-07,6.319575995931179e-08,1.0745648448263311e-07,9.01787203918572e-06,0.053138245970835586
0.64,166,1.5,0.0,0.0,0.8197935521780332,-5.629857521440959e-07,2.881391517861203e-07,6.72899537169103e-08,1.3913720436522164e-07,9.433203023362708e-06,0.05367333935304876
0.66,171,1.5,0.0,0.0,0.8169195582148369,-6.216374448189131e-07,2.9848824549682803e-07,6.85968475777271e-08,1.7872867563710538e-07,9.867812159542439e-06,0.05414088866928369
0.68,176,1.5,0.0,0.0,0.8139682399541774,-6.838117532337149e-07,3.0763710703738307e-07,6.542870125914344e-08,2.2905110586016626e-07,1.0323648757432535e-05,0.05468582585135692
0.7000000000000001,181,1.5,0.0,0.0,0.8109368886729058,-7.470386924027218e-07,3.1613303524746063e-07,5.5945750253814366e-08,2.9124585261670357e-07,1.0803232575165533e-05,0.055269036688301625
0.72,186,1.5,0.0,0.0,0.8078229030112762,-8.181578262028281e-07,3.259798890337055e-07,3.769154017022228e-08,3.6601244335591456e-07,1.1306210205700882e-05,0.055741478863110754
0.74,191,1.5,0.0,0.0,0.8046218550753348,-8.916381934238968e-07,3.3720256962618137e-07,8.154431941728733e-09,4.552037636739588e-07,1.1836448012997121e-05,0.05642401103552158
0.76,196,1.5,0.0,0.0,0.8013319676581667,-9.656486627135882e-07,3.4660755320955285e-07,-3.5068901852092546e-08,5.613425016108801e-07,1.2393002136824285e-05,0.05699160579057712
0.78,201,1.5,0.0,0.0,0.7979509506217465,-1.0480314616011e-06,3.563809638384068e-07,-9.478775967179721e-08,6.819769827188337e-07,1.2974041359402802e-05,0.05758006135380072
0.8,206,1.5,0.0,0.0,0.794476070355091,-1.1348708454992327e-06,3.647288471834366e-07,-1.7311113376955204e-07,8.172943156005159e-07,1.3580076742442127e-05,0.05844506946153613
0.8200000000000001,211,1.5,0.0,0.0,0.7909002242607975,-1.2274234822019493e-06,3.7689005504805045e-07,-2.729071999295207e-07,9.678318457776585e-07,1.4207258214019932e-05,0.05880267476395727
0.84,216,1.5,0.0,0.0,0.7872207627193653,-1.3166454683617165e-06,3.874171517446681e-07,-3.9537227035829494e-07,1.1308398607991493e-06,1.485744001151334e-05,0.059485894474284456
0.86,221,1.5,0.0,0.0,0.7834372092826971,-1.4171122426691235e-06,3.9346133126888356e-07,-5.415793201293863e-07,1.3061359624123938e-06,1.5518022464007088e-05,0.06026122175902187
0.88,226,1.5,0.0,0.0,0.7795443783008917,-1.530276011838748e-06,4.0162376767267696e-07,-7.12258954722061e-07,1.4905796090974886e-06,1.6192046366853865e-05,0.06107184692344709
0.9,231,1.5,0.0,0.0,0.7755397814032164,-1.6425799736622648e-06,4.049283213129587e-07,-9.060881129520352e-07,1.6820475475765482e-06,1.6871293760749804e-05,0.061783625379113874
0.92,236,1.5,0.0,0.0,0.7714158662033632,-1.7605115551757966e-06,4.0782400143910714e-07,-1.122383316895189e-06,1.878056517752009e-06,1.7549076475339242e-05,0.06259542182908145
0.9400000000000001,241,1.5,0.0,0.0,0.7671689031158894,-1.8802763698912063e-06,4.096494042066714e-07,-1.3595386022180207e-06,2.0756130051803678e-06,1.8221734786115444e-05,0.06334731011606205
0.96,246,1.5,0.0,0.0,0.7627961937504518,-2.0076995551959226e-06,4.0799229237850254e-07,-1.606177319275914e-06,2.2709818433962097e-06,1.887730426714443e-05,0.06415840680925392
0.98,251,1.5,0.0,0.0,0.7582933104997106,-2.139071043968674e-06,4.0093648605500224e-07,-1.863549840815424e-06,2.457880471189101e-06,1.9505924785152266e-05,0.06506540402603313
1.0,256,1.5,0.0,0.0,0.7536560286171968,-2.2736391282747302e-06,3.9230584214049593e-07,-2.137526199803268e-06,2.6413041186874747e-06,2.0101022502545105e-05,0.06598593287280365
1.02,261,1.5,0.0,0.0,0.7488777345932809,-2.4128893289144234e-06,3.7444054569888935e-07,-2.4175932593061445e-06,2.8075778661834284e-06,2.065170881343656e-05,0.06680185755816045
1.04,266,1.5,0.0,0.0,0.7439549781410528,-2.5520789985661983e-06,3.536270642348913e-07,-2.692819418787572e-06,2.9609371759739703e-06,2.115232525106421e-05,0.06775349744945043
1.06,271,1.5,0.0,0.0,0.7388843703078749,-2.697835826773331e-06,3.2479112372407413e-07,-2.956046746913696e-06,3.099821975612322e-06,2.1587303202239637e-05,0.06871939278196018
1.08,276,1.5,0.0,0.0,0.7336612148992334,-2.838250290369189e-06,2.89791231727371e-07,-3.194843970698484e-06,3.2151392001585098e-06,2.1957599716571962e-05,0.06979628492158901
1.1,281,1.5,0.0,0.0,0.7282798421852228,-2.980863579243926e-06,2.4458419276039926e-07,-3.3986414824804166e-06,3.3281932671905794e-06,2.224654639744267e-05,0.07070717108010022
1.12,286,1.5,0.0,0.0,0.7227369057762908,-3.1323992832170394e-06,1.935370914908878e-07,-3.55785699421577e-06,3.435015541229779e-06,2.2450005010320806e-05,0.0717582191544019
1.1400000000000001,291,1.5,0.0,0.0,0.7170278587394013,-3.26697709804498e-06,1.3560511115988952e-07,-3.6584232709832468e-06,3.514719785690547e-06,2.2569286907172438e-05,0.07277180599555452
1.16,296,1.5,0.0,0.0,0.7111503375923472,-3.4017369070301714e-06,6.724934057028176e-08,-3.6921865225115647e-06,3.565294232354328e-06,2.25836550602994e-05,0.07389422668845153
1.18,301,1.5,0.0,0.0,0.7051016513038845,-3.5313541799679356e-06,-2.2359452353973444e-09,-3.654880997197599e-06,3.586476241903651e-06,2.2492058926558712e-05,0.07488621544194808
