time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total
0.0,0,-3.035420847927116e-07,0.0032466025952497812,1.264294555008175e-07,0.6948912,-2.7060509e-05,-6.496906e-05,-596.2922937060603,0.1670914353011109,2.2768228795033694,-6.496906280517578e-05,0.6948912143707275,30.012500000000003,7.131576025264337,-0.5571876772184131,0.0005473321867031969,0.0021275097214212544,-0.5571878216521254,-1.557621366086869e-06,-1.9090349149547007e-06,-1.0579824447631836e-06,1.6654375940561295e-06,0.0,135
0.12,20,-0.0012168403449539528,1.6675464429360294,0.0029870746697099665,356.91568,-0.6393428,-0.26044816,-2330.328123711451,158.55929432534808,1161.7719861182802,-0.260448157787323,356.9156799316406,30.012500000000003,7.131576025264337,-2.1775061125434934,0.5193839237110891,1.085583431540645,-2.178565031531011,-0.001738871022644521,-0.0007685417072246396,-0.02889561653137207,0.020809978246688843,0.0,2700
0.12,20,-0.001172493264084203,1.768060226016567,0.0027148322295230134,378.4293,-0.581073,-0.25095627,-2367.3063231285028,180.19281518434244,1230.3942071475412,-0.250956267118454,378.4292907714844,30.012500000000003,7.131576025264337,-2.212059296038202,0.590247653240402,1.149705434029093,-2.2130805902135693,-0.0006590989438026687,-0.0006106589390969567,-0.026181399822235107,0.018295347690582275,0.0,2835
0.24,40,-0.002077551331319741,4.48076505661064,-0.0021799930254710934,959.04694,0.4665979,-0.44467166,-2771.795282709388,1618.1609497554011,2705.2937360888927,-0.4446716606616974,959.0469360351562,30.012500000000003,7.131576025264337,-2.5900220271152943,5.300520457384911,2.5278816260334525,-2.5904601599921766,0.00406716027180574,-0.0024086060420805268,-0.03959786891937256,-0.005619451403617859,0.0,5400
0.24,40,-0.00175857148596504,4.65853790831657,-0.0017236883738848661,997.0968,0.3689321,-0.37639835,-2783.13904460428,1777.6618658266336,2753.4730424380077,-0.37639835476875305,997.0968017578125,30.012500000000003,7.131576025264337,-2.6006218695211887,5.82298879944631,2.5729013522281545,-2.6009800989470646,0.005621555278455411,-0.002714027160530546,-0.03985375165939331,-0.0043015554547309875,0.0,5535
