time,step,vortex_centre_0_x,vortex_centre_0_y,vortex_centre_1_x,vortex_centre_1_y,vortex_separation,core_radius_0,core_radius_1,mean_core_radius,angle_radians,is_pair_unresolved,is_core_radius_0_boundary_limited,is_core_radius_1_boundary_limited
0.0,0,4.016748341657307e-05,2.5910035565894496e-05,nan,nan,nan,0.126722422451199,nan,0.126722422451199,nan,False,False,False
0.581999999994,18,5.809037104617838e-06,-0.00024880653715154705,nan,nan,nan,0.14384147801385805,nan,0.14384147801385805,nan,False,False,False
1.163999999988,36,0.00031796111987595493,-0.0008735520174276866,nan,nan,nan,0.16647906689998496,nan,0.16647906689998496,nan,False,False,False
1.745999999982,54,-0.00138635213211715,0.0006915682235153452,nan,nan,nan,0.18122971075478006,nan,0.18122971075478006,nan,False,False,False
2.327999999976,72,0.0010242382775304502,-0.001724845682442822,nan,nan,nan,0.19514769452969685,nan,0.19514769452969685,nan,False,False,False
2.90999999997,90,-0.0004673180678487791,0.0016163369213446376,nan,nan,nan,0.20783675815103222,nan,0.20783675815103222,nan,False,False,False
3.491999999964,108,-0.001144806588334696,-0.001616992928840398,nan,nan,nan,0.22283505393666783,nan,0.22283505393666783,nan,False,False,False
4.073999999958,126,0.001608538557356333,-0.00035142263242423245,nan,nan,nan,0.23004386957492778,nan,0.23004386957492778,nan,False,False,False
4.655999999952,144,-0.00047650758315755624,0.0012436864727526655,nan,nan,nan,0.2422136643937148,nan,0.2422136643937148,nan,False,False,False
5.237999999946,162,-0.001325671635899743,-0.000827285943990788,nan,nan,nan,0.2528463831176941,nan,0.2528463831176941,nan,False,False,False
5.81999999994,180,0.0005940386314086249,-0.0013631575378462019,nan,nan,nan,0.27056347657608576,nan,0.27056347657608576,nan,False,False,False
6.401999999934,198,0.001089259069793078,0.0003783648128681946,nan,nan,nan,0.27333940377258714,nan,0.27333940377258714,nan,False,False,False
6.983999999928,216,-0.0004315934671135415,0.0009282955582944966,nan,nan,nan,0.2860003218198156,nan,0.2860003218198156,nan,False,False,False
7.565999999922,234,-0.001175378401002387,-0.00015468610774519234,nan,nan,nan,0.2878968533971594,nan,0.2878968533971594,nan,False,False,False
8.147999999916,252,-0.0004828335939182516,-0.0012575000024176823,nan,nan,nan,0.30039076424284894,nan,0.30039076424284894,nan,False,False,False
8.72999999991,270,0.0006736681103005713,-0.0009014604391775561,nan,nan,nan,0.30608975826850554,nan,0.30608975826850554,nan,False,False,False
9.311999999904,288,0.000856274556034797,0.00012998483141753517,nan,nan,nan,0.3188204827928988,nan,0.3188204827928988,nan,False,False,False
9.893999999898,306,7.53640924414543e-05,0.0006515630561706636,nan,nan,nan,0.32936193162206157,nan,0.32936193162206157,nan,False,False,False
10.475999999892,324,-0.000687438562638712,0.0003963968216194082,nan,nan,nan,0.3355391720090131,nan,0.3355391720090131,nan,False,False,False
11.057999999886,342,-0.0008518182565925648,-0.0003234428228022614,nan,nan,nan,0.3441172014988633,nan,0.3441172014988633,nan,False,False,False
11.63999999988,360,-0.0004470669420580022,-0.0009149329218772024,nan,nan,nan,0.3534418118470862,nan,0.3534418118470862,nan,False,False,False
12.221999999874,378,0.00020241905855926216,-0.0009146082205721698,nan,nan,nan,0.35786801712124267,nan,0.35786801712124267,nan,False,False,False
12.803999999868,396,0.0006348248900584367,-0.0004279551275077481,nan,nan,nan,0.36302933418194516,nan,0.36302933418194516,nan,False,False,False
13.385999999862,414,0.0005792714677037023,0.00013806443593698987,nan,nan,nan,0.3720471577559387,nan,0.3720471577559387,nan,False,False,False
13.967999999856,432,0.0001393303626712264,0.00045359122781934817,nan,nan,nan,0.37803400147212257,nan,0.37803400147212257,nan,False,False,False
14.54999999985,450,-0.0003629892604163146,0.0004192162881516302,nan,nan,nan,0.38277917658110217,nan,0.38277917658110217,nan,False,False,False
15.131999999844,468,-0.0006754682935254056,0.00011392347667891871,nan,nan,nan,0.3872605863221495,nan,0.3872605863221495,nan,False,False,False
15.713999999838,486,-0.000715743297573017,-0.00031950052537786135,nan,nan,nan,0.39524646170724254,nan,0.39524646170724254,nan,False,False,False
16.295999999832,504,-0.0005084350702578427,-0.0006938567371829645,nan,nan,nan,0.40170775644184264,nan,0.40170775644184264,nan,False,False,False
