time,step,accepted_time_step_size,patch,pressure_force_x,pressure_force_y,pressure_force_z,viscous_force_x,viscous_force_y,viscous_force_z,total_force_x,total_force_y,total_force_z,moment_x,moment_y,moment_z,drag_coefficient,lift_coefficient,side_force_coefficient,pitching_moment_coefficient
0.0,0,0.001,cylinder,0.0,0.0,0.0,3.465161033039179,0.0006439119156545189,1.122510297465003e-16,3.465161033039179,0.0006439119156545189,1.122510297465003e-16,-2.788432462361157e-17,6.661338147750939e-16,-0.0002307406972544567,6.930322066078358,0.0012878238313090379,2.245020594930006e-16,-0.0004614813945089134
0.02,9,0.0005009152000000038,cylinder,1.3477221184219714,0.0011606596095587104,0.0,1.366410830586475,-3.868982066589961e-05,-3.2928869681948493e-08,2.7141329490084463,0.0011219697888928109,-3.2928869681948493e-08,-4.0150194657752184e-07,1.7499939169995926e-07,5.271409826662941e-05,5.4282658980168925,0.0022439395777856218,-6.585773936389699e-08,0.00010542819653325882
0.04,21,0.0006744400037086429,cylinder,0.8726489666157391,0.0007584739647823724,0.0,0.8601131149720161,-5.358922684966502e-05,-1.5783396134533644e-08,1.7327620815877556,0.0007048847379327075,-1.5783396134533644e-08,-1.4484148183503546e-07,1.5465077319587461e-06,6.973463268271224e-05,3.465524163175511,0.001409769475865415,-3.156679226906729e-08,0.0001394692653654245
0.06,31,0.0031668663438198935,cylinder,0.6845915153181379,0.0002922595842150892,0.0,0.6700659087934612,4.211127331651851e-05,-3.558818764247084e-09,1.3546574241115987,0.0003343708575316077,-3.558818764247084e-09,3.2731918084132896e-08,9.88143217139914e-07,3.900972198001739e-05,2.7093148482231975,0.0006687417150632154,-7.117637528494168e-09,7.801944396003478e-05
0.08,37,0.00019976038741612023,cylinder,0.598438537758631,0.001746915306768752,0.0,0.5686741162473014,5.775067928234936e-05,-1.2532063406505762e-09,1.1671126540059324,0.0018046659860511014,-1.2532063406505762e-09,-5.57216760599475e-08,7.68729666381085e-07,2.302785727099018e-05,2.334225308011865,0.003609331972102203,-2.5064126813011524e-09,4.605571454198036e-05
0.1,53,0.0027322867324893474,cylinder,0.5262313925629276,-3.67962068698063e-05,0.0,0.5012561437137146,5.6738530712236566e-05,1.7535051083888056e-08,1.0274875362766422,1.994232384243027e-05,1.7535051083888056e-08,-1.2252000137844005e-07,-2.8813093654739275e-06,1.9316402703943152e-05,2.0549750725532845,3.988464768486054e-05,3.507010216777611e-08,3.8632805407886304e-05
0.12,59,0.0007867630262280989,cylinder,0.4893202047808623,0.0002521777431746938,0.0,0.45459760684562334,3.972117012692604e-05,5.2512899432766304e-09,0.9439178116264855,0.00029189891330161984,5.2512899432766304e-09,-1.4187435418461952e-07,1.5488908886446273e-06,-2.781765226154685e-06,1.887835623252971,0.0005837978266032397,1.0502579886553261e-08,-5.56353045230937e-06
0.14,69,0.00042295613530959897,cylinder,0.4646111450510684,0.0010736326681222985,0.0,0.41926212943486957,3.2484515441693284e-05,9.98670096714343e-09,0.883873274485938,0.001106117183563992,9.98670096714343e-09,3.3723857749989893e-08,2.2814168836454707e-06,-4.650936960744266e-06,1.767746548971876,0.002212234367127984,1.997340193428686e-08,-9.301873921488532e-06
0.16,81,0.003682139873724871,cylinder,0.436300840047334,-0.00018441348854267444,0.0,0.39155496765985714,3.211544372863542e-05,1.0336732164255335e-08,0.8278558077071914,-0.00015229804481403902,1.0336732164255335e-08,-3.992780770901164e-07,-1.649743699316808e-06,3.651000606310774e-06,1.6557116154143827,-0.00030459608962807804,2.067346432851067e-08,7.302001212621548e-06
0.18,86,0.003999999999999976,cylinder,0.42107630181894107,-0.0002188088898133206,0.0,0.36958034557783087,2.3017077606221437e-05,1.001553729691622e-08,0.790656647396772,-0.00019579181220709917,1.001553729691622e-08,-4.176849288537048e-07,7.292778083090035e-07,1.505135115539132e-05,1.581313294793544,-0.00039158362441419833,2.003107459383244e-08,3.010270231078264e-05
0.2,91,0.004,cylinder,0.4095585658197764,-0.0002503099337570887,0.0,0.3513962941916712,1.84546842560952e-05,3.9462957379850645e-09,0.7609548600114476,-0.00023185524950099348,3.9462957379850645e-09,-4.0971555667326304e-07,2.4508105386789047e-06,2.2174079729363853e-05,1.5219097200228953,-0.00046371049900198697,7.892591475970129e-09,4.4348159458727706e-05
0.22,96,0.003999999999999976,cylinder,0.4010563960096878,-0.000226895696505878,0.0,0.33601585773322296,1.5311094346807313e-05,5.761357455448258e-10,0.7370722537429106,-0.00021158460215907067,5.761357455448258e-10,-4.0713137035454085e-07,3.379472366366043e-06,2.658937901134271e-05,1.4741445074858213,-0.00042316920431814133,1.1522714910896517e-09,5.317875802268542e-05
0.24,101,0.003999999999999976,cylinder,0.394749989414091,-0.0002883025866784396,0.0,0.3227932645801866,1.2090675486006744e-05,-3.1462775269087756e-10,0.7175432539942777,-0.00027621191119243287,-3.1462775269087756e-10,-4.212845894041207e-07,3.832748223228655e-06,2.860552453143771e-05,1.4350865079885553,-0.0005524238223848657,-6.292555053817551e-10,5.721104906287542e-05
0.26,106,0.004,cylinder,0.39033585334963095,-0.0002241059327454944,0.0,0.31128572348584466,1.116228350444232e-05,1.0143007999568294e-09,0.7016215768354757,-0.00021294364924105208,1.0143007999568294e-09,-5.472787549829365e-07,4.035779332847711e-06,2.875497004413839e-05,1.4032431536709513,-0.00042588729848210417,2.0286015999136588e-09,5.750994008827678e-05
0.28,111,0.004,cylinder,0.3873682100771236,-0.00039897343881425637,0.0,0.30117464837461616,7.0998065049359325e-06,5.8419557546486014e-09,0.6885428584517397,-0.0003918736323093204,5.8419557546486014e-09,-5.148959612027941e-07,3.9965149839366054e-06,2.7664037511470612e-05,1.3770857169034794,-0.0007837472646186408,1.1683911509297203e-08,5.5328075022941225e-05
0.3,116,0.003999999999999948,cylinder,0.38566342017136707,-0.0002749660656308512,0.0,0.2921733935440597,7.720261941752262e-06,1.0853935008225168e-08,0.6778368137154268,-0.00026724580368909893,1.0853935008225168e-08,-5.058605418153942e-07,3.911434247029499e-06,2.5448527410430004e-05,1.3556736274308536,-0.0005344916073781979,2.1707870016450336e-08,5.089705482086001e-05
0.32,121,0.004,cylinder,0.38505577774379546,-0.00029065264001687887,0.0,0.2841061749626247,7.76090080842531e-06,1.5757836809823493e-08,0.6691619527064201,-0.0002828917392084535,1.5757836809823493e-08,-5.3158298598006e-07,3.749315000606268e-06,2.2707832842286887e-05,1.3383239054128402,-0.000565783478416907,3.1515673619646986e-08,4.541566568457377e-05
0.34,126,0.004,cylinder,0.3851305474406812,-0.0002969547848084294,0.0,0.27680400227377716,7.73961697351133e-06,2.3684550882064058e-08,0.6619345497144584,-0.00028921516783491806,2.3684550882064058e-08,-5.071406159080238e-07,3.6569797177907204e-06,1.9763165934113794e-05,1.3238690994289168,-0.0005784303356698361,4.7369101764128117e-08,3.952633186822759e-05
0.36,131,0.003999999999999948,cylinder,0.38610277600406306,-0.0002955034662487559,0.0,0.2701769593074875,7.603885472555467e-06,3.01622287178756e-08,0.6562797353115505,-0.00028789958077620045,3.01622287178756e-08,-5.821730235516651e-07,3.0275265411605634e-06,1.667175830575573e-05,1.312559470623101,-0.0005757991615524009,6.03244574357512e-08,3.334351661151146e-05
0.38,136,0.004,cylinder,0.38767455367948866,-0.0002880841134650248,0.0,0.26410365189920315,7.350291244256714e-06,3.8285035742056074e-08,0.6517782055786918,-0.0002807338222207681,3.8285035742056074e-08,-5.931833819940036e-07,3.2462732356547397e-06,1.3688448964541198e-05,1.3035564111573836,-0.0005614676444415362,7.657007148411215e-08,2.7376897929082397e-05
0.4,141,0.004,cylinder,0.3895166362304975,-0.00027984898694376887,0.0,0.2585414104868411,7.637320825310078e-06,4.762238188265233e-08,0.6480580467173387,-0.00027221166611845875,4.762238188265233e-08,-6.53847851827478e-07,3.0948915230727403e-06,1.0908107571806722e-05,1.2961160934346774,-0.0005444233322369175,9.524476376530466e-08,2.1816215143613444e-05
0.42,146,0.003999999999999948,cylinder,0.39194349474378154,-0.00025084760797732225,0.0,0.25342630662530463,8.446087010736224e-06,5.005492786305567e-08,0.6453698013690863,-0.000242401520966586,5.005492786305567e-08,-5.990559427527213e-07,2.702986104212435e-06,8.375696872441819e-06,1.2907396027381726,-0.000484803041933172,1.0010985572611134e-07,1.6751393744883638e-05
0.44,151,0.004,cylinder,0.3944258827264758,-0.0002324543946642764,0.0,0.24867918748816942,9.68816573234648e-06,6.874044017354437e-08,0.6431050702146454,-0.00022276622893192992,6.874044017354437e-08,-7.821902118819037e-07,2.683464979960637e-06,6.270040700529694e-06,1.2862101404292907,-0.00044553245786385984,1.3748088034708874e-07,1.2540081401059387e-05
0.46,156,0.004,cylinder,0.39770330755521077,-0.00022063318466110447,0.0,0.24428506041631115,1.0752612648395683e-05,7.557204043052395e-08,0.6419883679715219,-0.00020988057201270878,7.557204043052395e-08,-6.693759414812093e-07,2.929547376594177e-06,4.647125827440784e-06,1.2839767359430438,-0.00041976114402541756,1.511440808610479e-07,9.294251654881568e-06
0.48,161,0.003999999999999948,cylinder,0.40098323615159237,-0.00020775470843802698,0.0,0.2402049109509931,1.1930972880332575e-05,7.879933446531788e-08,0.6411881471025855,-0.0001958237355576944,7.879933446531788e-08,-6.931477141670919e-07,2.443212736409628e-06,3.5765144626264246e-06,1.282376294205171,-0.0003916474711153888,1.5759866893063575e-07,7.153028925252849e-06
0.5,166,0.004,cylinder,0.4043480892524318,-0.00019436779067118963,0.0,0.23639627503418217,1.281719941610707e-05,9.503189179669177e-08,0.640744364286614,-0.00018155059125508257,9.503189179669177e-08,-7.155328948805215e-07,2.5600096644345927e-06,2.898999706185867e-06,1.281488728573228,-0.00036310118251016514,1.9006378359338354e-07,5.797999412371734e-06
0.52,171,0.004,cylinder,0.4081881899610438,-0.00024057574408559515,0.0,0.2328357311935636,1.341967095937357e-05,1.049929545909227e-07,0.6410239211546073,-0.00022715607312622155,1.049929545909227e-07,-9.78989792058112e-07,2.3089782304960838e-06,2.4144585477075707e-06,1.2820478423092145,-0.0004543121462524431,2.099859091818454e-07,4.828917095415141e-06
0.54,176,0.004,cylinder,0.4120557433672972,-0.00018037911349807372,0.0,0.22950354688862007,1.4135452920190486e-05,1.1393407195734068e-07,0.6415592902559173,-0.00016624366057788325,1.1393407195734068e-07,-7.771577881807786e-07,2.280805872147129e-06,2.060389225090381e-06,1.2831185805118346,-0.0003324873211557665,2.2786814391468137e-07,4.120778450180762e-06
0.56,181,0.004,cylinder,0.4161599777448908,-0.00017990659345232295,0.0,0.22638007446021974,1.4595737315416305e-05,1.2372751279439582e-07,0.6425400522051106,-0.00016531085613690665,1.2372751279439582e-07,-7.909212322238711e-07,2.121883515025791e-06,1.8436129951173016e-06,1.2850801044102211,-0.0003306217122738133,2.4745502558879163e-07,3.6872259902346032e-06
0.58,186,0.0039999999999998925,cylinder,0.4202507539859115,-0.00017615941040814893,0.0,0.22343981965697068,1.49630278361836e-05,1.3710576466926114e-07,0.6436905736428822,-0.00016119638257196532,1.3710576466926114e-07,-8.066521910319867e-07,2.0905161904893887e-06,1.6233060659295395e-06,1.2873811472857644,-0.00032239276514393065,2.742115293385223e-07,3.246612131859079e-06
