time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z,strain_rate_xx,strain_rate_xy,strain_rate_xz,strain_rate_yy,strain_rate_yz,strain_rate_zz,velocity_gradient_xx,velocity_gradient_xy,velocity_gradient_xz,velocity_gradient_yx,velocity_gradient_yy,velocity_gradient_yz,velocity_gradient_zx,velocity_gradient_zy,velocity_gradient_zz
0.05,1,-4.5,0.0,0.0,0.99694973,6.271449e-07,7.2077114e-07,-3.9332625929855685e-08,3.437598073973715e-07,-3.3199003335819934e-07,-0.002051425290230481,8.057074832773287e-07,8.635543713164933e-07,0.001025635232512643,1.6776578380301474e-07,0.0010257926189547258,-0.002051425290230481,9.717024999564283e-07,1.035434275015179e-06,6.39712466598229e-07,0.001025635232512643,1.8743209676794258e-07,6.916744676178075e-07,1.480994708380869e-07,0.0010257926189547258
0.05,1,-4.46875,0.0,0.0,0.9968847,6.532564e-07,7.480264e-07,-4.043496186912753e-08,3.5486121872870023e-07,-3.398276465775454e-07,-0.0021100314335807044,8.313072077315768e-07,8.880814022785494e-07,0.0010549349808916463,1.7404188147975876e-07,0.001055097267963293,-0.0021100314335807044,1.0012210310203495e-06,1.0655120116428995e-06,6.613933844428041e-07,0.0010549349808916463,1.9425936241432252e-07,7.106507929141993e-07,1.53824400545195e-07,0.001055097267963293
0.05,1,-4.4375,0.0,0.0,0.9968178,6.6919165e-07,7.680644e-07,-4.1643165313049336e-08,3.638746145718163e-07,-3.477733782767181e-07,-0.0021707480473340812,8.577012089098883e-07,9.172582816246761e-07,0.0010852904320994433,1.8059313339920916e-07,0.0010854576150365813,-0.0021707480473340812,1.0315878980482474e-06,1.0991955889105842e-06,6.838145197715292e-07,0.0010852904320994433,2.0141471605573382e-07,7.353209743387679e-07,1.597715507426845e-07,0.0010854576150365813
0.05,1,-4.40625,0.0,0.0,0.996749,6.9358487e-07,7.916593e-07,-4.281263680139431e-08,3.754567017249903e-07,-3.56042252070679e-07,-0.0022336665010732684,8.853713042637865e-07,9.456789308184919e-07,0.0011167484361053414,1.8737413844506848e-07,0.0011169202770598022,-0.0022336665010732684,1.063392430299126e-06,1.133407281680987e-06,7.07350178228447e-07,0.0011167484361053414,2.0878045684576563e-07,7.579505799559967e-07,1.6596782004437132e-07,0.0011169202770598022
0.05,1,-4.375,0.0,0.0,0.99667823,7.174484e-07,8.184245e-07,-4.4203509900922304e-08,3.840197774518405e-07,-3.6451793774953164e-07,-0.002298884048597051,9.137902674059947e-07,9.756244855388385e-07,0.0011493551743671595,1.9458513964552317e-07,0.0011495312023926307,-0.002298884048597051,1.0960492362807606e-06,1.1676343742647588e-06,7.315312985312289e-07,0.0011493551743671595,2.1668689459598432e-07,7.836145968129183e-07,1.7248338469506201e-07,0.0011495312023926307
0.05,1,-4.34375,0.0,0.0,0.9966053,7.415523e-07,8.430544e-07,-4.550196997486766e-08,3.960251277559425e-07,-3.7348085700733384e-07,-0.002366502636516353,9.434849730637638e-07,1.005741369612288e-06,0.0011831603404723352,2.0208689210433374e-07,0.001183343809627882,-0.002366502636516353,1.1302254015674307e-06,1.2037539334902592e-06,7.567445445600968e-07,0.0011831603404723352,2.2483787709176757e-07,8.077288057343167e-07,1.793359071168999e-07,0.001183343809627882
0.05,1,-4.3125,0.0,0.0,0.99653023,7.669869e-07,8.692331e-07,-4.682446104459356e-08,4.036733143076318e-07,-3.827567630980389e-07,-0.0024366314433750744,9.7431468019528e-07,1.0411698834039403e-06,0.001218222714259533,2.0988600205802698e-07,0.0012184108247053178,-0.0024366314433750744,1.1656930617442995e-06,1.2430065405577562e-06,7.829362986462606e-07,0.001218222714259533,2.3329823258032376e-07,8.393332262501244e-07,1.864737715357302e-07,0.0012184108247053178
0.05,1,-4.28125,0.0,0.0,0.996453,7.8843277e-07,8.934495e-07,-4.840835320703979e-08,4.116205398059752e-07,-3.9246749627524493e-07,-0.0025093789354852306,1.0062508640656693e-06,1.075587756776882e-06,0.0012545916396811034,2.1820122716987266e-07,0.001254787761268476,-0.0025093789354852306,1.2024846122032917e-06,1.2813980266798697e-06,8.100171159280468e-07,0.0012545916396811034,2.4240540377339255e-07,8.697774868738945e-07,1.9399705056635276e-07,0.001254787761268476
0.05,1,-4.25,0.0,0.0,0.9963734,8.1315886e-07,9.208685e-07,-4.971242601294404e-08,4.2755161033174e-07,-4.018026256649579e-07,-0.002584865178470376,1.0397176927153039e-06,1.1077983527206037e-06,0.0012923326217333347,2.2683089701951717e-07,0.0012925336047148106,-0.002584865178470376,1.2406190055477828e-06,1.3215741578864737e-06,8.388163798828249e-07,0.0012923326217333347,2.516871100259892e-07,8.940225475547337e-07,2.0197468401304515e-07,0.0012925336047148106
0.05,1,-4.21875,0.0,0.0,0.9962914,8.385498e-07,9.471312e-07,-5.1294158349090256e-08,4.34178290650638e-07,-4.1195153895919176e-07,-0.0026632169185928645,1.0742920682023295e-06,1.1461274482483716e-06,0.0013315043766981005,2.3589191507983808e-07,0.0013317118439908908,-0.0026632169185928645,1.2802678376819254e-06,1.3632165935736906e-06,8.683162987227337e-07,0.0013315043766981005,2.615389942543832e-07,9.290383029230526e-07,2.1024483590529296e-07,0.0013317118439908908
