time,step,kinetic_energy,enstrophy,enstrophy_test,dEdt,neg_nu_enstrophy,helicity,strength_magnitude,strength_x,strength_y,strength_z,impulse_x,impulse_y,impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles,max_gamma,turbulent_viscosity_mean,turbulent_viscosity_max,effective_viscosity_mean,effective_viscosity_max,invariant_projection_correction_ratio,core_radius_mean,overlap_ratio,overlap_ratio_max,vorticity_divergence_error,strength_misalignment_deg,stabilization_events,stabilization_last_mechanism,stabilization_circulation_error,stabilization_strength_growth,stabilization_vorticity_growth,stabilization_max_vorticity_growth
0.5,10,1.6918004751205444,49.72188186645508,40.02324676513672,0.0,-0.09381495416164398,0.0,6.192191123962402,0.0,0.0,6.192191123962402,-0.00024253781884908676,0.0004396047443151474,0.0,-1.2222444638609886e-06,-4.864414222538471e-07,-0.03952844440937042,9435,0.0030717530753463507,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.08819352835416794,0.5134108371856929,0.7160916585521935,0.013088936672230708,0.0,0,none,0.0,0.0,0.0,0.0
1.0,20,1.6475812196731567,41.3445930480957,34.3858528137207,-0.08843851089477539,-0.078008733689785,0.0,6.192191123962402,0.0,0.0,6.192191123962402,-0.000252558384090662,0.0004435058799572289,0.0,-3.3830292522907257e-06,1.4415709301829338e-06,-0.047565288841724396,9435,0.0030717530753463507,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.1074787825345993,0.40272327809546193,0.6429909181355137,0.015673450785861638,0.0,0,none,0.0,0.0,0.0,0.0
1.5,30,1.6108508110046387,35.45671844482422,30.194808959960938,-0.07346081733703613,-0.06689950078725815,0.0,6.1921916007995605,0.0,0.0,6.1921916007995605,-0.00025671813637018204,0.00044558942317962646,0.0,-3.4264521673321724e-06,2.016313374042511e-06,-0.055483218282461166,9435,0.0030717530753463507,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.1237952932715416,0.3498576706919961,0.5432352787261039,0.01760217899112608,0.0,0,none,0.0,0.0,0.0,0.0
2.0,40,1.579266905784607,31.05443572998047,26.929786682128906,-0.06316781044006348,-0.05859335511922836,0.0,6.192191123962402,0.0,0.0,6.192191123962402,-0.0002582208253443241,0.0004522688686847687,0.0,-5.155510734766722e-06,2.7894857339560986e-06,-0.06334439665079117,9435,0.0030717530753463507,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.1381986290216446,0.3149330007649265,0.49143834611359205,0.019844484014232163,0.0,0,none,0.0,0.0,0.0,0.0
2.5,50,1.5514936447143555,27.626846313476562,24.304880142211914,-0.05554652214050293,-0.052126094698905945,0.0,6.192191123962402,0.0,0.0,6.192191123962402,-0.00025570206344127655,0.0004608358140103519,0.0,-4.423782229423523e-06,1.674110535532236e-06,-0.07117604464292526,9435,0.0030717530753463507,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.1512364000082016,0.29042053199807194,0.4272312524388127,0.02208682719805923,0.0,0,none,0.0,0.0,0.0,0.0
3.0,60,1.5266863107681274,24.878482818603516,22.145299911499023,-0.049614667892456055,-0.04694050922989845,0.0,6.192191123962402,0.0,0.0,6.192191123962402,-0.0002677254378795624,0.0004598041996359825,0.0,-5.831534508615732e-06,-1.003849320113659e-06,-0.07899130135774612,9435,0.0030717530753463507,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.1632361263036728,0.26741626548447917,0.43387785353070685,0.024258078333808268,0.0,0,none,0.0,0.0,0.0,0.0
3.5,70,1.5042623281478882,22.624462127685547,20.336294174194336,-0.044847965240478516,-0.04268764704465866,0.0,6.192191123962402,0.0,0.0,6.192191123962402,-0.00026565510779619217,0.00045817065984010696,0.0,-5.980720743536949e-06,-6.224727258086205e-07,-0.08679699897766113,9435,0.0030717530753463507,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.17441222071647644,0.25096901723555287,0.3830504002129651,0.026387473846074636,0.0,0,none,0.0,0.0,0.0,0.0
4.0,80,1.483802080154419,20.74193000793457,18.798439025878906,-0.04092049598693848,-0.039135757833719254,0.0,6.192191123962402,0.0,0.0,6.192191123962402,-0.00026125391013920307,0.00046151038259267807,0.0,-5.41249755769968e-06,-9.685754776000977e-08,-0.09459695219993591,9435,0.0030717530753463507,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.18491403758525848,0.2383779691802413,0.34224087300169426,0.0284794032859104,0.0,0,none,0.0,0.0,0.0,0.0
4.5,90,1.464988350868225,19.145977020263672,17.474836349487305,-0.037627458572387695,-0.03612450510263443,0.0,6.192191123962402,0.0,0.0,6.192191123962402,-0.000257980078458786,0.0004657455428969115,0.0,-6.3256011344492435e-06,1.071719452738762e-06,-0.1023932620882988,9435,0.0030717530753463507,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.1948506385087967,0.2246728104241933,0.31855699397217807,0.030420606897435996,0.0,0,none,0.0,0.0,0.0,0.0
5.0,100,1.4475764036178589,17.775815963745117,16.3236141204834,-0.03482389450073242,-0.03353925794363022,0.0,6.192191123962402,0.0,0.0,6.192191123962402,-0.00026357138995081186,0.0004666093736886978,0.0,-7.176422514021397e-06,1.6437843441963196e-07,-0.11018717288970947,9435,0.0030717530753463507,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.2043045461177826,0.21221159398587275,0.32420391025634043,0.03220639298679055,0.0,0,none,0.0,0.0,0.0,0.0
