time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
1.15,92,-0.8465215454101565,0.024690988540649418,0.0,12.345494,0.0,-423.26077,0.1074051707983017,0.0,-0.6091248989105225,0.0003097789705748255,-106.40811206461103,6.239454194556515e-05,-423.2607727050781,12.345494270324707,50.0,9.999999999999998,6.195579411496512e-08,-0.21281622412922216,1.2478908389113032e-08,5.65171241760254e-08,-0.003329832553863527,1.2171268463134768e-08,-42.38589096069336,42.38589455192874,0.0,5152,-123.45494270324707,0.0,-123.45494270324707
1.1625,93,-0.8466933593750002,0.024666809082031255,0.0,12.333405,0.0,-423.34668,0.10404611378908157,0.0,-0.590074360370636,0.00023738133923600913,-106.43276842605627,4.05817117954399e-05,-423.3466796875,12.333404541015625,50.0,9.999999999999998,4.7476267847201835e-08,-0.21286553685211262,8.116342359087982e-09,3.51548194885254e-08,-0.003337189435958864,6.660819053649903e-09,-42.39623260498047,42.39622608319524,0.0,5208,-123.33404541015625,0.0,-123.33404541015625
1.175,94,-0.846859069824219,0.024643310546875005,0.0,12.321655,0.0,-423.42953,0.10077869892120361,0.0,-0.5715440511703491,-0.00027334018598779153,-106.45670413627938,-4.402023197247473e-05,-423.4295349121094,12.3216552734375,50.0,9.999999999999998,-5.466803719755832e-08,-0.21291340827255886,-8.804046394494948e-09,-7.996559143066408e-08,-0.003345269680023195,-8.72313976287842e-09,-42.40623092651367,42.40623020726178,0.0,5264,-123.216552734375,0.0,-123.216552734375
1.1875,95,-0.8470198364257815,0.024620544433593756,0.0,12.310272,0.0,-423.50992,0.09764005988836288,0.0,-0.5537441968917847,1.3456903097619488e-05,-106.47986730827998,5.0806422233762305e-06,-423.5099182128906,12.310272216796875,50.0,9.999999999999998,2.691380619523898e-09,-0.21295973461656006,1.0161284446752463e-09,8.237361907958985e-09,-0.0033537747859954847,1.2516975402832034e-09,-42.41593551635742,42.41591920489654,0.0,5320,-123.10272216796875,0.0,-123.10272216796875
1.2,96,-0.8471766357421877,0.024598579406738288,0.0,12.29929,0.0,-423.58832,0.09466873109340668,0.0,-0.5368928909301758,-5.727927755927453e-05,-106.50230206469692,-3.365749252637329e-06,-423.58831787109375,12.29928970336914,50.0,9.999999999999998,-1.1455855511854908e-08,-0.21300460412939393,-6.731498505274659e-10,-2.2923946380615238e-08,-0.0033618142604827897,6.10947608947754e-10,-42.425315856933594,42.42531022449642,0.0,5376,-122.9928970336914,0.0,-122.9928970336914
1.2125,97,-0.8473276977539065,0.024577146530151372,0.0,12.288573,0.0,-423.66385,0.0917469784617424,0.0,-0.5203226804733276,0.0001702071766906954,-106.52409664143833,3.0449020174572183e-05,-423.6638488769531,12.288573265075684,50.0,9.999999999999998,3.404143533813909e-08,-0.21304819328287677,6.089804034914438e-09,2.489089965820313e-08,-0.0033682513236999528,6.374716758728028e-09,-42.43439865112305,42.43440955554207,0.0,5432,-122.88573265075684,0.0,-122.88573265075684
1.225,98,-0.847475280761719,0.024556449890136726,0.0,12.278225,0.0,-423.73764,0.08896857500076294,0.0,-0.5045657753944397,0.00010715120481563645,-106.54517971316649,2.198748659321126e-05,-423.7376403808594,12.27822494506836,50.0,9.999999999999998,2.1430240963127294e-08,-0.2130903594263331,4.397497318642252e-09,5.364418029785157e-09,-0.0033758277893066423,4.523992538452149e-09,-42.44322967529297,42.44323098200394,0.0,5488,-122.7822494506836,0.0,-122.7822494506836
1.2375,99,-0.8476188964843752,0.02453646850585938,0.0,12.268234,0.0,-423.80945,0.08633840829133987,0.0,-0.4896490275859833,-8.581250439476662e-05,-106.56564263250402,-1.760345490442461e-05,-423.8094482421875,12.268234252929688,50.0,9.999999999999998,-1.7162500878953327e-08,-0.21313128526500813,-3.5206909808849224e-09,-1.1575222015380862e-08,-0.003380609750747682,-2.0593404769897464e-09,-42.451786041259766,42.45178686874702,0.0,5544,-122.68234252929688,0.0,-122.68234252929688
1.25,100,-0.8477579956054689,0.024516923904418952,0.0,12.258462,0.0,-423.879,0.08373244106769562,0.0,-0.47486990690231323,7.10085968087526e-05,-106.5855075117907,1.3521931873761162e-05,-423.8789978027344,12.258461952209473,50.0,9.999999999999998,1.4201719361750522e-08,-0.2131710150235815,2.7043863747522326e-09,2.0730495452880863e-08,-0.0033870332241058365,2.29179859161377e-09,-42.460079193115234,42.46008453818764,0.0,5600,-122.58461952209473,0.0,-122.58461952209473
1.2625,101,-0.847893249511719,0.024498031616210943,0.0,12.249016,0.0,-423.94662,0.08125531673431396,0.0,-0.46082133054733276,-0.0002521418188194957,-106.60480543985278,-4.715177593705988e-05,-423.9466247558594,12.249015808105469,50.0,9.999999999999998,-5.042836376389915e-08,-0.21320961087970566,-9.430355187411978e-09,-6.593465805053713e-08,-0.0033939611911773695,-8.732080459594728e-09,-42.46815872192383,42.468135307367035,0.0,5656,-122.49015808105469,0.0,-122.49015808105469
1.275,102,-0.8480243530273439,0.024479696273803718,0.0,12.239848,0.0,-424.01218,0.07887183874845505,0.0,-0.4473038911819458,0.00019863911203898965,-106.62349644745738,3.0242117546208647e-05,-424.0121765136719,12.239848136901855,50.0,9.999999999999998,3.972782240779794e-08,-0.21324699289491486,6.048423509241731e-09,4.891157150268555e-08,-0.003398163080215456,5.85615634918213e-09,-42.475948333740234,42.47594428333941,0.0,5712,-122.39848136901855,0.0,-122.39848136901855
1.2875,103,-0.8481520996093752,0.024461872100830083,0.0,12.230936,0.0,-424.07605,0.07655373215675354,0.0,-0.4341578185558319,7.089414383187886e-05,-106.64166705850995,3.4686824763596746e-06,-424.0760498046875,12.230936050415039,50.0,9.999999999999998,1.4178828766375776e-08,-0.21328333411702,6.93736495271935e-10,1.7857551574707033e-08,-0.00340550470352173,9.179115295410158e-10,-42.4835205078125,42.48352332836574,0.0,5768,-122.30936050415039,0.0,-122.30936050415039
1.3,104,-0.8482766723632814,0.02444465827941895,0.0,12.222329,0.0,-424.13834,0.07437317818403244,0.0,-0.42179104685783386,-5.1224541753214226e-05,-106.65931127492699,-1.1788335215534573e-05,-424.1383361816406,12.222329139709473,50.0,9.999999999999998,-1.0244908350642847e-08,-0.2133186225498541,-2.357667043106915e-09,-3.51548194885254e-08,-0.0034092438220977798,-1.883506774902344e-09,-42.49087905883789,42.49088320731711,0.0,5824,-122.22329139709473,0.0,-122.22329139709473
1.3125,105,-0.8483977050781252,0.02442791366577149,0.0,12.213957,0.0,-424.19885,0.07225643843412399,0.0,-0.409786194562912,5.777655498917511e-05,-106.67643304747197,8.542809476708157e-06,-424.1988525390625,12.213956832885742,50.0,9.999999999999998,1.1555310997835025e-08,-0.21335286609494405,1.7085618953416318e-09,4.14729118347168e-08,-0.003416017293930055,9.328126907348635e-10,-42.49805450439453,42.49803316814294,0.0,5880,-122.13956832885742,0.0,-122.13956832885742
1.325,106,-0.8485148315429689,0.02441152954101563,0.0,12.205765,0.0,-424.25742,0.07015804946422577,0.0,-0.3978857696056366,6.16714872236912e-06,-106.69311670412723,-5.7789715439682254e-06,-424.2574157714844,12.205764770507812,50.0,9.999999999999998,1.2334297444738242e-09,-0.21338623340825458,-1.1557943087936453e-09,-1.9192695617675785e-09,-0.0034204685688018813,-1.8596649169921878e-09,-42.50498962402344,42.50497354391588,0.0,5936,-122.05764770507812,0.0,-122.05764770507812
1.3375,107,-0.8486296386718752,0.024395797729492193,0.0,12.197899,0.0,-424.31482,0.06821364909410477,0.0,-0.38685864210128784,0.00013743548819533657,-106.70923201203435,2.2939553277367963e-05,-424.3148193359375,12.197898864746094,50.0,9.999999999999998,2.748709763906732e-08,-0.2134184640240688,4.587910655473594e-09,1.801252365112305e-08,-0.003425906658172609,3.859400749206544e-09,-42.511741638183594,42.511719050737156,0.0,5992,-121.97898864746094,0.0,-121.97898864746094
1.35,108,-0.848740661621094,0.024380361557006843,0.0,12.190181,0.0,-424.37033,0.0662812739610672,0.0,-0.37589961290359497,-0.00035025293854218376,-106.7250103078855,-5.867280053184487e-05,-424.3703308105469,12.190180778503418,50.0,9.999999999999998,-7.005058770843676e-08,-0.2134500206157711,-1.1734560106368976e-08,-6.755590438842775e-08,-0.00342835569381714,-1.1980533599853518e-08,-42.518272399902344,42.51827174789978,0.0,6048,-121.90180778503418,0.0,-121.90180778503418
1.3625,109,-0.8488491210937502,0.02436547470092774,0.0,12.182737,0.0,-424.42456,0.06446447223424911,0.0,-0.3655959367752075,0.00037708256838087095,-106.74027176474962,6.35218404365645e-05,-424.424560546875,12.182737350463867,50.0,9.999999999999998,7.54165136761742e-08,-0.21348054352949933,1.2704368087312903e-08,7.108449935913088e-08,-0.0034351797103881854,1.3756752014160158e-08,-42.52465057373047,42.52464446473287,0.0,6104,-121.82737350463867,0.0,-121.82737350463867
1.375,110,-0.8489538574218752,0.024350784301757817,0.0,12.175392,0.0,-424.47693,0.06260693818330765,0.0,-0.3550613820552826,3.426919743532153e-05,-106.75517836972092,4.2940996811680066e-06,-424.4769287109375,12.175392150878906,50.0,9.999999999999998,6.853839487064307e-09,-0.21351035673944194,8.588199362336015e-10,1.1694431304931643e-08,-0.0034374725818634047,1.3679265975952151e-09,-42.530818939208984,42.53083058972808,0.0,6160,-121.75392150878906,0.0,-121.75392150878906
1.3875,111,-0.8490571899414064,0.024336748123168953,0.0,12.168374,0.0,-424.5286,0.06093292683362961,0.0,-0.3455675542354584,4.016224123759571e-05,-106.76961086530174,9.995681319985295e-06,-424.5285949707031,12.168374061584473,50.0,9.999999999999998,8.032448247519143e-09,-0.21353922173060358,1.9991362639970592e-09,4.58359718322754e-08,-0.0034439575672149674,1.9878149032592776e-09,-42.53685760498047,42.53685116601079,0.0,6216,-121.68374061584473,0.0,-121.68374061584473
1.4,112,-0.8491572265625001,0.024322984695434577,0.0,12.161492,0.0,-424.5786,0.059264469891786575,0.0,-0.3361053168773651,4.462680681527331e-05,-106.78365097989054,4.645569356753754e-06,-424.57861328125,12.161492347717285,50.0,9.999999999999998,8.925361363054664e-09,-0.2135673019597812,9.291138713507509e-10,-9.047985076904298e-09,-0.0034480333328247084,1.4305114746093751e-10,-42.5427131652832,42.54270630899194,0.0,6272,-121.61492347717285,0.0,-121.61492347717285
1.4125,113,-0.8492548828125002,0.024309740066528324,0.0,12.15487,0.0,-424.62744,0.05772048234939575,0.0,-0.32734888792037964,-0.0002957129643270662,-106.79735036674464,-4.879084362396924e-05,-424.62744140625,12.15487003326416,50.0,9.999999999999998,-5.914259286541324e-08,-0.21359470073348938,-9.75816872479385e-09,-3.407001495361329e-08,-0.0034502193927764906,-8.377432823181154e-09,-42.548397064208984,42.548404035029264,0.0,6328,-121.5487003326416,0.0,-121.5487003326416
1.425,114,-0.849350036621094,0.024296644210815434,0.0,12.148322,0.0,-424.67502,0.05612713098526001,0.0,-0.31831249594688416,-9.40919116132477e-06,-106.81067627124789,-4.708746825343724e-06,-424.6750183105469,12.148322105407715,50.0,9.999999999999998,-1.8818382322649545e-09,-0.21362135254249587,-9.417493650687449e-10,-9.322166442871096e-09,-0.003455805301666261,-3.0845403671264655e-09,-42.5539665222168,42.553945243064824,0.0,6384,-121.48322105407715,0.0,-121.48322105407715
1.4375,115,-0.8494425048828127,0.024284023284912117,0.0,12.142012,0.0,-424.72125,0.05464140325784683,0.0,-0.30988654494285583,-9.151718554178956e-05,-106.82363106741936,-2.0238773565495194e-05,-424.72125244140625,12.142011642456055,50.0,9.999999999999998,-1.8303437108357916e-08,-0.2136472621348388,-4.04775471309904e-09,-2.515316009521485e-08,-0.0034602537155151384,-3.5673379898071298e-09,-42.559329986572266,42.55933770508694,0.0,6440,-121.42011642456055,0.0,-121.42011642456055
1.45,116,-0.8495327758789064,0.024271705627441412,0.0,12.135853,0.0,-424.7664,0.05320490524172783,0.0,-0.3017396628856659,0.00010591152580019525,-106.83625907712985,1.610251880812541e-05,-424.7663879394531,12.135852813720703,50.0,9.999999999999998,2.1182305160039052e-08,-0.2136725181542598,3.2205037616250827e-09,3.768205642700196e-08,-0.0034621908664703386,5.2660703659057624e-09,-42.564605712890625,42.56458791655403,0.0,6496,-121.35852813720703,0.0,-121.35852813720703
1.4625,117,-0.849620300292969,0.0242596607208252,0.0,12.12983,0.0,-424.81015,0.05177471041679382,0.0,-0.2936287224292755,-0.00017323931707124984,-106.84854424940015,-2.9452545259545104e-05,-424.8101501464844,12.129830360412598,50.0,9.999999999999998,-3.464786341424997e-08,-0.2136970884988004,-5.890509051909022e-09,-5.784034729003907e-08,-0.003465739250183107,-4.819035530090333e-09,-42.569705963134766,42.56969698793182,0.0,6552,-121.29830360412598,0.0,-121.29830360412598
