time,step,x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
0.045,3,-4.5,0.75,0.0,0.9970198,-0.00031619507,-0.0010310678,0.0002596409325406057,1.034451270243153e-05,-0.0020204233442200348,-0.0021322422289813403,-0.0004949825888616033,-0.00028278158060857095,0.00016886426601558924,0.00020041428780359638,0.0029112534029991366,-0.0021322422289813403,0.0005152290832484141,-0.0002776093242573552,-0.0015051942609716207,0.00016886426601558924,7.059382153329352e-05,-0.0002879538369597867,0.00033023475407389924,0.0029112534029991366
0.045,3,-4.47,0.75,0.0,0.99696255,-0.00030994776,-0.0010435302,-0.00012152108240570669,-3.546666084730532e-05,-0.00046735184150747955,-0.0018435063684592023,0.0007152863108785823,-0.00019344369047757937,0.0007000338828220265,-3.478058209793744e-05,0.00016312806837959215,-0.0018435063684592023,0.0009489622316323221,-0.00021117702090123203,0.0004816103901248425,0.0007000338828220265,2.5979959104915906e-05,-0.0001757103600539267,-9.554112330079079e-05,0.00016312806837959215
0.045,3,-4.44,0.75,0.0,0.9969039,-0.0003034327,-0.0010560949,-0.00010600050052289589,0.00019014207646250725,0.00010669403127394617,-0.0017098447751777712,-0.00011248922965023667,-0.00024762319662841037,0.0038068922840466257,-3.2712989707306406e-05,0.0009558838792145252,-0.0017098447751777712,-0.00016583624528720975,-0.00015255215839715675,-5.914221401326358e-05,0.0038068922840466257,2.028726055414154e-05,-0.000342694234859664,-8.571323996875435e-05,0.0009558838792145252
0.045,3,-4.41,0.75,0.0,0.9968436,-0.00029643538,-0.0010692134,-0.00015511237779719522,-7.559005462098867e-05,0.0007970642764121294,-0.002790841375826858,0.00039450349868275225,-0.00034738735848804936,0.001059076686942717,-4.950559059579973e-05,0.0018148622912121937,-0.002790841375826858,-4.0286395233124495e-06,-0.0003851823857985437,0.000793035636888817,0.001059076686942717,2.805059830279788e-05,-0.000309592331177555,-0.00012706177949439734,0.0018148622912121937
0.045,3,-4.38,0.75,0.0,0.9967819,-0.00028910814,-0.0010824322,6.629738385299788e-05,0.00011833045573439449,0.0010206933948211372,-0.0013067174731986597,0.0008619494328740984,-0.0001686319665168412,0.0026137522363569587,2.8184720378021666e-05,0.00037386307667475194,-0.0013067174731986597,0.0003516027354635298,-0.00010946673864964396,0.001372296130284667,0.0026137522363569587,-4.963971548477275e-06,-0.00022779719438403845,6.133341230452061e-05,0.00037386307667475194
0.045,3,-4.35,0.75,0.0,0.9967186,-0.00028120604,-0.0010960718,0.0003874067601259412,0.0003753714117920026,0.0026383338845334947,-0.001553236106701661,0.0008155351679306477,-0.00025443491904297844,0.00029566798548330553,0.0002226296285527951,-0.0005178868159418926,-0.001553236106701661,-0.0005036317743360996,-6.674921314697713e-05,0.002134702110197395,0.00029566798548330553,2.8926248489824502e-05,-0.00044212062493897974,0.0004163330086157657,-0.0005178868159418926
0.045,3,-4.32,0.75,0.0,0.9966533,-0.0002716513,-0.0011096227,0.0002635706642877267,0.0002861170669348212,-0.0007510158902732655,-0.003379206929821521,-0.000364301806257572,-0.00028713148003589595,0.0008216835503844777,0.00018965413522664676,0.0010206592414760962,-0.003379206929821521,1.1206138879060745e-05,-0.00014407294656848535,-0.0007398097513942048,0.0008216835503844777,5.7868803082783415e-05,-0.00043019001350330655,0.0003214394673705101,0.0010206592414760962
0.045,3,-4.29,0.75,0.0,0.99658656,-0.0002626428,-0.001123638,0.0003670079231596901,0.000494195512146689,-0.0008603894311818294,-0.0014176257100189105,-0.0006263386494538281,-0.00034081498597515747,0.0006806926830904558,0.00018602372119858046,0.0015232822333928198,-0.0014176257100189105,-0.0001961439338629134,-9.371722990181297e-05,-0.0010565333650447428,0.0006806926830904558,2.5197596187354065e-06,-0.000587912742048502,0.0003695276827784255,0.0015232822333928198
0.045,3,-4.26,0.75,0.0,0.99651825,-0.00025345356,-0.0011381846,-5.462894705487997e-07,0.0005327608450897969,-0.0009176185485557653,-0.002191649138694629,-1.6685651644365862e-05,-0.0004301782864786219,0.0031221003282553283,4.002814768000462e-05,-0.00040591527067590505,-0.002191649138694629,0.0004421236226335168,-0.00016379786393372342,-0.0004754949259222485,0.0031221003282553283,4.030129241527902e-05,-0.0006965587090235204,3.975500294473022e-05,-0.00040591527067590505
0.045,3,-4.23,0.75,0.0,0.99644685,-0.00024271192,-0.0011531963,-2.816978371811274e-05,0.00015864728993619792,1.956737833097577e-05,-0.0027182654666830786,0.00137806186103262,-0.00032899763209570665,0.0008131197246257216,-8.987984642772062e-06,0.0024547230423195288,-0.0027182654666830786,0.0013682781718671322,-0.0002496739871276077,0.001387845550198108,0.0008131197246257216,5.096907216284308e-06,-0.0004083212770638056,-2.3072876501828432e-05,0.0024547230423195288
0.045,3,-4.2,0.75,0.0,0.9963744,-0.00023104984,-0.0011684151,-0.00021471618566692996,0.00045317150215851143,8.795701432973146e-05,-0.0024872834255802445,0.0010109302820637822,-0.0003993371319666039,0.0012338016895228066,1.702831596617216e-05,-0.0005436797946458682,-0.0024872834255802445,0.0009669517748989165,-0.0001727513808873482,0.001054908789228648,0.0012338016895228066,0.00012438640879963714,-0.0006259228830458596,-9.032977686729282e-05,-0.0005436797946458682
0.045,3,-4.17,0.75,0.0,0.9963003,-0.00021905277,-0.0011817919,0.00033654918519232524,3.165467569488101e-05,-0.0013370078722800827,-0.0032106103899423033,9.473627596889855e-05,-0.00023108685309125576,0.001940669051691657,0.00021135121713200533,0.0009268799258279614,-0.0032106103899423033,0.0007632402121089399,-0.00021525951524381526,-0.0005737676601711428,0.001940669051691657,4.307662453584271e-05,-0.00024691419093869627,0.00037962580972816795,0.0009268799258279614
0.045,3,-4.14,0.75,0.0,0.99622416,-0.00020731112,-0.0011973141,0.0001230889737371399,9.475562546867877e-05,9.158259490504861e-05,-0.003084157193370629,0.0003989663964603096,-0.00038356176810339093,0.0018520918874855852,7.744727787439842e-05,0.0021578702435363084,-0.003084157193370629,0.0003531750990077853,-0.00033618395536905155,0.00044475769391283393,0.0018520918874855852,1.5902791005828476e-05,-0.0004309395808377303,0.00013899176474296837,0.0021578702435363084
