time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z,strain_rate_xx,strain_rate_xy,strain_rate_xz,strain_rate_yy,strain_rate_yz,strain_rate_zz,velocity_gradient_xx,velocity_gradient_xy,velocity_gradient_xz,velocity_gradient_yx,velocity_gradient_yy,velocity_gradient_yz,velocity_gradient_zx,velocity_gradient_zy,velocity_gradient_zz
0.05,5,-4.5,0.75,0.0,0.9971146,0.0007408643,4.524677e-06,6.948721784283407e-05,-6.356974699883722e-05,-0.00019455564324744046,-0.001974489714484662,0.0006808148609707132,1.4578077752958052e-05,0.0006575900479219854,-5.3635922085959464e-06,0.0021236214379314333,-0.001974489714484662,0.0007780926825944334,-1.7206795746460557e-05,0.000583537039346993,0.0006575900479219854,-4.010720113001298e-05,4.636295125237666e-05,2.938001671282109e-05,0.0021236214379314333
0.05,5,-4.46875,0.75,0.0,0.9970568,0.0007612107,4.6144505e-06,4.5795170080964454e-05,0.00010840004506462719,-0.0007636060763616115,-0.0021543362527154386,0.0004676859243772924,2.543574828450801e-05,0.002020062500378117,1.3521307664632332e-05,0.0001236072275787592,-0.0021543362527154386,0.0008494889625580981,7.96357708168216e-05,8.588288619648665e-05,0.002020062500378117,-9.376277375849895e-06,-2.8764274247805588e-05,3.641889270511456e-05,0.0001236072275787592
0.05,5,-4.4375,0.75,0.0,0.99699736,0.0007822109,4.701383e-06,-4.172090848442167e-05,3.031046435353346e-05,-4.125584382563829e-06,-0.0015096156275831163,0.0003305601348984055,-6.033233330526855e-05,0.000617214129306376,-4.162555342190899e-06,0.00064607392414473,-0.0015096156275831163,0.00033262292708968744,-4.517710112850182e-05,0.0003284973427071236,0.000617214129306376,1.6697898900019936e-05,-7.548756548203528e-05,-2.5023009584401734e-05,0.00064607392414473
0.05,5,-4.40625,0.75,0.0,0.99693626,0.0008039624,4.7921244e-06,0.00023277153968592756,-1.5656112736905925e-05,0.0005546542524825782,-0.0021153365378268063,0.0008198654832085595,-1.3150826816854533e-05,0.0009543260093778372,0.0001228360968070774,0.0019070945563726127,-0.0021153365378268063,0.0005425383569672704,-2.0978883185307495e-05,0.0010971926094498485,0.0009543260093778372,6.4503269641136285e-06,-5.32277044840157e-06,0.0002392218666500412,0.0019070945563726127
0.05,5,-4.375,0.75,0.0,0.9968737,0.0008264694,4.8882885e-06,-0.00016950829376582988,0.00010115621967088373,-0.00014478291268460453,-0.0015351835172623396,0.0005947472382104024,-4.735950290069013e-05,0.002099153265589848,-0.0001407056060998002,0.0010376358404755592,-0.0015351835172623396,0.0006671386945527047,3.218606934751733e-06,0.0005223557818681002,0.002099153265589848,-5.595145921688527e-05,-9.7937612736132e-05,-0.00022545975298271514,0.0010376358404755592
0.05,5,-4.34375,0.75,0.0,0.99680936,0.00084977876,4.978363e-06,6.688157736789435e-05,0.00028093506989534944,-0.00033385580172762275,-0.002673044800758362,0.0009157682943623513,-0.00010746424231911078,0.000635613949270919,3.80219571525231e-05,0.00048202770994976163,-0.002673044800758362,0.0010826961952261627,3.300329262856394e-05,0.0007488403934985399,0.000635613949270919,4.581168468575925e-06,-0.0002479317772667855,7.146274583647028e-05,0.00048202770994976163
0.05,5,-4.3125,0.75,0.0,0.99674326,0.0008739214,5.0809563e-06,-1.6411479009548202e-05,-3.477864072465309e-05,-0.00034784063609549776,-0.0015205341624096036,0.00023322709967033006,-1.6680933242696483e-05,0.00045292035065358505,-4.181233271083329e-05,0.0014607992488890886,-0.0015205341624096036,0.00040714741771807894,-3.4070253605023026e-05,5.9306781622581184e-05,0.00045292035065358505,-3.360659320605919e-05,7.083871196300606e-07,-5.001807221560739e-05,0.0014607992488890886
0.05,5,-4.28125,0.75,0.0,0.99667543,0.00089886144,5.1754814e-06,0.00012500691650529916,9.83980717137456e-05,9.545301145408303e-05,-0.0015012203948572278,4.4244232412893325e-05,1.3569137081503868e-05,0.0007510764698963612,6.521469629205967e-05,0.00053667450993089,-0.0015012203948572278,-3.4822733141481876e-06,6.276817293837667e-05,9.197073813993484e-05,0.0007510764698963612,2.711238039410091e-06,-3.562989877536893e-05,0.00012771815454470925,0.00053667450993089
0.05,5,-4.25,0.75,0.0,0.9966057,0.0009247525,5.2841497e-06,-3.56787222699495e-05,-0.00020882349417661317,-9.455354302190244e-05,-0.0018849748303182423,0.0010179961245739833,0.0001485335724282777,0.0006611686549149454,4.726657334686024e-05,0.0014081424742471427,-0.0018849748303182423,0.0010652728960849345,4.412182533997111e-05,0.000970719353063032,0.0006611686549149454,6.510593448183499e-05,0.0002529453195165843,2.942721221188549e-05,0.0014081424742471427
0.05,5,-4.21875,0.75,0.0,0.99653393,0.00095156214,5.399679e-06,0.00016291609063046053,-3.411437137401663e-05,0.001055612665368244,-0.002835739927832037,0.0012168887333245948,6.115818723628763e-05,0.0013268714537844062,0.00010371894677518867,0.0009203815716318786,-0.002835739927832037,0.0006890824006404728,4.410100154927932e-05,0.0017446950660087168,0.0013268714537844062,2.2260901459958404e-05,7.821537292329594e-05,0.00018517699209041893,0.0009203815716318786
