step,time,total_kinetic_energy,total_kinetic_energy_standard_error,total_kinetic_energy_ci_lower,total_kinetic_energy_ci_upper,total_enstrophy,total_enstrophy_standard_error,total_enstrophy_ci_lower,total_enstrophy_ci_upper,test_filtered_enstrophy,test_filtered_enstrophy_standard_error,test_filtered_enstrophy_ci_lower,test_filtered_enstrophy_ci_upper,kinetic_energy_rate,kinetic_energy_rate_standard_error,kinetic_energy_rate_ci_lower,kinetic_energy_rate_ci_upper,kinetic_energy_rate_source,viscous_kinetic_energy_rate,viscous_kinetic_energy_rate_standard_error,viscous_kinetic_energy_rate_ci_lower,viscous_kinetic_energy_rate_ci_upper,total_helicity,total_helicity_standard_error,total_helicity_ci_lower,total_helicity_ci_upper,vortex_strength_magnitude_sum,vortex_strength_magnitude_sum_standard_error,vortex_strength_magnitude_sum_ci_lower,vortex_strength_magnitude_sum_ci_upper,net_vortex_strength_x,net_vortex_strength_x_standard_error,net_vortex_strength_x_ci_lower,net_vortex_strength_x_ci_upper,net_vortex_strength_y,net_vortex_strength_y_standard_error,net_vortex_strength_y_ci_lower,net_vortex_strength_y_ci_upper,net_vortex_strength_z,net_vortex_strength_z_standard_error,net_vortex_strength_z_ci_lower,net_vortex_strength_z_ci_upper,linear_impulse_x,linear_impulse_x_standard_error,linear_impulse_x_ci_lower,linear_impulse_x_ci_upper,linear_impulse_y,linear_impulse_y_standard_error,linear_impulse_y_ci_lower,linear_impulse_y_ci_upper,linear_impulse_z,linear_impulse_z_standard_error,linear_impulse_z_ci_lower,linear_impulse_z_ci_upper,angular_impulse_x,angular_impulse_x_standard_error,angular_impulse_x_ci_lower,angular_impulse_x_ci_upper,angular_impulse_y,angular_impulse_y_standard_error,angular_impulse_y_ci_lower,angular_impulse_y_ci_upper,angular_impulse_z,angular_impulse_z_standard_error,angular_impulse_z_ci_lower,angular_impulse_z_ci_upper,n_particles_total,n_particles_total_standard_error,n_particles_total_ci_lower,n_particles_total_ci_upper,max_vortex_strength_magnitude,max_vortex_strength_magnitude_standard_error,max_vortex_strength_magnitude_ci_lower,max_vortex_strength_magnitude_ci_upper,min_particle_core_radius,min_particle_core_radius_standard_error,min_particle_core_radius_ci_lower,min_particle_core_radius_ci_upper,mean_particle_core_radius,mean_particle_core_radius_standard_error,mean_particle_core_radius_ci_lower,mean_particle_core_radius_ci_upper,max_particle_core_radius,max_particle_core_radius_standard_error,max_particle_core_radius_ci_lower,max_particle_core_radius_ci_upper,mean_eddy_viscosity,mean_eddy_viscosity_standard_error,mean_eddy_viscosity_ci_lower,mean_eddy_viscosity_ci_upper,max_eddy_viscosity,max_eddy_viscosity_standard_error,max_eddy_viscosity_ci_lower,max_eddy_viscosity_ci_upper,mean_effective_viscosity,mean_effective_viscosity_standard_error,mean_effective_viscosity_ci_lower,mean_effective_viscosity_ci_upper,max_effective_viscosity,max_effective_viscosity_standard_error,max_effective_viscosity_ci_lower,max_effective_viscosity_ci_upper,invariant_projection_correction_ratio,invariant_projection_correction_ratio_standard_error,invariant_projection_correction_ratio_ci_lower,invariant_projection_correction_ratio_ci_upper,mean_core_radius,mean_core_radius_standard_error,mean_core_radius_ci_lower,mean_core_radius_ci_upper,mean_overlap_ratio,mean_overlap_ratio_standard_error,mean_overlap_ratio_ci_lower,mean_overlap_ratio_ci_upper,max_overlap_ratio,max_overlap_ratio_standard_error,max_overlap_ratio_ci_lower,max_overlap_ratio_ci_upper,vorticity_divergence_error,vorticity_divergence_error_standard_error,vorticity_divergence_error_ci_lower,vorticity_divergence_error_ci_upper,vortex_strength_misalignment_degrees,vortex_strength_misalignment_degrees_standard_error,vortex_strength_misalignment_degrees_ci_lower,vortex_strength_misalignment_degrees_ci_upper,n_stabilization_events,n_stabilization_events_standard_error,n_stabilization_events_ci_lower,n_stabilization_events_ci_upper,n_regularization_events,n_regularization_events_standard_error,n_regularization_events_ci_lower,n_regularization_events_ci_upper,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_error_standard_error,stabilization_vortex_strength_error_ci_lower,stabilization_vortex_strength_error_ci_upper,stabilization_vortex_strength_growth,stabilization_vortex_strength_growth_standard_error,stabilization_vortex_strength_growth_ci_lower,stabilization_vortex_strength_growth_ci_upper,stabilization_vorticity_growth,stabilization_vorticity_growth_standard_error,stabilization_vorticity_growth_ci_lower,stabilization_vorticity_growth_ci_upper,max_stabilization_vorticity_growth,max_stabilization_vorticity_growth_standard_error,max_stabilization_vorticity_growth_ci_lower,max_stabilization_vorticity_growth_ci_upper,lagrangian_cfl,lagrangian_cfl_standard_error,lagrangian_cfl_ci_lower,lagrangian_cfl_ci_upper,stretching_viscosity_feedback_coefficient,stretching_viscosity_feedback_coefficient_standard_error,stretching_viscosity_feedback_coefficient_ci_lower,stretching_viscosity_feedback_coefficient_ci_upper,strain_increment_infinity,strain_increment_infinity_standard_error,strain_increment_infinity_ci_lower,strain_increment_infinity_ci_upper,strain_increment_spectral,strain_increment_spectral_standard_error,strain_increment_spectral_ci_lower,strain_increment_spectral_ci_upper,maximum_particle_strength,maximum_particle_strength_standard_error,maximum_particle_strength_ci_lower,maximum_particle_strength_ci_upper,maximum_particle_vorticity,maximum_particle_vorticity_standard_error,maximum_particle_vorticity_ci_lower,maximum_particle_vorticity_ci_upper
18,0.5819999999940001,1.1252735292210299,0.0005372686865923124,1.1241345704852173,1.1264124879568425,48.8455924987793,0.16839817597500092,48.4886043131507,49.20258068440789,29.02450729818905,0.059658482184546696,28.898036965662534,29.150977630715566,-0.09418974892501508,0.0009230070885667678,-0.09614643654328656,-0.09223306130674361,direct_energy_backward_difference,-0.08865602402126087,0.00028093268292832664,-0.08925157470452508,-0.08806047333799666,0.0,0.0,0.0,0.0,4.999992847442627,4.82552995533174e-06,4.999982617776103,5.000003077109151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99998878030216,6.610679445954684e-06,4.999974766287771,5.000002794316549,0.0005671927005203352,0.0011281977058561967,-0.0018244795946934784,0.0029588649957341486,0.0018001207157366818,0.0015453985678316442,-0.0014759778976185583,0.005076219329091922,0.0,0.0,0.0,0.0,3.309247564596327e-06,0.0010978132133117092,-0.0023239508008900097,0.0023305692960192024,0.0008740922254646999,0.0016143841166488602,-0.002548249218397843,0.004296433669327243,-0.028146009892225224,7.70941543429844e-05,-0.028309442198555898,-0.02798257758589455,2077.0,0.0,2077.0,2077.0,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.09000001847743981,3.469446951953614e-18,0.0900000184774398,0.09000001847743982,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867923645301996,1.0842021724855044e-19,0.0018867923645301994,0.0018867923645301998,0.0018867924809455002,5.421010862427522e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.8255251894066415,0.0018453335913670161,0.8216132569474717,0.8294371218658114,1.8755383007484487,0.06932151191799077,1.7285832602834708,2.0224933412134267,0.24822308179819363,0.0033625567377349426,0.2410947799509372,0.25535138364545007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17853464254904897,0.0025437777010132085,0.1731420747206302,0.18392721037746773,0.0,0.0,0.0,0.0,0.17853464254904897,0.0025437777010132085,0.1731420747206302,0.18392721037746773,0.1228788735127008,0.0015850766680633416,0.11951866108440135,0.12623908594100025,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,72.69284606568183,3.552713678800501e-15,72.69284606568182,72.69284606568185
36,1.1639999999880002,1.082562250249526,0.0013773895376565702,1.079642314869556,1.085482185629496,40.20405152264763,0.29036323692282284,39.588508957995906,40.81959408729936,25.21815793654498,0.12738066692486924,24.94812298571261,25.48819288737735,-0.07338707727138155,0.002101383349813458,-0.07784181097034641,-0.06893234357241669,direct_energy_backward_difference,-0.07186945659272807,0.0005475096568873466,-0.07303012521573837,-0.07070878796971777,0.0,0.0,0.0,0.0,4.999996353598202,3.862593331000064e-06,4.999988165266131,5.000004541930273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999991052290973,4.409801577317979e-06,4.999981703929241,5.000000400652705,-0.0009617902687750706,0.0022460942073260284,-0.005723297281435682,0.0037997167438855407,0.0003461979110451234,0.0023588339607592715,-0.004654306702351517,0.0053467025244417635,0.0,0.0,0.0,0.0,-0.0010628396763315295,0.0016641187257019636,-0.004590613781480443,0.0024649344288173846,0.0024606156477923707,0.002095510926874686,-0.001981669070665319,0.00690290036625006,-0.0356412155224996,0.00022972899176699308,-0.03612821922953121,-0.035154211815467996,2077.0,0.0,2077.0,2077.0,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.09000001847743981,3.469446951953614e-18,0.0900000184774398,0.09000001847743982,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867923645301996,1.0842021724855044e-19,0.0018867923645301994,0.0018867923645301998,0.0018867924809455002,5.421010862427522e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.8761931155623784,0.0025153732943467163,0.8708607623861733,0.8815254687385836,2.2743562394755825,0.06123106728975256,2.144552175451063,2.404160303500102,0.31334481276407955,0.004604196318014014,0.30358435259086664,0.32310527293729246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601358880243611,0.0024540127896850645,0.154933613307151,0.1653381627415712,0.0,0.0,0.0,0.0,0.1601358880243611,0.0024540127896850645,0.154933613307151,0.1653381627415712,0.11275250969036063,0.0019996541074584063,0.10851343235135001,0.11699158702937125,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,72.69284606568183,3.552713678800501e-15,72.69284606568182,72.69284606568185
54,1.7459999999820004,1.0470675159903133,0.001535127878903265,1.043813190264844,1.0503218417157827,34.35176333259134,0.2807396421436675,33.7566218775095,34.946904787673176,22.25961976892808,0.1369940772590123,21.96920529858477,22.550034239271387,-0.060987515909928874,0.0012343963297998378,-0.06360431923081082,-0.05837071258904693,direct_energy_backward_difference,-0.060664872474530125,0.0005255852180871554,-0.061779063363545446,-0.059550681585514804,0.0,0.0,0.0,0.0,4.999999130473418,2.9094754156960804e-06,4.999992962661066,5.000005298285769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999691458309,5.009951577865062e-06,4.999989070835411,5.000010312081208,-0.000859900122604282,0.003388897048341998,-0.008044040933899751,0.0063242406886911875,0.00011401342036313535,0.0024488990298475663,-0.005077420610268509,0.00530544745099478,0.0,0.0,0.0,0.0,-0.001405348314780412,0.002056496838444787,-0.0057649268604312714,0.0029542302308704477,0.002511940125259553,0.002573560702106288,-0.0029437648450031397,0.007967645095522245,-0.04319527504198687,0.0003144820765795767,-0.04386194726263802,-0.04252860282133572,2077.0,0.0,2077.0,2077.0,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.09000001847743981,3.469446951953614e-18,0.0900000184774398,0.09000001847743982,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867923645301996,1.0842021724855044e-19,0.0018867923645301994,0.0018867923645301998,0.0018867924809455002,5.421010862427522e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.9210678773471883,0.002748810048570869,0.9152406603586702,0.9268950943357064,2.503193629345812,0.06150277802157691,2.3728135643010426,2.633573694390581,0.3560955110690203,0.005328784189978128,0.34479899322627927,0.36739202891176137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1465575854619782,0.0021960487978092327,0.14190216997815394,0.15121300094580245,0.0,0.0,0.0,0.0,0.1465575854619782,0.0021960487978092327,0.14190216997815394,0.15121300094580245,0.10134916594319111,0.0015889141379536453,0.0979808184421356,0.10471751344424662,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,72.69284606568183,3.552713678800501e-15,72.69284606568182,72.69284606568185
72,2.3279999999760004,1.0178599497851204,0.001385333979476435,1.014923172940837,1.0207967266294038,30.2369228811825,0.22934478929782648,29.750733647001258,30.723112115363744,20.002122542437384,0.11875962686599435,19.750363380110624,20.253881704764144,-0.05018482165892458,0.001393996427434352,-0.05313996207253816,-0.047229681245310996,direct_energy_backward_difference,-0.05272579127374812,0.0004173720124057138,-0.053610580414593635,-0.05184100213290261,0.0,0.0,0.0,0.0,4.999989593730254,4.160836232501657e-06,4.999980773151475,4.999998414309032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999986564411836,5.2595699426994485e-06,4.999975414621643,4.9999977142020295,-0.0027173610835555225,0.0037815764973230647,-0.010733945139641238,0.005299222972530194,0.0016040306243881234,0.0026357067633900524,-0.00398341811051575,0.007191479359291996,0.0,0.0,0.0,0.0,-0.0004420691590947883,0.002112060121504388,-0.004919436602945827,0.00403529828475625,0.0005629948162309472,0.0034008144723232875,-0.006646409805315525,0.0077723994377774195,-0.05068526460843921,0.00034755118707207466,-0.05142204021166394,-0.04994848900521448,2077.0,0.0,2077.0,2077.0,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.09000001847743981,3.469446951953614e-18,0.0900000184774398,0.09000001847743982,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867923645301996,1.0842021724855044e-19,0.0018867923645301994,0.0018867923645301998,0.0018867924809455002,5.421010862427522e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.964401939590887,0.0032018166999467947,0.9576143914015347,0.9711894877802394,2.619003642774568,0.07989298527765738,2.4496380799138566,2.7883692056352793,0.39970389981594695,0.0055257993028468904,0.38798972859140873,0.41141807104048517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13992080985009667,0.0028298933797435985,0.13392170387814706,0.14591991582204628,0.0,0.0,0.0,0.0,0.13992080985009667,0.0028298933797435985,0.13392170387814706,0.14591991582204628,0.09489524389940594,0.0016368570092958475,0.09142526205133222,0.09836522574747966,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,72.69284606568183,3.552713678800501e-15,72.69284606568182,72.69284606568185
90,2.9099999999699997,0.9934655042255626,0.0016584660692398766,0.9899497132168024,0.9969812952343228,27.398686913882983,0.2562000323324834,26.855567107680695,27.94180672008527,18.26458515840418,0.13270723049728414,17.983258397228013,18.545911919580348,-0.04191485491376151,0.0017015843343829188,-0.045522052561291736,-0.03830765726623129,direct_energy_backward_difference,-0.047145757824182455,0.0004393567611174706,-0.04807715255032407,-0.04621436309804084,0.0,0.0,0.0,0.0,4.999998793882482,3.963041628373312e-06,4.999990392609533,5.0000071951554315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999046325684,6.178486828953656e-06,4.999985948518714,5.000012144132653,-0.004322907380650146,0.004124945998850372,-0.01306740226261456,0.004421587501314269,0.0038532279431819877,0.002890229060903533,-0.002273783958990682,0.009980239845354658,0.0,0.0,0.0,0.0,-0.004142433074508382,0.0024144897952928152,-0.009260922786465262,0.0009760566374484988,0.001547391560640847,0.004332296676143578,-0.0076366671209145524,0.010731450242196246,-0.05817916068960632,0.0005067131519091919,-0.05925334458552372,-0.057104976793688915,2077.0,0.0,2077.0,2077.0,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.09000001847743981,3.469446951953614e-18,0.0900000184774398,0.09000001847743982,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867923645301996,1.0842021724855044e-19,0.0018867923645301994,0.0018867923645301998,0.0018867924809455002,5.421010862427522e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,1.0042548457213645,0.003274500541836187,0.9973132146704231,1.0111964767723058,2.949394409474724,0.0780049253555575,2.7840313548481195,3.114757464101329,0.41539832744975363,0.004103878660295024,0.4066984933304332,0.4240981615690741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13395671148936023,0.003754126568011674,0.12599831868388497,0.14191510429483548,0.0,0.0,0.0,0.0,0.13395671148936023,0.003754126568011674,0.12599831868388497,0.14191510429483548,0.09355975384892543,0.0023642898665020813,0.08854768323203255,0.0985718244658183,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,72.69284606568183,3.552713678800501e-15,72.69284606568182,72.69284606568185
108,3.491999999964001,0.9732633934301489,0.0015686003091676113,0.9699381093223843,0.9765886775379135,25.031485389260684,0.19285013480974536,24.62266136652197,25.440309411999397,16.8858860801248,0.11153237297102973,16.64944801162879,17.122324148620805,-0.03471153057667011,0.0016119036562689015,-0.03812861367942867,-0.03129444747391155,direct_energy_backward_difference,-0.04278546243029478,0.00036751749084155353,-0.04356456470668629,-0.04200636015390327,0.0,0.0,0.0,0.0,4.99999932681813,4.948019120963204e-06,4.999988837486175,5.000009816150085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000006142784567,6.840465497608916e-06,4.99999164164551,5.000020643923625,-0.0076453350758289365,0.004302636743542933,-0.016766517509089682,0.0014758473574318105,0.004889162175138201,0.003300500159026057,-0.0021075856020617316,0.011885909952338132,0.0,0.0,0.0,0.0,-0.004226290887933876,0.0026670859604575902,-0.009880260548986532,0.001427678773118779,0.002299413454773676,0.004630657139151295,-0.007517141153389891,0.012115968062937242,-0.06496087790412058,0.0005636688001411683,-0.06615580238054554,-0.06376595342769563,2077.0,0.0,2077.0,2077.0,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.09000001847743981,3.469446951953614e-18,0.0900000184774398,0.09000001847743982,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867923645301996,1.0842021724855044e-19,0.0018867923645301994,0.0018867923645301998,0.0018867924809455002,5.421010862427522e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,1.0413352602380443,0.0038796941706077176,1.0331106760064153,1.0495598444696734,3.090767672916534,0.0792590829372986,2.922745922986338,3.2587894228467302,0.43067315870976985,0.003931721173147771,0.4223382821597535,0.4390080352597862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12236841804760627,0.0023625942770845905,0.11735994191970484,0.1273768941755077,0.0,0.0,0.0,0.0,0.12236841804760627,0.0023625942770845905,0.11735994191970484,0.1273768941755077,0.08472910231581827,0.0015575780429182657,0.08142718436868518,0.08803102026295137,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,72.69284606568183,3.552713678800501e-15,72.69284606568182,72.69284606568185
126,4.073999999957999,0.9537580469075371,0.001714712925553387,0.9501230178900133,0.9573930759250608,23.08404832727769,0.1568466743962097,22.75154823105993,23.416548423495446,15.64632505529067,0.09703463403723225,15.440620820387148,15.852029290194194,-0.03351434110448934,0.0019916400561205663,-0.03773642941360064,-0.029292252795378032,direct_energy_backward_difference,-0.039112049428855614,0.00030972095878613575,-0.039768628530666233,-0.038455470327044994,0.0,0.0,0.0,0.0,4.999993520624497,3.32331765809683e-06,4.999986475505783,5.000000565743211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999991416931152,4.0224758535264e-06,4.999982889663275,4.99999994419903,-0.007123951118795506,0.00416181772155307,-0.015946610561108784,0.0016987083235177735,0.004922055872157206,0.002940761990668326,-0.0013120810556090249,0.011156192799923435,0.0,0.0,0.0,0.0,-0.00393563923289011,0.002866187065232253,-0.010011684381035378,0.002140405915255158,-0.00019486646402475856,0.004949762845523855,-0.010687894950139254,0.010298162022089738,-0.0721172716687707,0.0006444290178174656,-0.07348340015861389,-0.07075114317892751,2077.0,0.0,2077.0,2077.0,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.09000001847743981,3.469446951953614e-18,0.0900000184774398,0.09000001847743982,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867923645301996,1.0842021724855044e-19,0.0018867923645301994,0.0018867923645301998,0.0018867924809455002,5.421010862427522e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,1.0702299395743573,0.00410727771629059,1.0615228997782196,1.078936979370495,3.1815097665419323,0.08638691115646334,2.99837769579799,3.3646418372858746,0.4493540483158034,0.0038614239493911114,0.4411681952229493,0.45753990140865747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12014276342718476,0.0027491217111778473,0.11431488574345464,0.12597064111091488,0.0,0.0,0.0,0.0,0.12014276342718476,0.0027491217111778473,0.11431488574345464,0.12597064111091488,0.08255173413302253,0.0020884434831896373,0.07812443172588472,0.08697903654016033,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,72.69284606568183,3.552713678800501e-15,72.69284606568182,72.69284606568185
144,4.655999999952001,0.9350873302010929,0.0018823403386977401,0.9310969469421496,0.9390777134600362,21.455769370583926,0.18537081672627317,21.06280079388493,21.848737947282924,14.532453593085794,0.10893316626235779,14.301525596665272,14.763381589506317,-0.03208026925538949,0.0010471186622585409,-0.03430006165642484,-0.029860476854354136,direct_energy_backward_difference,-0.036044797476600145,0.0003322351873616999,-0.03674910461087598,-0.03534049034232431,0.0,0.0,0.0,0.0,4.99999719507554,4.69983905396505e-06,4.999987231861824,5.0000071582892565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999995119431439,5.960398478951081e-06,4.999982483951118,5.00000775491176,-0.010772417285753498,0.004736143365737616,-0.020812592704652258,-0.0007322418668547371,0.005426125493078642,0.003036067100726844,-0.001010049242543505,0.011862300228700788,0.0,0.0,0.0,0.0,-0.006726659406387381,0.0027450936974217376,-0.01254599808241059,-0.0009073207303641716,-0.00017495982020214728,0.005330845581457557,-0.011475847617664235,0.011125927977259939,-0.07989715697134239,0.0007672155354423005,-0.0815235812505714,-0.07827073269211339,2077.0,0.0,2077.0,2077.0,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.09000001847743981,3.469446951953614e-18,0.0900000184774398,0.09000001847743982,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867923645301996,1.0842021724855044e-19,0.0018867923645301994,0.0018867923645301998,0.0018867924809455002,5.421010862427522e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.09000000357627862,3.469446951953614e-18,0.0900000035762786,0.09000000357627863,1.107143910457014,0.004365592591241197,1.0978892675886007,1.1163985533254273,3.359624144714633,0.09502503116805598,3.158180077582806,3.5610682118464596,0.4459823196099005,0.0031904879678550935,0.43921878725974284,0.4527458519600581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11522447697471314,0.002890411561871912,0.10909707818777048,0.12135187576165579,0.0,0.0,0.0,0.0,0.11522447697471314,0.002890411561871912,0.10909707818777048,0.12135187576165579,0.07707304494505268,0.0015797036684047742,0.07372422276720214,0.08042186712290322,0.026558656245469995,8.673617379884035e-19,0.02655865624546999,0.02655865624547,72.69284606568183,3.552713678800501e-15,72.69284606568182,72.69284606568185
