time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,panel_force_x,panel_force_y,panel_force_z,span_coordinate_normalized
0.12,20,blade_1,blade_1_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_1_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,1.1065503358840942,1.1065503358840942,0.9848411083221436,1.227948784828186,0,0.08333330601453781,0.09896692633628845,-2.44305682182312,-7.053025722503662,0.59604811668396,4.471673488616943,2.275336503982544,-0.951442098860512
0.12,20,blade_1,blade_1_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_1_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,1.1065503358840942,1.1065503358840942,0.9848411083221436,1.227948784828186,1,0.25,0.098967045545578,-0.9641133546829224,-2.783360481262207,0.8380963802337646,0.5941698551177979,0.2072024643421173,-0.951442098860512
0.12,20,blade_1,blade_1_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_1_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,1.1065503358840942,1.1065503358840942,0.9848411083221436,1.227948784828186,2,0.4166666865348816,0.09896689653396606,-0.5866685509681702,-1.6936935186386108,0.5756634473800659,0.2895498275756836,0.10443061590194702,-0.951442098860512
0.12,20,blade_1,blade_1_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_1_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,1.1065503358840942,1.1065503358840942,0.9848411083221436,1.227948784828186,3,0.5833332538604736,0.09896691888570786,-0.410272479057312,-1.1844433546066284,0.43482598662376404,0.1851407140493393,0.08011158555746078,-0.951442098860512
0.12,20,blade_1,blade_1_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_1_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,1.1065503358840942,1.1065503358840942,0.9848411083221436,1.227948784828186,4,0.7499998807907104,0.09896695613861084,-0.3217317759990692,-0.9288288354873657,0.3684059679508209,0.13741950690746307,0.07365283370018005,-0.951442098860512
0.12,20,blade_1,blade_1_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_1_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,1.1065503358840942,1.1065503358840942,0.9848411083221436,1.227948784828186,5,0.916666567325592,0.098967045545578,-0.2811506986618042,-0.8116719722747803,0.34384429454803467,0.1264854222536087,0.08331885188817978,-0.951442098860512
0.12,20,blade_1,blade_1_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_1_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,1.3330210447311401,1.3330210447311401,1.2117725610733032,1.45465087890625,0,0.08333327621221542,0.09711327403783798,-3.13108491897583,-9.211877822875977,0.6872855424880981,6.5560078620910645,3.6094703674316406,-0.8610878791232525
0.12,20,blade_1,blade_1_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_1_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,1.3330210447311401,1.3330210447311401,1.2117725610733032,1.45465087890625,1,0.2500000298023224,0.09711343795061111,-1.3432420492172241,-3.951908588409424,1.1432536840438843,0.7802171111106873,0.32331350445747375,-0.8610878791232525
0.12,20,blade_1,blade_1_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_1_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,1.3330210447311401,1.3330210447311401,1.2117725610733032,1.45465087890625,2,0.41666674613952637,0.09711313247680664,-0.8560133576393127,-2.5184569358825684,0.8355483412742615,0.3758535385131836,0.15303511917591095,-0.8610878791232525
0.12,20,blade_1,blade_1_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_1_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,1.3330210447311401,1.3330210447311401,1.2117725610733032,1.45465087890625,3,0.5833331346511841,0.09711318463087082,-0.5973331928253174,-1.7573992013931274,0.6402908563613892,0.2385716736316681,0.10965821146965027,-0.8610878791232525
