time,step,dt,patch,Fpx,Fpy,Fpz,Fvx,Fvy,Fvz,Ftx,Fty,Ftz,Cd,Cl,Cz,Cm
0.05,5,0.01,cube,3.447129945239922,-0.0012907913559942225,-0.0012126454743688064,0.53354491116564,-0.00021152021034631392,-0.00021195309742069236,3.980674856405562,-0.0015023115663405362,-0.001424598571789476,7.961349712811124,-0.0030046231326810724,-0.002849197143578952,-0.0006283994184901054
0.09999999999999999,10,0.01,cube,2.674004258001511,0.013185552905071105,0.013011985620973839,0.33043852403254637,6.492672650235901e-05,6.227883657703462e-05,3.004442782034057,0.013250479631573464,0.01307426445755087,6.008885564068114,0.02650095926314693,0.02614852891510174,1.3140070185085201e-05
0.15,15,0.01,cube,0.751787421772397,0.002011436347978339,0.0019162606528021348,0.23984659265404135,3.374545738350234e-05,2.996656069876989e-05,0.9916340144264384,0.0020451818053618407,0.0019462272135009062,1.9832680288528768,0.004090363610723681,0.0038924544270018124,-5.6204638973383556e-05
0.20000000000000004,20,0.01,cube,0.690336674170819,-0.00017720504509356928,-0.00012806674708208676,0.18961541707004664,1.129966561513201e-05,8.553024140601733e-06,0.8799520912408657,-0.00016590537947843743,-0.00011951372294149998,1.7599041824817314,-0.00033181075895687487,-0.00023902744588299996,-1.2753632181514499e-05
0.25000000000000006,25,0.01,cube,0.6723289618858785,-0.000260920411592294,-0.00038147581856683155,0.15712254685459243,7.397569557478353e-06,1.6030204352718335e-06,0.829451508740471,-0.00025352284203481574,-0.0003798727981315919,1.658903017480942,-0.0005070456840696315,-0.0007597455962631838,-6.022021945018344e-06
0.3000000000000001,30,0.01,cube,0.6580914211094464,-0.0008648018715217932,-0.000893896352940543,0.13391606757788968,-5.305252848291286e-06,-1.141702422739982e-05,0.7920074886873362,-0.0008701071243700847,-0.0009053133771679406,1.5840149773746723,-0.0017402142487401694,-0.0018106267543358812,-6.833910290464026e-07
0.35000000000000014,35,0.01,cube,0.6482846546773564,-0.0005891837893679556,-0.000609028773766368,0.11646183727830269,-1.0033808587300201e-05,-1.601222388467673e-05,0.7647464919556591,-0.0005992175979552558,-0.0006250409976510107,1.5294929839113183,-0.0011984351959105116,-0.0012500819953020215,-4.496642294547944e-06
0.4000000000000002,40,0.01,cube,0.6395121684151892,-0.0005070542591667965,-0.0005197855103878796,0.10270548926752777,-1.542826278318394e-05,-2.168774050330906e-05,0.7422176576827171,-0.0005224825219499805,-0.0005414732508912112,1.4844353153654342,-0.001044965043899961,-0.0010829465017824225,-5.182289693891548e-07
0.45000000000000023,45,0.01,cube,0.6289612374028055,-0.0001469788003719686,-0.00020401660058488869,0.09158471421958475,-1.4604285487395102e-05,-2.190134521372968e-05,0.7205459516223902,-0.00016158308585936376,-0.00022591794579863989,1.4410919032447804,-0.0003231661717187275,-0.00045183589159727977,5.6863401352164056e-08
0.5000000000000002,50,0.01,cube,0.6275480141250371,-9.91130829343686e-05,-0.0008155593957339807,0.08244600004718114,-1.3810763247352207e-05,-3.2374956037008456e-05,0.7099940141722183,-0.00011292384618172085,-0.0008479343517710236,1.4199880283444366,-0.0002258476923634417,-0.0016958687035420472,-5.375206679651863e-06
0.5500000000000003,55,0.01,cube,0.6254629350492176,-0.0004693659542244963,4.3865945818649665e-06,0.07481715872072417,-2.187875276682275e-05,-2.898578450157669e-05,0.7002800937699418,-0.0004912447069913188,-2.4599189919691233e-05,1.4005601875398836,-0.0009824894139826377,-4.919837983938247e-05,3.141555920859601e-06
0.6000000000000003,60,0.01,cube,0.6156426867555503,-0.00019265110095079857,-7.728649907096097e-05,0.06824082823388836,-2.258982086737857e-05,-3.0049214543891587e-05,0.6838835149894388,-0.00021524092181817735,-0.00010733571361488947,1.3677670299788776,-0.0004304818436363547,-0.00021467142722977894,3.2156789370064304e-06
0.6500000000000004,65,0.01,cube,0.6218555685288419,-0.00030335037593044446,-0.00039502547047502723,0.06273464160038661,-2.6533969052264022e-05,-3.585976039772993e-05,0.6845902101292286,-0.00032988434498270854,-0.00043088523087274344,1.3691804202584572,-0.0006597686899654171,-0.0008617704617454869,7.2976973901272765e-06
0.7000000000000004,70,0.01,cube,0.6169809953463612,0.0002239722506768075,0.0003034328653946372,0.057830313201671535,-2.0039152760977386e-05,-2.6882469207409137e-05,0.6748113085480326,0.00020393309791582985,0.00027655039618720845,1.3496226170960652,0.0004078661958316597,0.0005531007923744169,2.7287667933198305e-06
0.7500000000000004,75,0.01,cube,0.6142659723178322,1.0900632440056245e-05,-0.00012518158164392945,0.05351699107067899,-1.9317524259675634e-05,-2.9393239469259263e-05,0.6677829633885112,-8.41689181961926e-06,-0.00015457482111316811,1.3355659267770223,-1.683378363923852e-05,-0.00030914964222633623,6.183068926223986e-06
0.8000000000000005,80,0.01,cube,0.6150374706496758,-1.228507765153243e-06,-5.797011232042126e-05,0.04968908845740901,-1.871866845247266e-05,-2.7417996906595697e-05,0.6647265591070849,-1.994717621762619e-05,-8.538810922698037e-05,1.3294531182141698,-3.989435243525238e-05,-0.00017077621845396074,1.0600145372300935e-05
