time,step,surface,force_density,force_units,moment_units,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.0025,1,front_wing,1.225,N,N*m,4.3822712898254395,0.4653838872909546,0.4769819090966464,0.05065402854867532,288,-1.0672725761069723,0.08649901078601821,-0.9807735653209542,-0.4653838872909546,8.836001796908022e-08,4.3822712898254395,7.010858560672429e-08,0.6759521774854791,2.8961763238989028e-08,2.6666666666666665,0.0,2.4673757333997874e-05,0.0,0.0,0.019738397069767846,0.0,-1.5789172838782661,0.0,2.077913535236675e-05,0.0,-0.010502511214879285,2.479403257369995,5.553980741979103e-08,-0.09565144032239914
0.0025,1,rear_wing,1.225,N,N*m,1.9301042556762695,0.16589507460594177,0.2100793747674851,0.018056606759830392,288,0.30437474327592945,-0.03809716418458641,0.26627757909134303,-0.16589507460594177,3.9680112529083544e-09,1.9301042556762695,-6.551053730552653e-10,0.19277434377581784,4.5976954013374763e-10,0.16666666666666666,0.0,-2.4673757333997346e-05,0.0,0.0,-0.01973839706976758,0.0,1.5789172838782661,0.0,1.298695959522922e-06,0.0,0.0006332753034293329,-0.021346352994441986,5.553980741979103e-08,-0.09421928972005844
0.005,2,front_wing,1.225,N,N*m,4.198631763458252,0.4251582622528076,0.4569939334376328,0.04627572922479538,288,-0.9706586530257175,0.165728073809955,-0.8049305792157625,-0.4251582622528076,5.830145255458774e-08,4.198631763458252,3.6736131811050026e-08,0.6150185547259981,1.3606052721613308e-08,2.6666666666666665,0.0,9.868894145557066e-05,0.0,0.0,0.039471923985410697,0.0,-1.5782591363575422,0.0,8.30931220754394e-05,0.0,-0.020952591619806636,2.4797816276550293,5.553980741979103e-08,-0.09631573408842087
0.005,2,rear_wing,1.225,N,N*m,1.8546855449676514,0.1416338086128235,0.2018705355066831,0.015415924746973982,288,0.26251351949476787,-0.07320800684780245,0.18930551264696543,-0.1416338086128235,5.987107698501859e-08,1.8546855449676514,3.040762680136017e-08,0.1663310627813768,-8.110953754284746e-10,0.16666666666666666,0.0,-9.868894145556936e-05,0.0,0.0,-0.03947192398541032,0.0,1.5782591363575422,0.0,5.193320129714962e-06,0.0,0.0012170160936233185,-0.021716633811593056,5.553980741979103e-08,-0.09355054050683975
0.0075,3,front_wing,1.225,N,N*m,4.079357624053955,0.403802752494812,0.4440117141827433,0.043951319999435315,288,-0.9047856850864074,0.24148047821995444,-0.663305206866453,-0.403802752494812,2.2527842702402268e-08,4.079357624053955,-1.6252161575834763e-08,0.573679393749233,-3.838573148498347e-09,2.6666666666666665,0.0,0.0002220272902255494,0.0,0.0,0.059195711794441226,0.0,-1.5771626015242717,0.0,0.00018687173791054335,0.0,-0.03134717206310247,2.48016357421875,5.553980741979103e-08,-0.09692875295877457
0.0075,3,rear_wing,1.225,N,N*m,1.7953362464904785,0.12614767253398895,0.19541074791733096,0.0137303589152641,288,0.23415103957305178,-0.10627620702136438,0.1278748325516874,-0.12614767253398895,4.397942632294871e-08,1.7953362464904785,-9.899775825196683e-09,0.1484634744361508,-4.086597948649024e-09,0.16666666666666666,0.0,-0.0002220272902255484,0.0,0.0,-0.059195711794441296,0.0,1.5771626015242717,0.0,1.1679483619408959e-05,0.0,0.0017510476693574529,-0.022083774209022522,5.553980741979103e-08,-0.09293007850646973
0.01,4,front_wing,1.225,N,N*m,4.019307613372803,0.39606961607933044,0.4374756585984002,0.04310961807666181,288,-0.8675049441942471,0.3171430409749612,-0.5503619032192859,-0.39606961607933044,9.629637531816115e-09,4.019307613372803,-1.5885051441496666e-08,0.5505771725028484,-2.133375596658472e-09,2.6666666666666665,0.0,0.0003946583717519264,0.0,0.0,0.07890489394735094,0.0,-1.5756282452661239,0.0,0.0003319980647975562,0.0,-0.04168319949759503,2.4805476665496826,5.553980741979103e-08,-0.09749042987823486
0.01,4,rear_wing,1.225,N,N*m,1.7689515352249146,0.1046796664595604,0.19253894260951449,0.011393705192877319,288,0.21513279380496092,-0.13957893328492543,0.07555386052003549,-0.1046796664595604,2.3071574872801648e-08,1.7689515352249146,3.030345762583336e-08,0.1365377870391153,1.8731002455635054e-09,0.16666666666666666,0.0,-0.0003946583717519254,0.0,0.0,-0.0789048939473509,0.0,1.5756282452661239,0.0,2.0749879049847264e-05,0.0,0.0022352077450822593,-0.022447682917118073,5.553980741979103e-08,-0.09235810488462448
0.0125,5,front_wing,1.225,N,N*m,3.999967336654663,0.39482125639915466,0.4353705944658136,0.04297374219310526,288,-0.85005601759084,0.3943752095637205,-0.4556808080271195,-0.39482125639915466,2.6702673494582996e-07,3.999967336654663,7.736988875629489e-08,0.5401787645124396,-5.289401580264752e-09,2.6666666666666665,0.0,0.0006165395918984693,0.0,0.0,0.0985946074983584,0.0,-1.5736568584995982,0.0,0.00051830866709901,0.0,-0.0519576389306629,2.4809343814849854,5.553980741979103e-08,-0.09800051152706146
0.0125,5,rear_wing,1.225,N,N*m,1.7505303621292114,0.08657408505678177,0.19053391696644476,0.009423029666044273,288,0.20357599099581963,-0.17259285396808852,0.030983137027731117,-0.08657408505678177,4.919347418308462e-08,1.7505303621292114,2.5625263836800863e-08,0.12936491834053263,5.688395467664831e-09,0.16666666666666666,0.0,-0.0006165395918984681,0.0,0.0,-0.09859460749835824,0.0,1.5736568584995982,0.0,3.2394291693688126e-05,0.0,0.002669346565761617,-0.022808251902461052,5.553980741979103e-08,-0.09183480590581894
