flow_time,time_step,x_core,y_core,core_radius,separation,core_area,angle_rad,surface_circulation,merged,core_0_x,core_0_y,core_1_x,core_1_y
0.0,0,0.00023880725416475205,0.499790560808663,nan,0.9996736990363551,0.006129133813284712,1.5705717495600309,1.9811036932189017,False,0.00023880725416475205,0.499790560808663,1.4303300954241654e-05,-0.49988311301845345
1.0,20,-0.14796930979799222,0.47687948607496283,nan,0.9987062982076718,0.012195382069489905,1.8712348345503176,2.081750968834242,False,-0.14796930979799222,0.47687948607496283,0.14758693395180136,-0.47709157054058443
2.0,40,-0.2821038378240349,0.4123630209742999,nan,0.999157192140589,0.01626621376043738,2.1706009343841237,2.0463756589961863,False,-0.2821038378240349,0.4123630209742999,0.28190161128759883,-0.4123872127199077
3.0,60,-0.3918137385419592,0.3096473358415921,nan,0.9971494887276126,0.02034395011339317,2.4726245489549927,2.0236355808470496,False,-0.3918137385419592,0.3096473358415921,0.39041218458659077,-0.3087616777209748
4.0,80,-0.46351246651527606,0.19106868108655942,nan,0.951212967162146,0.035369951158002746,2.7503361593970137,2.0085909288417074,False,-0.46351246651527606,0.19106868108655942,0.4158179315446776,-0.17167662893844604
5.0,100,-0.4202463364765752,0.10223242424023508,nan,0.689113283899015,0.09608716870560416,2.9025001067655647,1.9986844124958372,False,-0.4202463364765752,0.10223242424023508,0.24926393402302094,-0.060964131304427814
6.0,120,-0.008678958065539557,0.14437014102860748,nan,0.21333249844673247,0.15023077711586802,1.631337938784299,1.9946306388220472,False,-0.008678958065539557,0.14437014102860748,0.004228646894776405,-0.06857151442591726
7.0,140,0.2897484069814939,0.28774798757538955,nan,0.7002569343954296,0.09950074261711603,0.78248958605865,1.9925367440165627,False,0.2897484069814939,0.28774798757538955,-0.2068461241679992,-0.20596614611059286
8.0,160,0.2712633419918512,0.39315155132298424,nan,0.9247141822167245,0.0565254600683498,0.9672459830925575,1.9908143309843458,False,0.2712633419918512,0.39315155132298424,-0.25357588533199416,-0.3681894394655418
9.0,180,0.15024856392270577,0.4615645785239612,nan,0.9609454244483973,0.052485067057565865,1.256441661458372,1.9896734625401242,False,0.15024856392270577,0.4615645785239612,-0.14687847588799047,-0.4522907880311864
10.0,200,0.006486618541268703,0.4858547823499254,nan,0.9655918219399282,0.05639495776389673,1.5576577988245053,1.9889198007595588,False,0.006486618541268703,0.4858547823499254,-0.00619947163116595,-0.4796537001158719
11.0,220,-0.13528768074611563,0.46448312014530435,nan,0.9601050378005882,0.06309266012351808,1.854318951832511,1.9883880616114826,False,-0.13528768074611563,0.46448312014530435,0.13329149274708205,-0.4572906651055997
12.0,240,-0.2557000806748834,0.40559940432467845,nan,0.9421051094286214,0.07293312699943276,2.1332529925668244,1.9879925083652514,False,-0.2557000806748834,0.40559940432467845,0.24669255725952496,-0.39137216013720444
13.0,260,-0.33333228488586636,0.32843079025157507,nan,0.8902937040862074,0.0904885406530526,2.3634683194002726,1.987693713721631,False,-0.33333228488586636,0.32843079025157507,0.30076284982372536,-0.29650619831060326
14.0,280,-0.32864419321792954,0.26742569079985073,nan,0.7571673142275964,0.12382480135251837,2.4583281139000066,1.9873924387654585,False,-0.32864419321792954,0.26742569079985073,0.25855106706036435,-0.21059530041427812
15.0,300,-0.21368551191500446,0.2496013129326872,nan,0.5725216011986063,0.15909074640466273,2.278582438114942,1.9870615225009312,False,-0.21368551191500446,0.2496013129326872,0.15854126562599652,-0.18540237661541095
16.0,320,-0.09645127049902498,0.27434379886386745,nan,0.5124905505440711,0.17115118248756941,1.9087565492190732,1.9866944174586572,False,-0.09645127049902498,0.27434379886386745,0.07347183372067298,-0.20915666964604707
17.0,340,-0.035950957030170184,0.3149279416971796,nan,0.5678344856885265,0.16747846413144843,1.6844889606709372,1.986272275471543,False,-0.035950957030170184,0.3149279416971796,0.02846865021223001,-0.24924057686787482
18.0,360,-0.02922258708204578,0.34594420030772877,nan,0.631193392328783,0.1615504084269161,1.6551322148305903,1.9857719231452378,False,-0.02922258708204578,0.34594420030772877,0.023946587844205305,-0.28300582740288244
19.0,380,-0.050348330102702996,0.3611613565784293,nan,0.6675916702590595,0.15909954523259967,1.709370308421142,1.985181359933909,False,-0.050348330102702996,0.3611613565784293,0.04186671283973331,-0.3000307668277752
20.0,400,-0.07594983902647083,0.36553153561100643,nan,0.6845059470434672,0.15964274730841027,1.7757426939814709,1.9845258283370912,False,-0.07594983902647083,0.36553153561100643,0.06335714908367251,-0.3046490032004055
21.0,420,-0.09446786168747022,0.36516337012690664,nan,0.6903006846102115,0.16201432633601764,1.8240648205838326,1.9838494030242684,False,-0.09446786168747022,0.36516337012690664,0.07850044698088118,-0.3031157626983947
22.0,440,-0.10222595488962134,0.364592338145187,nan,0.691016213392862,0.1652421031457924,1.844311334954664,1.9832310956402401,False,-0.10222595488962134,0.364592338145187,0.08442957878591281,-0.30073699302856405
23.0,460,-0.10117774547619414,0.36643136084596223,nan,0.692339804358578,0.1683707025300962,1.8404322916273068,1.9827105179656246,False,-0.10117774547619414,0.36643136084596223,0.08324812798928141,-0.30089277471019343
24.0,480,-0.0963305496651402,0.3712840797164569,nan,0.698223434304549,0.17072817442586807,1.8249419929785928,1.9822934953621822,False,-0.0963305496651402,0.3712840797164569,0.07921581510094354,-0.30451133165406435
25.0,500,-0.09193612851217389,0.37838008032088083,nan,0.7093711404389835,0.1721843217515901,1.8094888280104175,1.9819721210226107,False,-0.09193612851217389,0.37838008032088083,0.07578219298563191,-0.3108789272529504
26.0,520,-0.09009335572920922,0.38638344775604744,nan,0.7239773525659777,0.17301853041513413,1.8002660247195286,1.9817284588911803,False,-0.09009335572920922,0.38638344775604744,0.07458336849536602,-0.31861639871706016
27.0,540,-0.09148867788850262,0.39399295525705647,nan,0.739473715417422,0.17369137094899195,1.7993881349756622,1.9815556312478722,False,-0.09148867788850262,0.39399295525705647,0.07608064255105994,-0.3262444352196319
28.0,560,-0.09580139153623386,0.40028663835075573,nan,0.7537040855860577,0.17457402477188572,1.8061188044535028,1.981437628635306,False,-0.09580139153623386,0.40028663835075573,0.07992968107988405,-0.33264476276827404
29.0,580,-0.10195335761220548,0.40492552925317105,nan,0.7654600552870452,0.17584915409624444,1.817834015836391,1.9813405854409325,False,-0.10195335761220548,0.40492552925317105,0.08522662433686257,-0.3372959677391977
30.0,600,-0.1088956313151371,0.4080648800696094,nan,0.7745317714715446,0.17770559122178314,1.831894633469111,1.9812590254375249,False,-0.1088956313151371,0.4080648800696094,0.09104338595424827,-0.34021571863130656
