time,step,kinetic_energy,enstrophy,enstrophy_test,dEdt,neg_nu_enstrophy,helicity,strength_magnitude,strength_x,strength_y,strength_z,impulse_x,impulse_y,impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles,max_gamma,turbulent_viscosity_mean,turbulent_viscosity_max,effective_viscosity_mean,effective_viscosity_max,invariant_projection_correction_ratio,core_radius_mean,overlap_ratio,overlap_ratio_max,vorticity_divergence_error,strength_misalignment_deg,stabilization_events,stabilization_last_mechanism,stabilization_circulation_error,stabilization_strength_growth,stabilization_vorticity_growth,stabilization_max_vorticity_growth
1.0,20,2.1194450931711355,88.3682078927079,66.87901944947565,0.0,-0.1667324702065978,-1.0205621299127521e-10,13.010943548925521,6.59249130979811e-16,-7.218902667478766e-15,12.381898070179709,-0.0014403714609640859,-0.0007091399176427206,5.469353721614691e-11,9.677986658800816e-08,-2.3149484183276155e-08,-1.1147448679384366,76317,0.005207762122154236,0.0,0.0,0.001886792597360909,0.0018867924809455872,0.0,0.09000000357627869,0.6790714538425091,0.8507614271775373,0.018441186680347846,3.8234807812350025,0,,0.0,0.0,0.0,0.0
2.0,40,2.1371843645314663,63.644418115382,51.6439302408634,0.01773927136033082,-0.1200838095542599,2.4497295750265374e-09,12.789847765155443,5.257879093049922e-15,-1.1735411091246678e-14,12.38189802580577,-0.001443739674640026,-0.0007397343419091971,2.1443330115344476e-10,4.830701278722766e-07,-7.388637975954534e-07,-1.1466009364704446,103036,0.0030446776654571295,0.0,0.0,0.001886792597360909,0.0018867924809455872,0.0,0.09000000357627869,0.6770039916776137,0.8507615832769312,0.055160384281899184,1.6638866479898944,0,,0.0,0.0,0.0,0.0
3.0,60,2.1215821552678946,50.086043234271685,42.26151996876776,-0.015602209263571698,-0.09450196977473943,9.30272322267118e-10,12.647722125995339,1.3671661281308939e-14,2.492164223740715e-14,12.38189798152411,-0.0014651831655955573,-0.0007020585829082095,2.195921101581547e-11,5.014884027709067e-07,-5.536910680044315e-07,-1.1780552604119898,126097,0.0022100540809333324,0.0,0.0,0.001886792597360909,0.0018867924809455872,0.0,0.09000000357627869,0.6743072817617309,0.8507611606991758,0.03995160609216331,0.8650783664571065,0,,0.0,0.0,0.0,0.0
4.0,80,2.130722895991903,41.31697865698242,35.75542422905012,0.009140740724008278,-0.07795656466538371,1.3708090919189956e-09,12.553693160086667,1.559101019945816e-14,-2.984759114128474e-14,12.381897939314321,-0.0014849762679858697,-0.0007175640533626095,-2.1572031747895098e-11,5.449219088928291e-07,-2.2064655097803142e-07,-1.2093856307451845,144899,0.0017348568653687835,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.09000000357627869,0.6738578368930692,0.8047381966917059,0.0726671524480742,0.5092883761064791,0,,0.0,0.0,0.0,0.0
5.0,100,2.1023032007537577,35.08103425914916,30.913528763932973,-0.02841969523814525,-0.0661906316639572,-1.2952996828327823e-09,12.491777330317927,1.2129833677201537e-14,-6.383324993803133e-14,12.38189788231985,-0.001507848237986907,-0.0006944446078894781,-9.055888348505442e-10,6.378227615322628e-07,-4.215008788005246e-07,-1.2406146293100033,163983,0.0014452263712882996,0.0,0.0,0.001886792597360909,0.0018867924809455872,0.0,0.09000000357627869,0.6744870686527149,0.8507611606991758,0.10486688567592677,0.22913443723419874,0,,0.0,0.0,0.0,0.0
6.0,120,2.072280889802325,30.357880263101546,27.137954674331112,-0.030022310951432818,-0.05727902021786644,-2.8348322263044474e-09,12.466441274183948,6.539925461531045e-14,-3.194907988342266e-14,12.38189783176528,-0.0014978709609149638,-0.0005815124999305694,-2.8629375753012394e-09,1.10753372607356e-06,-6.464842123608589e-07,-1.2718286571385384,184520,0.0012301389360800385,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.09000000357627869,0.6740376237023954,0.8047384269666773,0.07018108929991626,0.09304169959960251,0,,0.0,0.0,0.0,0.0
7.0,140,2.050261604728538,26.656833946562376,24.1205292992801,-0.02201928507378703,-0.050295913856188965,-4.537038146541288e-09,12.453354347989166,6.622394113935028e-14,4.404523214250958e-14,12.381897777766868,-0.0014769727777782585,-0.000572466456508411,-6.000291436731928e-09,1.174433720218861e-06,-5.735402245624242e-07,-1.3030498398773054,205197,0.0010738751152530313,0.0,0.0,0.001886792597360909,0.0018867924809455872,0.0,0.09000000357627869,0.6730279108631706,0.9321005905407286,0.15647911988733681,0.06641359021724337,0,,0.0,0.0,0.0,0.0
8.0,160,2.035547192257492,23.741091134673454,21.70267107989308,-0.014714412471045879,-0.04479451224234581,-7.04870533458802e-09,12.442589247065865,1.8497044716216104e-14,-5.252782665212882e-14,12.381897723103842,-0.0014619367909617148,-0.0005711358532959433,-9.834848662941686e-09,1.1809461122425752e-06,-8.823400424610883e-07,-1.334247434317838,225680,0.0009484762558713555,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.09000000357627869,0.6734083880440499,0.8507611606991758,0.19038026667036306,0.05172195730538143,0,,0.0,0.0,0.0,0.0
9.0,180,2.0055071807900413,21.41226535526089,19.74488575948325,-0.03004001146745061,-0.04040050127231793,-1.1030775384980896e-08,12.435458833181363,9.629040051200785e-14,2.9910630721351195e-15,12.381897650089561,-0.0014561764591648303,-0.0005696617782155241,-1.4096099208121014e-08,1.129079749853707e-06,-9.204549566504068e-07,-1.3654156513245301,246689,0.0008457630756311119,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.09000000357627869,0.6739477170394891,0.8047380230406646,0.19874989985146682,0.017035043360094974,0,,0.0,0.0,0.0,0.0
10.0,200,2.012068075784811,19.478381060538723,18.107373579974997,0.00656089499476975,-0.036751662926017385,-1.6560818229871904e-08,12.430748458637087,5.506967215343473e-14,-6.702853773594714e-14,12.381897587761527,-0.001416171987008783,-0.0005650598461685403,-1.853121849170661e-08,1.290448267719333e-06,-8.969139438677388e-07,-1.3965619035626584,268519,0.0007626327569596469,0.0,0.0,0.001886792597360909,0.0018867924809455872,0.0,0.09000000357627869,0.673947715352239,0.8047384517397838,0.24558127638310245,0.012794723871134863,0,,0.0,0.0,0.0,0.0
