a_rhs_calls,amplification_ratio,amplitude_error,b_rhs_calls,dt,evaluator_calls,exact_amplification,experiment,final_alpha,final_x,full_rhs_calls,full_velocity_gradient_evaluator_calls,horizon,method,numerical_amplification,phase_error,relative_error,rhs_calls,steps,strength_sum_drift,subproblem_evaluator_calls,subproblem_rhs_calls,system
0,,-0.020013003298004928,0,0.4,0,,linear,-0.9685804933643296,-0.14908501460276968,60,0,8.0,ssp3_coupled,,0.0067042148039533345,0.021084760320869714,60,20,,0,0,oscillator
60,,0.0002087841299092119,60,0.4,0,,linear,-1.000208239471456,0.0010438122636627911,0,0,8.0,historical_lie,,-0.14706196059266397,0.14694495964972148,120,20,,0,120,oscillator
160,,0.019812071360338468,80,0.4,0,,linear,-1.000208239471456,-0.1989978356306281,0,0,8.0,strang_rk4,,0.050373536057033874,0.054586968633464204,240,20,,0,240,oscillator
0,,-0.0026278254010313473,0,0.2,0,,linear,-0.986696670368648,-0.14553671477568494,120,0,8.0,ssp3_coupled,,0.00042466601318125186,0.0026618290052345095,120,40,,0,0,oscillator
120,,-0.005922512844621308,120,0.2,0,,linear,-0.9922947221577163,-0.059508275450501386,0,0,8.0,historical_lie,,-0.08611974088326768,0.08604188162798218,240,40,,0,240,oscillator
320,,0.0049111842129236916,160,0.2,0,,linear,-0.9922947221577163,-0.15873774766627302,0,0,8.0,strang_rk4,,0.012607999542908921,0.013559496920646247,480,40,,0,480,oscillator
0,,-0.00033216842172512084,0,0.1,0,,linear,-0.989025738592802,-0.1454780460872795,240,0,8.0,ssp3_coupled,,2.663504358757507e-05,0.00033323422736798513,240,80,,0,0,oscillator
240,,-0.004927793794349045,240,0.1,0,,linear,-0.9901055986381495,-0.0992955140395235,0,0,8.0,historical_lie,,-0.04606476938215742,0.04621056353396061,480,80,,0,480,oscillator
640,,0.0012246365032855255,320,0.1,0,,linear,-0.9901055986381493,-0.14880079397143123,0,0,8.0,strang_rk4,,0.003153038448610701,0.0033843097799139635,960,80,,0,960,oscillator
0,,-4.163108867938359e-05,0,0.05,0,,linear,-0.9893168161432464,-0.14549562485510997,480,0,8.0,ssp3_coupled,,1.6661711166321425e-06,4.166441593548528e-05,480,160,,0,0,oscillator
480,,-0.0030124113187292023,480,0.05,0,,linear,-0.9895459002010973,-0.12158603283146724,0,0,8.0,historical_lie,,-0.02376062339622287,0.023914737226241555,960,160,,0,960,oscillator
1280,,0.0003059535364062782,640,0.05,0,,linear,-0.9895459002010979,-0.146324680336496,0,0,8.0,strang_rk4,,0.0007883261315164702,0.0008457279474974632,1920,160,,0,1920,oscillator
0,,-5.207234790916004e-06,0,0.025,0,,linear,-0.9893530796476466,-0.14549937920572306,960,0,8.0,ssp3_coupled,,1.0415891793513765e-07,5.208276412783273e-06,960,320,,0,0,oscillator
960,,-0.0016504357439588446,960,0.025,0,,linear,-0.9894052108132991,-0.1333385963092396,0,0,8.0,historical_lie,,-0.012059046240759486,0.012161528180550048,1920,320,,0,1920,oscillator
2560,,7.647540944155651e-05,1280,0.025,0,,linear,-0.9894052108132989,-0.14570616144440515,0,0,8.0,strang_rk4,,0.00019708571417176302,0.00021141011653090703,3840,320,,0,3840,oscillator
0,0.9922645448915343,,0,0.4,0,38.60672430098386,linear,27.078880362797452,27.096928173931175,30,0,4.0,ssp3_coupled,38.30808371826869,,0.007735455456211063,30,10,,0,0,growing
30,0.8734119203809684,,30,0.4,0,38.60672430098386,linear,26.067546182736322,21.38907790359109,0,0,4.0,historical_lie,33.719573211340915,,0.1565544314476598,60,10,,0,60,growing
80,0.9647368605010271,,40,0.4,0,38.60672430098386,linear,26.067546182736322,26.60258714013835,0,0,4.0,strang_rk4,37.245329996359885,,0.036559102772511856,120,10,,0,120,growing
0,0.9988638087818303,,0,0.2,0,38.60672430098386,linear,27.258914555113748,27.277201542064613,60,0,4.0,ssp3_coupled,38.56285967987079,,0.0011361912272582517,60,20,,0,0,growing
60,0.9426676929696205,,60,0.2,0,38.60672430098386,linear,26.974738233308557,24.4302401935758,0,0,4.0,historical_lie,36.393311729922644,,0.07499210121637527,120,20,,0,120,growing
160,0.9909248837878596,,80,0.2,0,38.60672430098386,linear,26.974738233308553,27.12771401690665,0,0,4.0,strang_rk4,38.25636379138237,,0.009408064936540039,240,20,,0,240,growing
0,0.9998461381819622,,0,0.1,0,38.60672430098386,linear,27.28571856539517,27.304030897287475,120,0,4.0,ssp3_coupled,38.60078420019443,,0.00015386181829850826,120,40,,0,0,growing
120,0.9730900977345308,,120,0.1,0,38.60672430098386,linear,27.210500505211016,25.902313529967866,0,0,4.0,historical_lie,37.567821123254475,,0.03647448897507601,240,40,,0,240,growing
320,0.997714411669836,,160,0.1,0,38.60672430098386,linear,27.21050050521099,27.262838555228402,0,0,4.0,strang_rk4,38.51848522245567,,0.0023694025015401437,480,40,,0,480,growing
0,0.9999799830818659,,0,0.05,0,38.60672430098386,linear,27.28937095236171,27.307686194093282,240,0,4.0,ssp3_coupled,38.6059515133441,,2.001691814196347e-05,240,80,,0,0,growing
240,0.9870136143121433,,240,0.05,0,38.60672430098386,linear,27.270023781724984,26.615117008334057,0,0,4.0,historical_lie,38.105362489066536,,0.017960634221176087,480,80,,0,480,growing
640,0.9994275425806399,,320,0.05,0,38.60672430098386,linear,27.270023781724984,27.29686760287719,0,0,4.0,strang_rk4,38.58462359522058,,0.000593447299997488,960,80,,0,960,growing
0,0.9999974473812121,,0,0.025,0,38.60672430098386,linear,27.289847537326725,27.308163127554593,480,0,4.0,ssp3_coupled,38.606625752734075,,2.552618788180665e-06,480,160,,0,0,growing
480,0.9936273375001665,,480,0.025,0,38.60672430098386,linear,27.284941384779703,26.96432871698812,0,0,4.0,historical_lie,38.36069667678957,,0.008908813682075306,960,160,,0,960,growing
1280,0.9998568192201729,,640,0.025,0,38.60672430098386,linear,27.284941384779707,27.305390484297877,0,0,4.0,strang_rk4,38.60119656009188,,0.00014843052544324462,1920,160,,0,1920,growing
0,,,0,0.05,30,,particle,,,30,30,0.5,ssp3_coupled,,,3.2729787494877907e-06,30,10,3.188872858294072e-16,0,0,two_particle_fixed_core
30,,,30,0.05,60,,particle,,,0,0,0.5,historical_lie,,,0.0027180162037411322,60,10,3.188872858294072e-16,60,60,two_particle_fixed_core
80,,,40,0.05,120,,particle,,,0,0,0.5,strang_rk4,,,3.540323835534562e-05,120,10,2.2887833992611187e-16,120,120,two_particle_fixed_core
0,,,0,0.025,60,,particle,,,60,60,0.5,ssp3_coupled,,,4.0658874074384e-07,60,20,3.3306690738754696e-16,0,0,two_particle_fixed_core
60,,,60,0.025,120,,particle,,,0,0,0.5,historical_lie,,,0.0013663170996134732,120,20,5.551115123125783e-17,120,120,two_particle_fixed_core
160,,,80,0.025,240,,particle,,,0,0,0.5,strang_rk4,,,8.848885908870831e-06,240,20,7.043575467574348e-16,240,240,two_particle_fixed_core
0,,,0,0.0125,120,,particle,,,120,120,0.5,ssp3_coupled,,,5.0631993350017255e-08,120,40,2.2887833992611187e-16,0,0,two_particle_fixed_core
120,,,120,0.0125,240,,particle,,,0,0,0.5,historical_lie,,,0.0006850144471957047,240,40,7.043575467574348e-16,240,240,two_particle_fixed_core
320,,,160,0.0125,480,,particle,,,0,0,0.5,strang_rk4,,,2.2120018032196607e-06,480,40,6.661338147750939e-16,480,480,two_particle_fixed_core
0,,,0,0.00625,240,,particle,,,240,240,0.5,ssp3_coupled,,,6.292272308358779e-09,240,80,1.5740127955196998e-15,0,0,two_particle_fixed_core
240,,,240,0.00625,480,,particle,,,0,0,0.5,historical_lie,,,0.00034297475434840575,480,80,7.711855592701269e-16,480,480,two_particle_fixed_core
640,,,320,0.00625,960,,particle,,,0,0,0.5,strang_rk4,,,5.528871789766614e-07,960,80,4.965068306494546e-16,960,960,two_particle_fixed_core
