time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,n_regularization_events,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,stretching_viscosity_feedback_coefficient
0.0,0,27.29905891418457,2166.537109375,1764.71630859375,0.0,direct_energy_backward_difference,-3.6608917713165283,2.993037924170494e-07,40.68050765991211,0.0,-4.98257577419281e-07,-7.621129043400288e-07,19.7867374420166,-2.3725442588329315e-07,-3.6641313272411935e-07,-4.040253909209923e-09,-0.052751123905181885,-0.08417404443025589,17544,0.009341532364487648,0.0009457584237679839,0.0016988308634608984,0.001992955803871155,0.002746028359979391,0.0,0.07000000029802322,0.4930420531255615,0.5677772011030455,1.33041698016314e-07,3.9363502401910804,0,0,none,0.0,0.0,0.0,0.0,0.0
0.03899296106,5,27.23816680908203,2121.737060546875,1736.42578125,-1.5616178778739576,direct_energy_backward_difference,-3.510213613510132,-0.0015913340030238032,40.671417236328125,9.733220213092864e-05,-0.006242884788662195,0.00026343230274505913,19.794551849365234,0.0012473964598029852,-0.0010203730780631304,6.219124043127522e-05,-0.04913993179798126,-0.08523129671812057,17544,0.009765233844518661,0.0009169827681034803,0.001717868959531188,0.001964180264621973,0.0027650664560496807,0.0,0.07223334112210981,0.4608465452687018,0.5618683611363346,0.060766462822200856,4.874608690726703,0,0,none,0.0,0.0,0.0,0.0,0.0
0.07798592212,10,27.14214324951172,2070.172607421875,1701.437744140625,-2.462587014680862,direct_energy_backward_difference,-3.352867364883423,0.017180509865283966,40.65911102294922,0.007247477304190397,-0.01627592369914055,0.001761396648362279,19.799339294433594,0.0033323790412396193,-0.00010291708167642355,-0.0024510121438652277,-0.0437488928437233,-0.08514195680618286,17544,0.010334453545510769,0.000884014880284667,0.0016179444501176476,0.0019312122603878379,0.002665142063051462,0.0,0.07450906400739929,0.4231803576723657,0.5572235642280086,0.051711738697717405,6.281203625731276,0,0,none,0.0,0.0,0.0,0.0,0.0
0.11697888318,15,26.974164962768555,2016.083740234375,1662.9954833984375,-4.307913073969664,direct_energy_backward_difference,-3.219160556793213,0.02653772197663784,40.66786193847656,0.010951661504805088,-0.03276890143752098,0.013888144865632057,19.783164978027344,0.0050878883339464664,0.004345246125012636,-0.004027492366731167,-0.037180203944444656,-0.08902420103549957,17544,0.010740719735622406,0.0008491910411976278,0.001469972194172442,0.0018963885959237814,0.0025171698071062565,0.0,0.07665329294494105,0.3945120110072128,0.5619919724089805,0.039825497540283195,7.592486616163376,0,0,none,0.0,0.0,0.0,0.0,0.0
0.15597184424,20,26.853506088256836,1971.76220703125,1632.3245849609375,-3.0943757855695098,direct_energy_backward_difference,-3.0794267654418945,0.04189189150929451,40.67300796508789,0.012266517616808414,-0.05099103972315788,0.025883326306939125,19.769298553466797,0.006272200495004654,0.006768263876438141,-0.004395870957523584,-0.030277200043201447,-0.0926530733704567,17544,0.010974735021591187,0.0008149849600158632,0.0014677081489935517,0.001862182398326695,0.0025149057619273663,0.0,0.07867841417886354,0.3908652204082565,0.5683297860318346,0.05428155193822921,8.595007851971596,0,0,none,0.0,0.0,0.0,0.0,0.0
0.1949648053,25,26.719345092773438,1924.3592529296875,1598.97705078125,-3.440646512506697,direct_energy_backward_difference,-2.9674744606018066,0.05315082520246506,40.687137603759766,0.01442745141685009,-0.06888041645288467,0.03979146480560303,19.75128173828125,0.006288173142820597,0.009139101952314377,-0.004895614925771952,-0.02468966133892536,-0.09662055224180222,17544,0.011030062101781368,0.0007902296492829919,0.0014438747894018888,0.0018374272622168064,0.0024910722859203815,0.0,0.08053242271435666,0.3915980886391086,0.5644357695078226,0.048473741068258684,9.195610144572614,0,0,none,0.0,0.0,0.0,0.0,0.0
0.23395776636,30,26.61840057373047,1881.3138427734375,1568.6646728515625,-2.5887882402067746,direct_energy_backward_difference,-2.85853910446167,0.007236745208501816,40.67538070678711,0.01599687896668911,-0.07998630404472351,0.04952177777886391,19.74526596069336,0.00556543655693531,0.006137235090136528,-0.005883439909666777,-0.02053980343043804,-0.0982968658208847,17544,0.011079073883593082,0.0007620929973199964,0.0013747232733294368,0.0018092903774231672,0.0024219206534326077,0.0,0.08232915509964403,0.38546899042691174,0.5583443934395785,0.04091182156415216,9.54860371166415,0,0,none,0.0,0.0,0.0,0.0,0.0
0.27295072742,35,26.53202247619629,1840.9727783203125,1540.09814453125,-2.2152228296093335,direct_energy_backward_difference,-2.7545812129974365,0.06496480107307434,40.6644172668457,0.019336216151714325,-0.08914032578468323,0.05396316573023796,19.74288558959961,0.003488341812044382,0.0036709513515233994,-0.006370293442159891,-0.017322445288300514,-0.09875801205635071,17544,0.011121821589767933,0.0007330964435823262,0.0012783283600583673,0.0017802937654778361,0.0023255259729921818,0.0,0.08405859887173567,0.37895627071602733,0.5504825694994028,0.037821675120096494,9.613143962718532,0,0,none,0.0,0.0,0.0,0.0,0.0
0.31194368848,40,26.4294376373291,1798.9730224609375,1509.8665771484375,-2.6308553153820813,direct_energy_backward_difference,-2.681825876235962,0.036631494760513306,40.66811752319336,0.01982237957417965,-0.0946454256772995,0.05888800695538521,19.731252670288086,0.0017417059279978275,0.0024830505717545748,-0.006667964160442352,-0.017143039032816887,-0.09879059344530106,17544,0.011079291813075542,0.0007140756933949888,0.0012997955782338977,0.0017612731317058206,0.0023469929583370686,0.0,0.08572653475197561,0.37551360547635027,0.6141296818757324,0.03323072037376624,9.8613006753671,0,0,none,0.0,0.0,0.0,0.0,0.0
0.35093664954,45,26.361106872558594,1761.1326904296875,1482.73681640625,-1.7523871722735953,direct_energy_backward_difference,-2.594240427017212,0.005328596569597721,40.6523323059082,0.021328838542103767,-0.10525407642126083,0.06285504251718521,19.729555130004883,-0.000805141287855804,-0.0031576701439917088,-0.00718327471986413,-0.012332389131188393,-0.09792143851518631,17544,0.011016962118446827,0.0006934060365892947,0.0012747675646096468,0.0017406035913154483,0.0023219650611281395,0.0,0.08734864473930652,0.3718934194786663,0.5889167009323645,0.034048864514753086,9.848456185206732,0,0,none,0.0,0.0,0.0,0.0,0.0
0.3899296106,50,26.299983978271484,1724.2850341796875,1456.21142578125,-1.5675366175207157,direct_energy_backward_difference,-2.525613307952881,0.12756790220737457,40.63109588623047,0.019109386950731277,-0.11388501524925232,0.06937993317842484,19.72812271118164,-0.0007110786973498762,-0.007052270229905844,-0.005613551940768957,-0.009368269704282284,-0.09739872813224792,17544,0.010969366878271103,0.000674927665386349,0.001262866542674601,0.0017221252201125026,0.0023100641556084156,0.0,0.08891834251920668,0.36675834645242444,0.6550293726936823,0.035534508443293436,9.976435418444385,0,0,none,0.0,0.0,0.0,0.0,0.0
0.42892257166,55,26.251571655273438,1689.1844482421875,1430.8282470703125,-1.2415657001157963,direct_energy_backward_difference,-2.4526305198669434,0.02411394566297531,40.60947036743164,0.019601035863161087,-0.11930613219738007,0.07490520924329758,19.727903366088867,-0.004412862006574869,-0.011246919631958008,-0.006562042981386185,-0.007665589451789856,-0.09687409549951553,17544,0.010853832587599754,0.0006510240491479635,0.0013074709568172693,0.001698221662081778,0.002354668453335762,0.0,0.09044263330048287,0.3588647155116501,0.6630434980654826,0.030437126092628903,9.938429665744275,0,0,none,0.0,0.0,0.0,0.0,0.0
0.46791553272,60,26.193641662597656,1654.784912109375,1405.6385498046875,-1.485652566539946,direct_energy_backward_difference,-2.381382465362549,-0.072018101811409,40.596290588378906,0.02069181017577648,-0.12898856401443481,0.07954777777194977,19.72174644470215,-0.007455011829733849,-0.01741045154631138,-0.008652067743241787,-0.0021644579246640205,-0.09512335062026978,17544,0.010622048750519753,0.0006324756541289389,0.0013325056061148643,0.0016796730924397707,0.002379703102633357,0.0,0.0918904448622847,0.3516084658785885,0.6364186433662007,0.03330774737368037,9.978190495871614,0,0,none,0.0,0.0,0.0,0.0,0.0
0.50690849378,65,26.156204223632812,1620.765869140625,1380.6141357421875,-0.9601076180707921,direct_energy_backward_difference,-2.327693223953247,0.17284484207630157,40.56936264038086,0.020700795575976372,-0.13891907036304474,0.08280204236507416,19.7210636138916,-0.007101810537278652,-0.02567015215754509,-0.006078192964196205,0.002913048258051276,-0.092623271048069,17544,0.01060437224805355,0.000621677958406508,0.0012803011341020465,0.0016688754549250007,0.0023274985142052174,0.0,0.09334597884343128,0.34597454935751015,0.6277992496635982,0.035626494455718395,10.020866654154185,0,0,none,0.0,0.0,0.0,0.0,0.0
0.54590145484,70,26.11863899230957,1588.7852783203125,1356.8956298828125,-0.9633849367181719,direct_energy_backward_difference,-2.2668421268463135,0.12575851380825043,40.54600524902344,0.02151738665997982,-0.14987386763095856,0.09475286304950714,19.715496063232422,-0.010632961057126522,-0.03198021650314331,-0.006969859823584557,0.0064964392222464085,-0.09348765760660172,17544,0.010651322081685066,0.0006028647185303271,0.0011957696406170726,0.0016500622732564807,0.0022429670207202435,0.0,0.09476554550092907,0.33972789426004313,0.5631006788595334,0.031244611774755737,9.940700583578717,0,0,none,0.0,0.0,0.0,0.0,0.0
0.5848944159,75,26.08846664428711,1557.741943359375,1333.8995361328125,-0.7737896072071448,direct_energy_backward_difference,-2.2044835090637207,-0.06314658373594284,40.520076751708984,0.019022531807422638,-0.16280663013458252,0.09603624790906906,19.70941734313965,-0.01565971039235592,-0.04041295871138573,-0.008261675015091896,0.01289023831486702,-0.09280814975500107,17544,0.010464455932378769,0.0005864404374733567,0.001215777243487537,0.0016336380504071712,0.0022629746235907078,0.0,0.09612607587310641,0.3328034946873217,0.5483968202586622,0.03475979228463834,9.900073853781377,0,0,none,0.0,0.0,0.0,0.0,0.0
0.62388737696,80,26.073760986328125,1527.3170166015625,1311.3297119140625,-0.3771362204669767,direct_energy_backward_difference,-2.163517951965332,0.07476657629013062,40.48957824707031,0.01798321306705475,-0.1789894551038742,0.10506696999073029,19.705371856689453,-0.01857161894440651,-0.052026331424713135,-0.006353373173624277,0.019409237429499626,-0.0926576629281044,17544,0.010547203943133354,0.0005744885420426726,0.0012139673344790936,0.0016216860385611653,0.0022611648309975863,0.0,0.09744013398478034,0.32724201902125183,0.602170628898188,0.035072993426901414,9.96338543324937,0,0,none,0.0,0.0,0.0,0.0,0.0
0.66288033802,85,26.07330322265625,1499.518310546875,1290.4937744140625,-0.011739648886131536,direct_energy_backward_difference,-2.1025164127349854,0.08725112676620483,40.449989318847656,0.018975669518113136,-0.19077806174755096,0.11565413326025009,19.70207977294922,-0.023367028683423996,-0.06216009333729744,-0.006511001847684383,0.023330368101596832,-0.09307645261287689,17544,0.010601186193525791,0.0005569725180976093,0.0012514259433373809,0.001604170072823763,0.0022986233234405518,0.0,0.09876211502831778,0.3228906389323306,0.6124858555392363,0.038530674780497175,10.103240197720481,0,0,none,0.0,0.0,0.0,0.0,0.0
0.70187329908,90,26.062702178955078,1469.9215087890625,1267.937744140625,-0.2718707021213303,direct_energy_backward_difference,-2.04807186126709,0.007144570350646973,40.41749572753906,0.016971439123153687,-0.20324812829494476,0.12706197798252106,19.693695068359375,-0.03225453570485115,-0.07205045223236084,-0.006865095812827349,0.0302147064357996,-0.09698532521724701,17544,0.010519093833863735,0.0005490605835802853,0.0011919663520529866,0.001596258021891117,0.002239163964986801,0.0,0.10011340206088919,0.31720510789829437,0.5870344747979842,0.0329929717075339,10.347279652181442,0,0,none,0.0,0.0,0.0,0.0,0.0
0.74086626014,95,26.056915283203125,1440.718017578125,1245.5699462890625,-0.1484087280021795,direct_energy_backward_difference,-2.0314762592315674,0.07609467208385468,40.37761306762695,0.016539258882403374,-0.22196133434772491,0.1325705349445343,19.68125343322754,-0.03963102400302887,-0.0856463760137558,-0.00586382020264864,0.0383174829185009,-0.0985589474439621,17544,0.010588893666863441,0.0005445085116662085,0.0012128468370065093,0.0015917060663923621,0.00226004421710968,0.0,0.10152139631259254,0.3112310680424405,0.5171161327025541,0.03232834758772243,10.475860497440397,0,0,none,0.0,0.0,0.0,0.0,0.0
0.7798592212,100,26.063034057617188,1416.006591796875,1226.7125244140625,0.15691997344462533,direct_energy_backward_difference,-1.9431922435760498,0.08726999163627625,40.33833312988281,0.01417671237140894,-0.2347135990858078,0.14533329010009766,19.669084548950195,-0.04843653738498688,-0.10095515847206116,-0.005578804295510054,0.04553469270467758,-0.1023038700222969,17544,0.010548737831413746,0.0005158335552550852,0.001263949554413557,0.001563030993565917,0.0023111470509320498,0.0,0.10282885991555,0.30598328608925873,0.5372570716926175,0.03814569789808143,10.675614496266219,0,0,none,0.0,0.0,0.0,0.0,0.0
0.81885218226,105,26.076974868774414,1389.2144775390625,1206.2794189453125,0.3575212237863975,direct_energy_backward_difference,-1.9144303798675537,0.0068811774253845215,40.30060577392578,0.0159386545419693,-0.2479049265384674,0.15639275312423706,19.658044815063477,-0.05688771978020668,-0.1134575679898262,-0.006998666562139988,0.054438646882772446,-0.10546347498893738,17544,0.010373077355325222,0.000513621955178678,0.0012616566382348537,0.001560819335281849,0.0023088541347533464,0.0,0.10401801438768582,0.30097962150576374,0.6079477921298374,0.03226982549775839,10.75052352328572,0,0,none,0.0,0.0,0.0,0.0,0.0
0.85784514332,110,26.12394905090332,1363.2762451171875,1186.4287109375,1.2046836365318678,direct_energy_backward_difference,-1.8953802585601807,0.1714877337217331,40.24784469604492,0.017302662134170532,-0.26544371247291565,0.1751626878976822,19.654388427734375,-0.06866766512393951,-0.12972551584243774,-0.005700116511434317,0.0657157450914383,-0.11297345906496048,17544,0.01033768244087696,0.0005079354741610587,0.0012617846950888634,0.0015551329124718904,0.002308982191607356,0.0,0.10519370562628394,0.2953093840482115,0.6007184408816881,0.0356364002207166,10.83983899667095,0,0,none,0.0,0.0,0.0,0.0,0.0
