position_x,position_y,position_z,baseline_vpm_velocity_x,baseline_vpm_velocity_y,baseline_vpm_velocity_z,candidate_vpm_velocity_x,candidate_vpm_velocity_y,candidate_vpm_velocity_z,baseline_velocity_x,baseline_velocity_y,baseline_velocity_z,candidate_velocity_x,candidate_velocity_y,candidate_velocity_z,reference_velocity_x,reference_velocity_y,reference_velocity_z
7.336957,0.0,0.0,0.99894047,6.384257e-05,6.370935e-05,0.9989382,2.6350006e-07,2.5612422e-07,,,,,,,0.9993319917032556,-3.7626330288823916e-10,-1.384004222138833e-09
7.456522,0.0,0.0,0.9989917,6.19276e-05,6.180327e-05,0.9989895,2.540754e-07,2.465818e-07,,,,,,,0.9993768651636469,-3.1861349472588843e-10,-1.3535817993734363e-09
7.576087,0.0,0.0,0.9990396,5.9772825e-05,5.965963e-05,0.99903756,2.3783409e-07,2.3245283e-07,,,,,,,0.9994183945713884,-2.597482269086282e-10,-1.3285996158137308e-09
7.695652,0.0,0.0,0.99908453,5.7745037e-05,5.764024e-05,0.99908257,2.3111906e-07,2.2626361e-07,,,,,,,0.999456831375105,-2.0045993576736363e-10,-1.3090324076130452e-09
7.815217,0.0,0.0,0.9991268,5.621675e-05,5.6160683e-05,0.9991248,2.2284681e-07,2.1796338e-07,,,,,,,0.999492457432452,-1.3941441007849948e-10,-1.2875346375442641e-09
7.934783,0.0,0.0,0.9991664,5.4358738e-05,5.4306878e-05,0.9991645,2.1084892e-07,2.0735413e-07,,,,,,,0.9995254645027504,-7.700488093267082e-11,-1.26527132019318e-09
8.054348,0.0,0.0,0.9992037,5.2597105e-05,5.254812e-05,0.9992019,2.0693143e-07,2.031639e-07,,,,,,,0.9995565207427834,-1.7359769040979634e-07,-1.7482790749604927e-07
8.173913,0.0,0.0,0.9992387,5.0828472e-05,5.0782124e-05,0.9992369,1.9750154e-07,1.9442216e-07,,,,,,,0.9995868445848968,-1.8559814736516527e-07,-1.8688740020206934e-07
8.293478,0.0,0.0,0.99927175,4.9224334e-05,4.918066e-05,0.99927,1.8547881e-07,1.8184929e-07,,,,,,,0.9996169561936896,7.142172182000165e-07,7.128665663073199e-07
8.413043,0.0,0.0,0.99930286,4.7709604e-05,4.7664682e-05,0.99930125,1.8242095e-07,1.7454651e-07,,,,,,,0.9996403138241078,1.9807362634954376e-10,-1.217329764562017e-09
8.532609,0.0,0.0,0.9993323,4.6220383e-05,4.621817e-05,0.9993307,1.751953e-07,1.7207286e-07,,,,,,,0.9996610974206201,1.9200190103776585e-10,-1.197372571001619e-09
8.652174,0.0,0.0,0.99936,4.482563e-05,4.4824385e-05,0.9993585,1.6335878e-07,1.5998256e-07,,,,,,,0.9996828624984342,1.994624267642319e-10,-1.1787899839108931e-09
8.771739,0.0,0.0,0.9993863,4.3498312e-05,4.3506476e-05,0.9993848,1.5773875e-07,1.5468551e-07,,,,,,,0.9997042728251657,2.012440408102803e-10,-1.1597895484092027e-09
8.891304,0.0,0.0,0.99941254,4.2166124e-05,4.1797113e-05,0.9994097,1.5414547e-07,1.5129045e-07,,,,,,,0.9997255176522633,2.3618089248546036e-07,2.3488077459503768e-07
9.010869,0.0,0.0,0.9994366,4.1382682e-05,4.0354076e-05,0.9994332,1.454235e-07,1.4265365e-07,,,,,,,0.9997462216484648,3.673202892167718e-07,3.6606906152865537e-07
9.130434,0.0,0.0,0.9994597,4.0186296e-05,3.892636e-05,0.9994577,1.4057906e-07,1.3711784e-07,,,,,,,0.9997564596043675,4.3529056662106797e-07,4.345547418010152e-07
9.25,0.0,0.0,0.99948066,3.9061866e-05,3.7858612e-05,0.9994788,1.3493013e-07,1.3223044e-07,,,,,,,0.9997726676251625,3.071100301008928e-07,3.0661346197322706e-07
9.369565,0.0,0.0,0.99950296,3.8079274e-05,3.717746e-05,0.9994988,1.3153365e-07,1.2894168e-07,,,,,,,0.9997887326498016,2.5286631064647015e-08,2.502501119693794e-08
9.48913,0.0,0.0,0.9995232,3.7009275e-05,3.630246e-05,0.999521,1.2814351e-07,1.2544889e-07,,,,,,,0.9997950512883369,-4.567866397381307e-10,-7.2324556157415e-10
9.608695,0.0,0.0,0.9995425,3.5501165e-05,3.587866e-05,0.9995389,1.1981295e-07,1.1728538e-07,,,,,,,0.999807500347375,-5.377596568854331e-10,-6.563762437596612e-10
9.72826,0.0,0.0,0.9995601,3.455815e-05,3.4923996e-05,0.999562,1.17158706e-07,1.1620415e-07,,,,,,,0.9998194711156426,-6.09563460401218e-10,-5.92228312059077e-10
9.847826,0.0,0.0,0.9995779,3.3672706e-05,3.3798722e-05,0.9995801,1.1334456e-07,1.1288322e-07,,,,,,,0.9998313130443657,-6.789028547644167e-10,-5.288198800949687e-10
9.967392,0.0,0.0,0.999595,3.337688e-05,3.31233e-05,0.9995953,1.0985235e-07,1.0939966e-07,,,,,,,0.9998403249014485,-6.868172079856408e-10,-4.886394063455931e-10
10.086957,0.0,0.0,0.9996101,3.450967e-05,3.2224936e-05,0.9996097,1.07848116e-07,1.0706624e-07,,,,,,,0.9998496125376303,-7.034569300107725e-10,-4.434412133643281e-10
10.206522,0.0,0.0,0.9996254,3.2650394e-05,3.134757e-05,0.9996234,1.0541776e-07,1.0473377e-07,,,,,,,0.99985821119935,-7.052933263743771e-10,-4.038394497134886e-10
10.326087,0.0,0.0,0.9996423,3.0496556e-05,3.0754007e-05,0.99963653,1.0066263e-07,9.947956e-08,,,,,,,0.9998662349144948,-6.948203643024148e-10,-3.6894887030961596e-10
10.445653,0.0,0.0,0.99965465,2.9746585e-05,2.9991177e-05,0.999649,9.511493e-08,9.4471645e-08,,,,,,,0.9998744914419369,-7.029664034274582e-10,-3.2949286092878795e-10
10.565218,0.0,0.0,0.9996664,2.9028988e-05,2.9262068e-05,0.9996609,9.3977015e-08,9.3395094e-08,,,,,,,0.9998810501217762,-6.684062548168458e-10,-3.0503672171103456e-10
10.684783,0.0,0.0,0.9996776,2.8335373e-05,2.8557883e-05,0.99967235,9.0911165e-08,8.997663e-08,,,,,,,0.9998874304151815,-6.33063766442335e-10,-2.8140499425848087e-10
10.804348,0.0,0.0,0.9996883,2.7665785e-05,2.7873313e-05,0.99968326,8.907195e-08,8.4277914e-08,,,,,,,0.999893474599991,-5.962543463698865e-10,-2.5932946827960214e-10
10.923913,0.0,0.0,0.9996986,2.70114e-05,2.721281e-05,0.9996937,7.900334e-08,7.758997e-08,,,,,,,0.9998991160833174,-5.577560680089759e-10,-2.3918572798422917e-10
11.043478,0.0,0.0,0.99970835,2.6395426e-05,2.6587171e-05,0.99970657,8.209954e-08,8.017916e-08,,,,,,,0.9999044326666537,-5.179900204917604e-10,-2.206972918735496e-10
11.163044,0.0,0.0,0.99971944,2.5796948e-05,2.611739e-05,0.999716,7.523431e-08,7.3071426e-08,,,,,,,0.9999097080141968,-4.835359506754754e-10,-1.9952583843175046e-10
11.282609,0.0,0.0,0.9997284,2.521551e-05,2.5523108e-05,0.99972504,7.651521e-08,7.471951e-08,,,,,,,0.9999140940424598,-4.4295133177188036e-10,-1.8394789462863168e-10
11.402174,0.0,0.0,0.99973696,2.4654924e-05,2.494962e-05,0.9997337,7.307719e-08,6.9500516e-08,,,,,,,0.999918335887507,-4.031415166857988e-10,-1.6837203868230531e-10
11.52174,0.0,0.0,0.99974513,2.4113882e-05,2.4402252e-05,0.99974203,7.228659e-08,7.464584e-08,,,,,,,0.9999223374318932,-3.6468469388439635e-10,-1.528571395457123e-10
11.641304,0.0,0.0,0.999753,2.35881e-05,2.3861498e-05,0.9997499,7.1880656e-08,6.981745e-08,,,,,,,0.9999260792962299,-3.2789621522794313e-10,-1.3763550638223337e-10
11.76087,0.0,0.0,0.9997605,2.3072924e-05,2.3335797e-05,0.9997576,6.9233934e-08,6.732728e-08,,,,,,,0.9999299079063515,-2.8661718855598427e-10,-1.19836816001625e-10
11.880434,0.0,0.0,0.9997688,2.2684242e-05,2.24905e-05,0.99976486,6.788468e-08,6.607864e-08,,,,,,,0.9999327777501283,-2.511741146663202e-10,-1.0238257285903552e-10
12.0,0.0,0.0,0.9997757,2.2197652e-05,2.2009348e-05,0.9997719,6.389618e-08,6.226106e-08,,,,,,,0.9999355624251003,-2.1507546791120386e-10,-8.413829877847133e-11
