position_x,position_y,position_z,baseline_vpm_velocity_x,baseline_vpm_velocity_y,baseline_vpm_velocity_z,candidate_vpm_velocity_x,candidate_vpm_velocity_y,candidate_vpm_velocity_z,baseline_velocity_x,baseline_velocity_y,baseline_velocity_z,candidate_velocity_x,candidate_velocity_y,candidate_velocity_z,reference_velocity_x,reference_velocity_y,reference_velocity_z
-4.5,0.75,0.0,0.9955135,0.0010333445,-7.7698256e-05,0.9954811,0.0011145705,7.2046932e-06,,,,,,,0.9972546717587338,0.00137025093433757,-1.2139739276525454e-08
-4.380435,0.75,0.0,0.99517506,0.0011395141,-8.096347e-05,0.9951435,0.001233245,7.537531e-06,,,,,,,0.996845943800804,0.0015169044200300705,-1.2412184292325706e-08
-4.2608695,0.75,0.0,0.99480003,0.0012647383,-8.021291e-05,0.99476105,0.0013712203,7.892882e-06,,,,,,,0.9963950843015473,0.001675949800261012,-1.2615798851163524e-08
-4.1413045,0.75,0.0,0.99439675,0.0014218116,-8.043498e-05,0.994348,0.0015197743,8.281706e-06,,,,,,,0.9959009758380586,0.0018496566983006774,-1.2760932975659409e-08
-4.021739,0.75,0.0,0.9939294,0.001605259,-8.472199e-05,0.99387765,0.0017052478,8.705467e-06,,,,,,,0.9953750767198748,0.002068765943908201,-1.3213763033388546e-08
-3.902174,0.75,0.0,0.99340856,0.0018029157,-8.739389e-05,0.99335,0.0019012891,9.149668e-06,,,,,,,0.9947126278643437,0.00232126174540886,-1.3398254472804017e-08
-3.7826087,0.75,0.0,0.9928246,0.002034091,-8.9934416e-05,0.9927646,0.0021442743,9.681141e-06,,,,,,,0.9940302774314278,0.0025843484713771,-1.3605123703018941e-08
-3.6630435,0.75,0.0,0.9921763,0.0023107529,-9.3397546e-05,0.9921068,0.0024138624,1.0219084e-05,,,,,,,0.9932961271966068,0.0026508808304853424,-1.3532978508994108e-08
-3.5434783,0.75,0.0,0.99144465,0.0025948063,-0.00010092277,0.99137074,0.0027352432,1.0820152e-05,,,,,,,0.9930042977052499,0.002928089187930941,-1.3411202729169509e-08
-3.423913,0.75,0.0,0.9906268,0.0029619467,-0.00011071842,0.9905412,0.0031137385,1.147679e-05,,,,,,,0.9920407664127484,0.0033869365818800685,-1.4157914150624712e-08
-3.304348,0.75,0.0,0.9896972,0.0033908854,-0.000120746605,0.9896038,0.0035503798,1.2198321e-05,,,,,,,0.9910447921556518,0.003845105617165947,-1.4920781606401427e-08
-3.1847825,0.75,0.0,0.98866713,0.0038876678,-0.0001194835,0.98855525,0.00405982,1.3007827e-05,,,,,,,0.9905864378012845,0.003870149143320172,-1.7344379886881584e-08
