time,step,reference_speed,R1,Rinf,edge_R1,edge_Rinf,interior_R1,interior_Rinf,collocation_R1,collocation_Rinf,off_grid_R1,off_grid_Rinf,independent_surface_R1,independent_surface_Rinf,two_sided_trace_R1,two_sided_trace_Rinf,transport_R1,transport_Rinf,transport_filter_radius,transport_operator,transport_filter_radii,boundary_filter_radius,stage_boundary_residual,stage_near_wake_elapsed,stage_near_wake_matrix_norm,n_probes,n_panels,n_edge_panels,front_wing_R1,front_wing_Rinf,front_wing_n_probes,rear_wing_R1,rear_wing_Rinf,rear_wing_n_probes
0.005,1,4.0,0.1730702022175352,4.387901020591474,0.19258298595531112,4.387901020591474,0.12705857636673037,1.0667529102436617,9.452542234783423e-17,2.7755575615628914e-16,0.25960530332630277,4.387901020591474,0.43718611159096593,4.387901020591474,0.08202449506163971,0.30947969350337823,0.049139244040738696,0.15263556840209508,0.0675,symmetric_pair_radius:GAUSSIAN:host_reference,0.0675,1e-08,9.992007221626409e-16,0.0,0.0,1344,48,36,0.17832409982918435,4.387901020591474,672,0.16781630460588606,4.250529941896914,672
0.01,2,4.0,0.1697316091865455,4.327256607732196,0.18908121548251955,4.327256607732196,0.12410475977258205,1.0417724592989506,8.27905282456382e-17,2.498001805406602e-16,0.2545974137798182,4.327256607732196,0.42889757986924326,4.327256607732196,0.08029724769039323,0.3057865442904607,0.04842755016588228,0.15236959259495125,0.0675,symmetric_pair_radius:GAUSSIAN:host_reference,"0.0675,0.2846324384183924",1e-08,8.326672684688674e-16,0.0024999999999999996,1.519194542216865,1344,48,36,0.17489684488971077,4.327256607732196,672,0.16456637348338027,4.195219229017761,672
0.015,3,4.0,0.16665026509597405,4.2728393124182205,0.18580646075312174,4.2728393124182205,0.12147948274393452,1.0186279060049876,9.423630176850479e-17,2.7755575615628914e-16,0.24997539764396098,4.2728393124182205,0.4212511603685788,4.2728393124182205,0.07869963491934336,0.30258505741188096,0.0483031602022091,0.15267191091002796,0.0675,symmetric_pair_radius:GAUSSIAN:host_reference,"0.0675,0.2846324384183925",1e-08,8.881784197001252e-16,0.0025000000000000005,1.5191899207221098,1344,48,36,0.17176405529457006,4.2728393124182205,672,0.1615364748973781,4.1447558946251295,672
0.02,4,4.0,0.16383197597426666,4.224787915050629,0.18276687447462894,4.224787915050629,0.11918301778205424,0.997501530589567,8.057960616841285e-17,2.7755575615628914e-16,0.24574796396139986,4.224787915050629,0.414260062954526,4.224787915050629,0.07723586496827387,0.2998604979453581,0.04860388806221762,0.1534380535951753,0.0675,symmetric_pair_radius:GAUSSIAN:host_reference,"0.0675,0.2846324384183925",1e-08,6.661338147750939e-16,0.0024999999999999988,1.5191849860626387,1344,48,36,0.1689373174903841,4.224787915050629,672,0.15872663445814922,4.098977893041562,672
