time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,pressure_jump_coefficient_type,panel_force_x,panel_force_y,panel_force_z,panel_force_units,force_density,unsteady_force_x,unsteady_force_y,unsteady_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,relative_velocity_units,bound_x,bound_y,bound_z,span_coordinate_normalized
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,0,0.08333322405815125,0.09896688908338547,-2.680344581604004,-21.404743194580078,circulation_proxy,8.485923767089844,-7.215603828430176,5.693816184997559,N,1.225,8.536285400390625,-2.415998697280884,2.844791889190674,7.485376834869385,-0.07924289256334305,-0.001177891273982823,m/s,-0.16013817489147186,-1.0223186016082764,-0.6956790685653687,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,1,0.24999992549419403,0.09896694123744965,-1.1198831796646118,-27.17770767211914,circulation_proxy,15.661383628845215,-4.993258953094482,4.912002086639404,N,1.225,14.94827938079834,-4.496466636657715,4.521442890167236,2.100036144256592,1.5832322835922241,-1.8204842805862427,m/s,-0.12245860695838928,-0.9430657625198364,-0.7414359450340271,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,2,0.41666659712791443,0.09896700829267502,-0.7448143362998962,-31.801048278808594,circulation_proxy,19.05463981628418,-6.171412944793701,5.1715898513793945,N,1.225,18.509212493896484,-5.926177024841309,4.977444648742676,1.5463171005249023,1.9508764743804932,-1.8799278736114502,m/s,-0.0847790390253067,-0.8638129234313965,-0.7871928811073303,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,3,0.5833332538604736,0.09896691888570786,-0.5849884152412415,-35.591705322265625,circulation_proxy,21.617900848388672,-7.368461608886719,5.1008830070495605,N,1.225,21.162940979003906,-7.189486026763916,4.974627494812012,1.3604445457458496,2.1910223960876465,-1.7964204549789429,m/s,-0.047099463641643524,-0.7845600843429565,-0.8329498171806335,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,4,0.75,0.09896700829267502,-0.5161318778991699,-39.0216064453125,circulation_proxy,23.842540740966797,-8.573444366455078,4.803474426269531,N,1.225,23.427745819091797,-8.418073654174805,4.711654186248779,1.258152961730957,2.378615379333496,-1.6587648391723633,m/s,-0.00941989291459322,-0.7053072452545166,-0.878706693649292,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,5,0.9166666865348816,0.09896691143512726,-0.4827762246131897,-42.266632080078125,circulation_proxy,25.895402908325195,-9.826701164245605,4.34006404876709,N,1.225,25.513174057006836,-9.667985916137695,4.264062881469727,1.3048396110534668,2.453705310821533,-1.4382210969924927,m/s,0.028259679675102234,-0.6260544061660767,-0.9244636297225952,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,-1.3330210447311401,1.3330210447311401,-1.454651117324829,-1.2117726802825928,0,0.08333323895931244,0.09711325913667679,-3.496277332305908,-28.11858367919922,circulation_proxy,10.749138832092285,-10.179763793945312,7.035514831542969,N,1.225,11.223470687866211,-2.622406005859375,2.848702907562256,8.865096092224121,-0.3831687271595001,0.31270894408226013,m/s,-0.12907853722572327,-1.1361762285232544,-0.8923752307891846,0.8610877949073384
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,-1.3330210447311401,1.3330210447311401,-1.454651117324829,-1.2117726802825928,1,0.2500000596046448,0.09711326658725739,-1.5938451290130615,-36.60327911376953,circulation_proxy,20.90747833251953,-5.648879051208496,5.1422438621521,N,1.225,20.08106231689453,-4.943672180175781,4.661027908325195,1.9778094291687012,1.2884334325790405,-1.5084292888641357,m/s,-0.09870711714029312,-1.0562925338745117,-0.9384964108467102,0.8610877949073384
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,-1.3330210447311401,1.3330210447311401,-1.454651117324829,-1.2117726802825928,2,0.4166666567325592,0.09711331874132156,-1.108383059501648,-43.54174041748047,circulation_proxy,26.017383575439453,-6.906726837158203,5.513458728790283,N,1.225,25.34461212158203,-6.584715366363525,5.284780025482178,1.310821533203125,1.5989861488342285,-1.6048314571380615,m/s,-0.06833569705486298,-0.9764088988304138,-0.9846175312995911,0.8610877949073384
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,-1.3330210447311401,1.3330210447311401,-1.454651117324829,-1.2117726802825928,3,0.5833333730697632,0.09711326658725739,-0.8654570579528809,-49.12821960449219,circulation_proxy,29.867830276489258,-8.237839698791504,5.559673309326172,N,1.225,29.308834075927734,-8.017376899719238,5.413862705230713,1.11039400100708,1.789680004119873,-1.5509843826293945,m/s,-0.03796427696943283,-0.8965252041816711,-1.0307387113571167,0.8610877949073384
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,-1.3330210447311401,1.3330210447311401,-1.454651117324829,-1.2117726802825928,4,0.7500000596046448,0.09711326658725739,-0.6980529427528381,-53.66942596435547,circulation_proxy,32.937320709228516,-9.508688926696777,5.327319145202637,N,1.225,32.475730895996094,-9.331021308898926,5.2240214347839355,1.0594077110290527,1.9192320108413696,-1.4330297708511353,m/s,-0.007592855487018824,-0.8166415095329285,-1.0768598318099976,0.8610877949073384
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,-1.3330210447311401,1.3330210447311401,-1.454651117324829,-1.2117726802825928,5,0.9166666865348816,0.09711326658725739,-0.5138791799545288,-56.93680191040039,circulation_proxy,35.20473861694336,-10.651504516601562,4.854024887084961,N,1.225,34.87232208251953,-10.500222206115723,4.777099609375,1.1824026107788086,1.9605146646499634,-1.2539197206497192,m/s,0.022778566926717758,-0.7367578148841858,-1.1229809522628784,0.8610877949073384
