time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z
0.06,10,-5.833333,1.5,0.0,6.9822917,0.0037432688,0.0004984122,0.0010956758633255959,-0.0003277168143540621,-3.153344732709229e-05
0.06,10,-5.6666665,1.5,0.0,6.981298,0.0039330195,0.00052197836,0.0008965181186795235,-0.0005752234719693661,-8.684615750098601e-06
0.06,10,-5.5,1.5,0.0,6.9802313,0.004126638,0.0005447902,0.0011153928935527802,-0.0003249113215133548,-7.593782356707379e-05
0.06,10,-5.333333,1.5,0.0,6.9790845,0.004321783,0.0005658716,0.0014607645571231842,-0.0007850878173485398,0.00014522613491863012
0.06,10,-5.166667,1.5,0.0,6.97785,0.004515269,0.0005839132,0.001298222690820694,-0.0007396980654448271,8.475657341477927e-05
0.06,10,-5.0,1.5,0.0,6.976519,0.0047032633,0.0005971715,0.0019076298922300339,-0.000720159849151969,0.00013446813682094216
0.06,10,-4.8333335,1.5,0.0,6.975081,0.0048806476,0.00060402974,0.001846523955464363,-0.0013784891925752163,5.540502706935513e-05
0.06,10,-4.666667,1.5,0.0,6.973524,0.0050385073,0.00060086325,0.002219509333372116,-0.0013473103754222393,6.52992821414955e-05
0.06,10,-4.5,1.5,0.0,6.9718323,0.0051723323,0.00058560073,0.0024888329207897186,-0.0010589167941361666,-0.0003024586767423898
0.06,10,-4.333333,1.5,0.0,6.969989,0.0052686674,0.00055347383,0.0030707158148288727,-0.0017316564917564392,0.0001366547221550718
0.06,10,-4.1666665,1.5,0.0,6.9679728,0.0053124987,0.0004984215,0.0034177135676145554,-0.00170150026679039,-5.595647962763906e-07
0.06,10,-4.0,1.5,0.0,6.965758,0.005287198,0.00041297823,0.002958318218588829,-0.0018983986228704453,-1.527171116322279e-05
0.06,10,-3.833333,1.5,0.0,6.9633126,0.0051629366,0.00028830767,0.003303762525320053,-0.002267101313918829,-0.0002564724418334663
0.06,10,-3.666667,1.5,0.0,6.9605956,0.0049095675,0.00011219084,0.003360290080308914,-0.0021238047629594803,-0.00012489239452406764
0.06,10,-3.5,1.5,0.0,6.9575543,0.004482056,-0.00013366342,0.005051158368587494,-0.0014957059174776077,5.3962692618370056e-05
0.06,10,-3.333334,1.5,0.0,6.95412,0.0038227404,-0.00047091395,0.0046357661485672,-0.0031074220314621925,3.712560283020139e-05
0.06,10,-3.166667,1.5,0.0,6.950207,0.0028637,-0.00092433393,0.006356839090585709,-0.0030142581090331078,-0.000121568504255265
0.06,10,-3.0,1.5,0.0,6.9456854,0.001495681,-0.00153929,0.006487660109996796,-0.004362642765045166,1.5225959941744804e-05
0.06,10,-2.833333,1.5,0.0,6.9403944,-0.00040442537,-0.002360925,0.006377745419740677,-0.0034910310059785843,-9.844789747148752e-05
0.06,10,-2.666666,1.5,0.0,6.934105,-0.0030041728,-0.003448546,0.008204728364944458,-0.004387497901916504,-0.00015408825129270554
0.06,10,-2.5,1.5,0.0,6.926492,-0.006537583,-0.0048859715,0.011092975735664368,-0.004083257168531418,-5.067931488156319e-05
0.06,10,-2.333333,1.5,0.0,6.9170976,-0.011310695,-0.0067956,0.00892651081085205,-0.006913613528013229,-0.00041171559132635593
0.06,10,-2.166667,1.5,0.0,6.90525,-0.017740056,-0.009312034,0.013897210359573364,-0.005287472158670425,-0.0001653130166232586
0.06,10,-2.0,1.5,0.0,6.88996,-0.02639438,-0.012668997,0.014673575758934021,-0.007238052785396576,-1.5198253095149994e-05
0.06,10,-1.833334,1.5,0.0,6.8697233,-0.038056687,-0.017003715,0.015086248517036438,-0.007584989070892334,-0.0006076465360820293
0.06,10,-1.666667,1.5,0.0,6.842239,-0.053814303,-0.022590607,0.02130357176065445,-0.006543613970279694,-0.00023536663502454758
