cloud,sigma_over_ell,method,horizon,nsteps,dt,scaled_rms_error,observed_order_from_previous,rhs_evaluations_per_step
jitter_a,0.6,symmetric_strang,0.4,64,0.00625,1.6441866848586773e-09,1.9999512704247004,9
jitter_a,1.0,coupled_ssprk3,0.4,8,0.05,9.337596659533511e-11,,3
jitter_a,1.0,coupled_ssprk3,0.4,16,0.025,1.1673557165955086e-11,2.999807026229057,3
jitter_a,1.0,coupled_ssprk3,0.4,32,0.0125,1.459253169634833e-12,2.9999421390191814,3
jitter_a,1.0,coupled_ssprk3,0.4,64,0.00625,1.8235668896104724e-13,3.000395177150101,3
jitter_a,1.0,historical_lie,0.4,8,0.05,2.0715704065646713e-05,,6
jitter_a,1.0,historical_lie,0.4,16,0.025,1.0357702253874026e-05,1.000020862135229,6
jitter_a,1.0,historical_lie,0.4,32,0.0125,5.1788145206829385e-06,1.000010197599153,6
jitter_a,1.0,historical_lie,0.4,64,0.00625,2.589398213656065e-06,1.0000050403932854,6
jitter_a,1.0,symmetric_strang,0.4,8,0.05,1.838534760540685e-08,,9
jitter_a,1.0,symmetric_strang,0.4,16,0.025,4.596106406447728e-09,2.000072349394794,9
jitter_a,1.0,symmetric_strang,0.4,32,0.0125,1.1489981281579662e-09,2.000035751147761,9
jitter_a,1.0,symmetric_strang,0.4,64,0.00625,2.872459851238102e-10,2.000017814299716,9
jitter_a,1.5,coupled_ssprk3,0.4,8,0.05,3.073677839419142e-12,,3
jitter_a,1.5,coupled_ssprk3,0.4,16,0.025,3.8418689968841714e-13,3.0000857293519854,3
jitter_a,1.5,coupled_ssprk3,0.4,32,0.0125,4.799591202135351e-14,3.000824888846866,3
jitter_a,1.5,coupled_ssprk3,0.4,64,0.00625,6.036661435438738e-15,2.9910887363534244,3
jitter_a,1.5,historical_lie,0.4,8,0.05,3.518844922622138e-06,,6
jitter_a,1.5,historical_lie,0.4,16,0.025,1.7594233194742335e-06,0.9999992963216812,6
jitter_a,1.5,historical_lie,0.4,32,0.0125,8.797119218638636e-07,0.9999995701217584,6
jitter_a,1.5,historical_lie,0.4,64,0.00625,4.3985603237210986e-07,0.9999997656815153,6
jitter_a,1.5,symmetric_strang,0.4,8,0.05,1.5350383863526988e-09,,9
jitter_a,1.5,symmetric_strang,0.4,16,0.025,3.837551893194523e-10,2.000016568657299,9
jitter_a,1.5,symmetric_strang,0.4,32,0.0125,9.593824251259066e-11,2.000008343177779,9
jitter_a,1.5,symmetric_strang,0.4,64,0.00625,2.3984463658127648e-11,2.000005832854392,9
jitter_b,0.6,coupled_ssprk3,0.4,8,0.05,1.298633024924816e-09,,3
jitter_b,0.6,coupled_ssprk3,0.4,16,0.025,1.6229337968647792e-10,3.000317748032782,3
jitter_b,0.6,coupled_ssprk3,0.4,32,0.0125,2.0284311878453497e-11,3.000167883551177,3
jitter_b,0.6,coupled_ssprk3,0.4,64,0.00625,2.535384261993149e-12,3.0000880383413473,3
jitter_b,0.6,historical_lie,0.4,8,0.05,6.712154186590406e-05,,6
jitter_b,0.6,historical_lie,0.4,16,0.025,3.356749787955896e-05,0.9997108540793825,6
jitter_b,0.6,historical_lie,0.4,32,0.0125,1.6785441108036046e-05,0.9998545521800978,6
jitter_b,0.6,historical_lie,0.4,64,0.00625,8.39314490646106e-06,0.9999270563478863,6
jitter_b,0.6,symmetric_strang,0.4,8,0.05,9.998991398162409e-08,,9
jitter_b,0.6,symmetric_strang,0.4,16,0.025,2.4996900866846702e-08,2.0000333374218733,9
jitter_b,0.6,symmetric_strang,0.4,32,0.0125,6.249177261134949e-09,2.000011071058537,9
jitter_b,0.6,symmetric_strang,0.4,64,0.00625,1.5622898756640856e-09,2.0000040997565525,9
jitter_b,1.0,coupled_ssprk3,0.4,8,0.05,8.514638713897421e-11,,3
jitter_b,1.0,coupled_ssprk3,0.4,16,0.025,1.0642143882359005e-11,3.0001565018805074,3
jitter_b,1.0,coupled_ssprk3,0.4,32,0.0125,1.330198816422544e-12,3.000075016601639,3
jitter_b,1.0,coupled_ssprk3,0.4,64,0.00625,1.6628729325541195e-13,2.9998920570994225,3
jitter_b,1.0,historical_lie,0.4,8,0.05,1.9441286608636346e-05,,6
jitter_b,1.0,historical_lie,0.4,16,0.025,9.720742156418603e-06,0.9999853288814874,6
jitter_b,1.0,historical_lie,0.4,32,0.0125,4.860396522667031e-06,0.9999924473880065,6
jitter_b,1.0,historical_lie,0.4,64,0.00625,2.4302047138626684e-06,0.9999961694403292,6
jitter_b,1.0,symmetric_strang,0.4,8,0.05,1.75807188837059e-08,,9
jitter_b,1.0,symmetric_strang,0.4,16,0.025,4.395084970573202e-09,2.0000311016492884,9
jitter_b,1.0,symmetric_strang,0.4,32,0.0125,1.0987598305491343e-09,2.0000149842446926,9
jitter_b,1.0,symmetric_strang,0.4,64,0.00625,2.746885637855226e-10,2.000007320646676,9
jitter_b,1.5,coupled_ssprk3,0.4,8,0.05,2.8375395994935137e-12,,3
jitter_b,1.5,coupled_ssprk3,0.4,16,0.025,3.5469019383200517e-13,3.00000917663004,3
jitter_b,1.5,coupled_ssprk3,0.4,32,0.0125,4.435338130523534e-14,2.999443445930525,3
jitter_b,1.5,coupled_ssprk3,0.4,64,0.00625,5.6226546226140475e-15,2.9797207577201235,3
jitter_b,1.5,historical_lie,0.4,8,0.05,3.3615841359587615e-06,,6
jitter_b,1.5,historical_lie,0.4,16,0.025,1.6807524221390956e-06,1.0000340301057102,6
jitter_b,1.5,historical_lie,0.4,32,0.0125,8.403663382732939e-07,1.0000169489779396,6
jitter_b,1.5,historical_lie,0.4,64,0.00625,4.2018070572320415e-07,1.000008458132159,6
jitter_b,1.5,symmetric_strang,0.4,8,0.05,1.497033143940346e-09,,9
jitter_b,1.5,symmetric_strang,0.4,16,0.025,3.742442875261222e-10,2.000053962425902,9
jitter_b,1.5,symmetric_strang,0.4,32,0.0125,9.355925049555246e-11,2.0000280857202983,9
jitter_b,1.5,symmetric_strang,0.4,64,0.00625,2.338957266632691e-11,2.0000148007752316,9
cluster_void,0.6,coupled_ssprk3,0.4,8,0.05,9.252064491351234e-09,,3
cluster_void,0.6,coupled_ssprk3,0.4,16,0.025,1.1581608881817144e-09,2.997939640241125,3
cluster_void,0.6,coupled_ssprk3,0.4,32,0.0125,1.4487186783670998e-10,2.9989863067670917,3
cluster_void,0.6,coupled_ssprk3,0.4,64,0.00625,1.8115225726687594e-11,2.999502782298359,3
cluster_void,0.6,historical_lie,0.4,8,0.05,0.00017375886785338934,,6
cluster_void,0.6,historical_lie,0.4,16,0.025,8.685493805740586e-05,1.0004068287579,6
cluster_void,0.6,historical_lie,0.4,32,0.0125,4.3421571597974536e-05,1.000195930640512,6
cluster_void,0.6,historical_lie,0.4,64,0.00625,2.170933975549526e-05,1.000096093677711,6
cluster_void,0.6,symmetric_strang,0.4,8,0.05,4.6024958994825037e-07,,9
cluster_void,0.6,symmetric_strang,0.4,16,0.025,1.1503740784573382e-07,2.000313363426868,9
cluster_void,0.6,symmetric_strang,0.4,32,0.0125,2.8756520187137815e-08,2.0001420611940297,9
cluster_void,0.6,symmetric_strang,0.4,64,0.00625,7.188794217400341e-09,2.000067394900436,9
cluster_void,1.0,coupled_ssprk3,0.4,8,0.05,1.5807925875643504e-10,,3
cluster_void,1.0,coupled_ssprk3,0.4,16,0.025,1.9766011962367927e-11,2.9995543632092265,3
cluster_void,1.0,coupled_ssprk3,0.4,32,0.0125,2.4711232928820373e-12,2.999782920224568,3
cluster_void,1.0,coupled_ssprk3,0.4,64,0.00625,3.088766238215634e-13,3.000064398303024,3
cluster_void,1.0,historical_lie,0.4,8,0.05,2.6562921308770303e-05,,6
cluster_void,1.0,historical_lie,0.4,16,0.025,1.328208683004547e-05,0.9999319834430574,6
cluster_void,1.0,historical_lie,0.4,32,0.0125,6.641203566825923e-06,0.9999652091679103,6
cluster_void,1.0,historical_lie,0.4,64,0.00625,3.320642272143931e-06,0.9999824090514086,6
cluster_void,1.0,symmetric_strang,0.4,8,0.05,3.0219612521111574e-08,,9
cluster_void,1.0,symmetric_strang,0.4,16,0.025,7.554500175304683e-09,2.000076950906655,9
cluster_void,1.0,symmetric_strang,0.4,32,0.0125,1.8885774644356675e-09,2.00003634570854,9
cluster_void,1.0,symmetric_strang,0.4,64,0.00625,4.721386013059335e-10,2.0000176151703735,9
cluster_void,1.5,coupled_ssprk3,0.4,8,0.05,1.7278318527124545e-12,,3
cluster_void,1.5,coupled_ssprk3,0.4,16,0.025,2.159408342722154e-13,3.0002548387128924,3
cluster_void,1.5,coupled_ssprk3,0.4,32,0.0125,2.6937423186483282e-14,3.0029523264605245,3
cluster_void,1.5,coupled_ssprk3,0.4,64,0.00625,3.3859378018807714e-15,2.9919844733391723,3
cluster_void,1.5,historical_lie,0.4,8,0.05,2.6494527820274005e-06,,6
cluster_void,1.5,historical_lie,0.4,16,0.025,1.324760636341552e-06,0.9999627055621273,6
cluster_void,1.5,historical_lie,0.4,32,0.0125,6.623889213803602e-07,0.9999812619323692,6
cluster_void,1.5,historical_lie,0.4,64,0.00625,3.3119661672529595e-07,0.9999906082636809,6
cluster_void,1.5,symmetric_strang,0.4,8,0.05,1.082169125014252e-09,,9
cluster_void,1.5,symmetric_strang,0.4,16,0.025,2.7054014484906575e-10,2.0000113926456486,9
cluster_void,1.5,symmetric_strang,0.4,32,0.0125,6.763474833286017e-11,2.0000061406498606,9
cluster_void,1.5,symmetric_strang,0.4,64,0.00625,1.690866546886402e-11,2.0000018441962295,9
