rho,absolute_operator_error,relative_operator_error,analytic_operator_norm
0.0,1.1931645498923201e-13,2.3995061089687513e-12,0.049725422470589704
0.0001,1.197229350758302e-13,2.4076806157851838e-12,0.04972542217223717
0.05,3.8824765539154013e-10,7.819549053340917e-09,0.049650900933431774
0.199,1.5288225796031873e-06,3.148276036723382e-05,0.048560626888178894
0.201,9.272119138501729e-07,1.910351821127933e-05,0.04853618603616965
0.5,2.4458192144316247e-08,5.702326757359156e-07,0.042891600543149604
1.0,4.0476713752556676e-08,1.432055276898333e-06,0.028264770505384805
3.0,4.716633088079228e-10,9.67377719651361e-08,0.004875689187651627
