cloud,n,sigma_over_volume_spacing,nearest_neighbor_min,nearest_neighbor_median,sigma_over_nn_median,sampled_fill_distance_box,separation_radius,sampled_mesh_ratio_box,coverage_mean,coverage_min,coverage_max,zeroth_moment_abs_rms,first_moment_norm_rms,local_anisotropy_median,local_anisotropy_max,moment_matrix_condition_median,moment_matrix_condition_max
regular,27,0.6,1.0,1.0,0.6,0.8660254037844386,0.5,1.7320508075688772,1.055846861386868,0.9963911636907399,1.1817607035608082,0.07462941958261475,0.14306209247757537,1.373903942216486,1.4159715649284537,1.8876120424380012,2.004975472685934
regular,27,1.0,1.0,1.0,1.0,0.8660254037844386,0.5,1.7320508075688772,0.6094052956223629,0.4783527227215467,0.939168201978489,0.4075823340999843,0.23478238028126855,1.3485486056733522,1.4477648641866834,1.8185833418635426,2.096023101973486
regular,27,1.5,1.0,1.0,1.5,0.8660254037844386,0.5,1.7320508075688772,0.4053222254781848,0.3156287561462737,0.6326365793775646,0.6000249077513545,0.19261412824275498,1.5313984924692812,1.7371735705178637,2.3451813427371873,3.017772014105783
jitter_a,27,0.6,0.714076008223453,0.890675770707938,0.6736458088706068,0.7751973854308656,0.3570380041117265,2.1711901156278204,1.113851820303097,0.9527718303865546,1.3551555082109314,0.14719005548345881,0.19444226811231502,1.4981311140909304,2.4173292842817653,2.2443968350073322,5.843480868646191
jitter_a,27,1.0,0.714076008223453,0.890675770707938,1.1227430147843447,0.7751973854308656,0.3570380041117265,2.1711901156278204,0.6429917241142031,0.43690648743209076,1.0107697821308552,0.38332163929838203,0.25128756225117,1.4108400065457682,1.7900811871965472,1.9904695240700632,3.204390656755
jitter_a,27,1.5,0.714076008223453,0.890675770707938,1.684114522176517,0.7751973854308656,0.3570380041117265,2.1711901156278204,0.4213582121889607,0.30115888732275303,0.6472033956042527,0.5851947718118305,0.20005481435235942,1.5854317713852097,1.9683569954128721,2.513593901717644,3.874429261390789
jitter_b,27,0.6,0.7585895257935852,0.8174589997568816,0.733981765664632,0.7909874133200294,0.3792947628967926,2.0854161214328704,1.0941441391855002,0.9008995203023965,1.2275467133036781,0.12732158592314868,0.19135081949469201,1.5755443755101013,3.1216566272965753,2.4823400792015153,9.744740098744629
jitter_b,27,1.0,0.7585895257935852,0.8174589997568816,1.2233029427743867,0.7909874133200294,0.3792947628967926,2.0854161214328704,0.6144702176399462,0.4082918792759189,0.9449663269412975,0.405743634940742,0.23453639563719242,1.3686303614905724,1.7868387292078867,1.8731490663938146,3.192792644197255
jitter_b,27,1.5,0.7585895257935852,0.8174589997568816,1.8349544141615801,0.7909874133200294,0.3792947628967926,2.0854161214328704,0.40507800848637326,0.28284057658373607,0.6273120329675455,0.6006372043386455,0.19141450559347825,1.57102719443925,2.0017202746892364,2.468126445667661,4.006884058101953
cluster_void,27,0.6,0.40571372363726277,0.44043581752113914,1.3622870260119169,0.8926986646885439,0.20285686181863138,4.400633316937934,2.2136190733385357,1.5084965795797307,2.9949707212536567,1.2907534825234843,0.7891578063039861,1.4511420058981919,1.7076273426362103,2.1058131212822278,2.9159911413188055
cluster_void,27,1.0,0.40571372363726277,0.44043581752113914,2.2704783766865284,0.8926986646885439,0.20285686181863138,4.400633316937934,1.1653347572339137,0.79834805634706,1.7367541031100477,0.2867872257165887,0.4935023472440294,1.7910987340548823,1.9325051078405469,3.208034675133002,3.734575991829804
cluster_void,27,1.5,0.40571372363726277,0.44043581752113914,3.4057175650297924,0.8926986646885439,0.20285686181863138,4.400633316937934,0.6316873358164129,0.49195578580933347,0.866042425644715,0.38099562874828097,0.2766610742620294,2.3876986365370176,2.8286521205064106,5.701104778920734,8.001272818845413
