cloud,sigma_over_ell,method,dt,sampled_rhs_log_norm_max,sampled_rhs_spectral_abscissa_max,sampled_nonnormal_gap_max,sampled_exp_trapezoid_log_norm,refined_flow_tangent_smax_estimate,numerical_tangent_product_smax_estimate,numerical_over_refined_tangent_estimate,max_one_step_tangent_smax_estimate,product_direct_relative_difference_estimate,final_state_norm
regular,0.6,coupled_ssprk3,0.049999999999999996,0.04590217343236351,0.029723787921302664,0.01746739008058552,1.0138387915420704,1.0138386331632872,1.0138386329453404,0.9999999997850282,1.0022969969231819,8.057141626588626e-10,5.17452545253597
regular,0.6,historical_lie,0.049999999999999996,0.04590217343236351,0.029723787921302664,0.01746739008058552,1.0138387915420704,1.0138386331632872,1.0138430164828158,1.0000043234883593,1.002297720943289,7.497226807651228e-10,5.174525019211014
regular,0.6,symmetric_strang,0.049999999999999996,0.04590217343236351,0.029723787921302664,0.01746739008058552,1.0138387915420704,1.0138386331632872,1.013838633051059,0.9999999998893037,1.002296996960414,1.0531020085189925e-09,5.174525452530294
regular,1.5,coupled_ssprk3,0.049999999999999996,0.01921349513959112,0.0128581342939308,0.006355436006711885,1.0057795812843242,1.005779559024111,1.0057795588588927,0.9999999998357311,1.0009611052246896,8.112575726673151e-10,5.174517891801724
regular,1.5,historical_lie,0.049999999999999996,0.01921349513959112,0.0128581342939308,0.006355436006711885,1.0057795812843242,1.005779559024111,1.0057793044087924,0.9999997468477896,1.0009610630549648,8.615461700267268e-10,5.174517789134632
regular,1.5,symmetric_strang,0.049999999999999996,0.01921349513959112,0.0128581342939308,0.006355436006711885,1.0057795812843242,1.005779559024111,1.0057795588670218,0.9999999998438135,1.0009611052083485,1.0601649122941246e-09,5.174517891801143
cluster_void,0.6,coupled_ssprk3,0.049999999999999996,0.1293300606000089,0.07748388194470957,0.052545591275935694,1.0395482369502258,1.0395443081094757,1.0395443072054533,0.9999999991303666,1.006487053228082,6.436364075746473e-10,4.078217395664914
cluster_void,0.6,historical_lie,0.049999999999999996,0.1293300606000089,0.07748388194470957,0.052545591275935694,1.0395482369502258,1.0395443081094757,1.03960220222965,1.0000556918254688,1.0064963435225505,7.150126685624682e-10,4.0782135544864655
cluster_void,0.6,symmetric_strang,0.049999999999999996,0.1293300606000089,0.07748388194470957,0.052545591275935694,1.0395482369502258,1.0395443081094757,1.039544365764735,1.0000000554620507,1.0064870627992433,8.518853580317124e-10,4.078217393421157
cluster_void,1.5,coupled_ssprk3,0.049999999999999996,0.021650190340009316,0.009380270251210536,0.01226992008879878,1.0065109512963353,1.00651093105421,1.0065109310357607,0.9999999999816701,1.0010829505251646,7.300769986613377e-10,4.076477589881967
cluster_void,1.5,historical_lie,0.049999999999999996,0.021650190340009316,0.009380270251210536,0.01226992008879878,1.0065109512963353,1.00651093105421,1.0065110051682375,1.0000000736345978,1.0010829630900462,6.623761875391122e-10,4.076477540887462
cluster_void,1.5,symmetric_strang,0.049999999999999996,0.021650190340009316,0.009380270251210536,0.01226992008879878,1.0065109512963353,1.00651093105421,1.006510931196759,1.000000000141627,1.0010829505362073,1.006610061749515e-09,4.07647758985136
