time,step,total_kinetic_energy,energy_measurement,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,pedrizzetti_cumulative_vortex_strength_transfer_x,pedrizzetti_cumulative_vortex_strength_transfer_y,pedrizzetti_cumulative_vortex_strength_transfer_z,pedrizzetti_cumulative_linear_impulse_transfer_x,pedrizzetti_cumulative_linear_impulse_transfer_y,pedrizzetti_cumulative_linear_impulse_transfer_z,pedrizzetti_cumulative_angular_impulse_transfer_x,pedrizzetti_cumulative_angular_impulse_transfer_y,pedrizzetti_cumulative_angular_impulse_transfer_z,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0,0,26.885298164886883,unbounded_energy,1953.7062264461165,1255.253462643897,0.0,free_space_fft_energy_backward_difference,-2.0459008440617064,5.726139110576111e-17,39.478417539945184,0.0,0.0,0.0,19.802337720938574,3.024924061234558e-17,4.03780605956125e-18,-9.087677628146056e-27,-1.0741802603575994e-16,8.854573616501103e-17,16104,0.0231891106814146,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0599999986588954,0.9356823907910908,1.047809701145119,2.2445886291170657e-07,0.0557880317603528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,,,,
0.075,10,26.700021277932585,unbounded_energy,1879.8027434061437,1222.7173042500026,-2.470358492723979,free_space_fft_energy_backward_difference,-1.9685139153843867,-1.9223345771855655e-05,39.47579899464185,1.0776252993173663e-05,4.778948803095539e-05,-5.3747973578859715e-05,19.803177958113995,-9.495283249354592e-07,-2.5466271879697175e-05,-4.127346765897792e-06,-3.290069008478509e-05,3.590088486642642e-05,16104,0.0237504802644252,0.0625632405281066,0.0625632405281066,0.0625632405281066,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0625632405281066,0.8036341939267424,0.9664979358513616,0.0002258017159005,0.045044096333356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.2089662297070026,0.0,0.2089662297070026,0.1317573618845262,0.0237504802644252,160.0417583995124
0.15,20,26.521288925681645,unbounded_energy,1813.347230493524,1193.842374324856,-2.383098030012529,free_space_fft_energy_backward_difference,-1.8989254323400728,-2.286861120613892e-05,39.44403176004616,1.005263191760161e-05,4.267334713047369e-05,-6.252443601664423e-05,19.80364823218973,-1.143788120242861e-05,-3.235027139698522e-05,-5.212942927531605e-06,-4.8979418460009245e-05,5.61432809571085e-05,16104,0.0242623258382082,0.0650255605578422,0.0650255605578422,0.0650255605578422,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0650255605578422,0.7427065485621908,1.1512216698776934,0.0002628573073267,0.0420344475174423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1996577131748199,0.0,0.1996577131748199,0.1248433272943034,0.0242623258382082,163.49081141844965
0.225,30,26.357395639290548,unbounded_energy,1748.4663787250668,1165.2115838213178,-2.1852438185479643,free_space_fft_energy_backward_difference,-1.8309861715022973,4.551351169658628e-05,39.39789763606829,5.0120341058048625e-06,3.570852706051564e-05,-7.234981039253106e-05,19.80414413995306,4.60885329314007e-07,-3.4420088989443356e-05,-3.3114039961006117e-06,-5.337854111045649e-05,6.932144988799476e-05,16104,0.0247534662485122,0.0673979818820953,0.0673979669809341,0.0673979818820953,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0673979818820953,0.7106113848322508,1.084220228891153,0.0002778571530912,0.0395882591939183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1940286206826567,0.0,0.1940286206826567,0.1228713833228989,0.0247534662485122,166.8003434367919
0.3,40,26.203212386560807,unbounded_energy,1691.825588171687,1139.0456506040296,-2.055776703063212,free_space_fft_energy_backward_difference,-1.7716680366875623,-0.0001338987954557,39.32872178956772,1.4968191010829952e-06,4.797720509489012e-05,-6.805394116434112e-05,19.80461264985435,6.665719243519565e-06,-4.215500387237454e-05,-5.542831834183887e-06,-6.017557379576724e-05,6.597875344012925e-05,16104,0.0250788126140832,0.0696896836161613,0.0696896836161613,0.0696896836161613,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0696896836161613,0.7028326983590657,1.147708065595628,0.0003299497194671,0.0393271342345207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1999707506597042,0.0,0.1999707506597042,0.1230651050100876,0.0250788126140832,168.992678238243
0.375,50,26.059117960197295,unbounded_energy,1636.5696263950974,1111.777517472589,-1.9212590181801656,free_space_fft_energy_backward_difference,-1.7138085591621453,8.046123948748265e-05,39.2452763867643,7.070052240160858e-06,7.331178130942206e-05,-6.86344306083924e-05,19.80504688672455,3.4204093819981724e-05,-4.434699709923984e-05,-7.545815887697798e-06,-8.619529522020043e-05,9.464673375765835e-05,16104,0.0259010605514049,0.0719083920121193,0.0719083920121193,0.0719083920121193,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0719083920121193,0.6784297172752352,1.2152267986187797,0.0004299504348837,0.0367910434156273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.186336425319314,0.0,0.186336425319314,0.1168163307203344,0.0259010605514049,174.53336643756498
0.45,60,25.92034486331237,unbounded_energy,1581.9566075728512,1086.6850035158634,-1.8503079584656723,free_space_fft_energy_backward_difference,-1.6566173440839882,-8.35321568491021e-05,39.129646642570634,9.515250785250252e-06,5.743034762009658e-05,-4.796937965824964e-05,19.805485730298606,5.4805640880878194e-05,-5.0290289946583935e-05,-1.0085921516804402e-05,-0.0001014583124906,0.0001004340457351,16104,0.0257480815052986,0.0740606859326362,0.0740606859326362,0.0740606859326362,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0740606859326362,0.6423189088594486,1.0383934120355192,0.0004997150314385,0.0418772503803815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1805782395601272,0.0,0.1805782395601272,0.1133015013801795,0.0257480815052986,173.5025226287427
0.525,70,25.785176830243273,unbounded_energy,1530.9363845651012,1060.4113418549302,-1.8022404409212809,free_space_fft_energy_backward_difference,-1.6031868143417445,0.0001076054359632,38.99666624373152,1.589929495021794e-05,1.8351222389967337e-05,-9.134084696608286e-06,19.805598694039272,4.6975882869115506e-05,-4.412559920625704e-05,-1.302752624934642e-05,-0.0001036721115033,5.904928570484528e-05,16104,0.0267753060907125,0.0761521384119987,0.0761521384119987,0.0761521384119987,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0761521384119987,0.6130569388550556,1.0054895997226323,0.0006735984957878,0.038293472968869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1833858069777488,0.0,0.1833858069777488,0.1122480151804436,0.0267753060907125,180.42443861067343
0.6,80,25.65885032918229,unbounded_energy,1485.698958201603,1035.336345957812,-1.684353347479829,free_space_fft_energy_backward_difference,-1.5558177883921285,2.722940651395117e-05,38.83585877752617,1.763377108434742e-05,-7.147546424723927e-07,-2.283045574674737e-07,19.805891083752773,3.1557664536286536e-05,-6.71497066053043e-05,-1.5106186632508072e-05,-9.88813156083406e-05,4.137744643827063e-05,16104,0.0271051041781902,0.0781876668334007,0.0781876742839813,0.0781876668334007,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0781876668334007,0.6047513988673805,0.96971229052641,0.0007709651173611,0.0321902681410918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1800844949483871,0.0,0.1800844949483871,0.1098380376369012,0.0271051041781902,182.64677118033453
0.675,90,25.537443513611063,unbounded_energy,1441.784291465443,1011.970608302064,-1.6187575409495958,free_space_fft_energy_backward_difference,-1.509830472404596,-0.0001264972069462,38.635996878813344,1.39099534674094e-05,2.391936194445776e-05,-4.993823926879859e-07,19.806006334859067,1.9636021736653967e-05,-8.295660079382769e-05,-1.8636893257214065e-05,-0.0001147759478958,2.3892149944996765e-05,16104,0.0275212917476892,0.0801715105772018,0.0801715105772018,0.0801715105772018,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0801715105772018,0.591159176883065,1.069818424137327,0.0008573830432158,0.0360930687586669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1711124485731124,0.0,0.1711124485731124,0.1079163386383511,0.0275212917476892,185.45123617241345
0.75,100,25.42468969603891,unbounded_energy,1397.2300514483766,987.631635085702,-1.5033842342954065,free_space_fft_energy_backward_difference,-1.4631715320323035,-1.543190954032813e-05,38.4170257904812,2.7883743437057257e-05,5.163533271182463e-05,-1.08510149871917e-05,19.80588219491037,4.830488720050356e-05,-6.968821645944114e-05,-2.4740545265288616e-05,-0.0001589390100673,4.604621649874045e-05,16104,0.0277975909411907,0.0821074619889259,0.0821074694395065,0.0821074619889259,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0821074619889259,0.57711267492439,1.150288958284038,0.0009989804210277,0.034046486111669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1761682936549186,0.0,0.1761682936549186,0.1081161547002057,0.0277975909411907,187.31306836612185
0.825,110,25.31318617446795,unbounded_energy,1352.022876027125,962.0659198787235,-1.4867136209461298,free_space_fft_energy_backward_difference,-1.4158310693926173,1.853972302870658e-06,38.175259070336494,4.1465034777924325e-05,6.946620146563998e-05,1.7628227168518806e-06,19.8058415227722,6.39271701736843e-05,-4.1583259997310565e-05,-3.1728407026697725e-05,-0.0002265234432163,5.888831059906412e-05,16104,0.0284494739025831,0.0839987993240356,0.0839987993240356,0.0839987993240356,0.0,0.0,0.0010471976129338,0.0010471974965184,0.0,0.0839987993240356,0.5651858015523288,1.056697820251597,0.0010874991980787,0.0388574573349305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1644933711737394,0.0,0.1644933711737394,0.0997235461851634,0.0284494739025831,191.70575829282575
