time,step,group_id,vortex_centroid_x,vortex_centroid_y,vortex_centroid_z,major_radius,tube_circulation,linear_impulse_x,linear_impulse_y,linear_impulse_z,linear_impulse_magnitude,impulse_radius,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,max_vortex_strength_magnitude
0.0,0,0,-0.5000000024476624,5.433952188588764e-18,5.187209102584878e-18,1.0026229567707678,3.1333739452604346,9.88688537258728,3.469446951953614e-17,1.748276003132876e-18,9.88688537258728,1.0017509297379863,19.739208777521675,0.0,0.0,0.0,0.10040158033370972
0.0,0,1,0.500000002447662,5.433952188588764e-18,5.187209102584878e-18,1.0026229567707678,3.1333739452604346,9.88688537258728,-1.3877787807814457e-17,3.333921680392926e-18,9.88688537258728,1.0017509297379863,19.739208777521675,0.0,0.0,0.0,0.10040158033370972
0.075,10,0,-0.41015318671734163,6.140300186108733e-07,-2.8519599809686116e-07,0.9808775822883046,3.1333892630565443,9.462718905075466,6.5917589195577465e-06,-5.770432461161956e-06,9.462718905079521,0.9800244409780906,19.31118961815988,-2.730024741754919e-06,-3.2100905016374526e-06,1.4919098787702367e-05,0.09835838036368402
0.075,10,1,0.5870743926876334,9.941995432956421e-07,-2.80150597598566e-07,1.0237145491355737,3.134306448511308,10.311375047525098,-4.653321315784212e-06,-1.7263329999947587e-06,10.311375047526294,1.0229310913829681,20.16044899678563,6.408343861570576e-07,1.616682469052222e-05,7.590337956053794e-06,0.10267226798325223
0.15,20,0,-0.31836620793796233,6.811433391861551e-07,-4.310992658755988e-07,0.9586970379638009,3.132723725237353,9.037063513953964,9.558585559596656e-06,-9.23189380953508e-06,9.037063513963734,0.9577981198124558,18.870497502612054,-2.2907421016946095e-06,-1.2174958972765992e-05,2.2378377364518087e-05,0.0962218878347153
0.15,20,1,0.6706021091340465,6.895001239133508e-07,-6.95346978911173e-07,1.0445554021242742,3.13466992447957,10.737116583782703,-9.212627558776198e-07,-1.3496587082849973e-05,10.737116583791225,1.043793287117396,20.57326238118183,3.1521995093536717e-07,2.5616368907160902e-05,4.679703038856786e-06,0.10482426578180028
0.225,30,0,-0.22405369993503144,5.440884436574313e-07,-8.853295346208205e-07,0.9359810750808389,3.131341801139551,8.608835312181503,7.925150832567713e-06,-7.572236162128729e-06,8.60883531218848,0.9349685098238385,18.415241201675357,-7.730853012755112e-07,-1.4292272532911987e-05,2.6551055049228722e-05,0.0933563981669753
0.225,30,1,0.7510066980675706,1.6785285223311857e-06,-7.033093524140016e-07,1.0652231436918793,3.134499641278316,11.16543605909367,-1.0561551536012491e-05,-2.651578405790798e-05,11.16543605913015,1.0644297348156162,20.9791885625297,2.9955568615295386e-07,2.1373705483745953e-05,1.4399720297930685e-05,0.10646826712960468
0.3,40,0,-0.12687699769161,1.0099712454203099e-06,-9.894526996595666e-07,0.9121613681608851,3.1315638413320723,8.177033704148583,-5.30506734907542e-06,-1.472829625201546e-05,8.177033704163568,0.9111984456633393,17.947865787261755,-5.487086862550339e-07,-2.253089537029851e-05,3.6520458223776586e-05,0.09217262022522717
0.3,40,1,0.8284045903353383,1.6962893030211324e-06,-1.2887453708897601e-06,1.0854147027120427,3.1354390373494114,11.5973829260069,-9.687153276315967e-06,-4.35829613580994e-05,11.597382926092838,1.084716042165705,21.38326064199792,1.8178049031349064e-06,2.4953758192780562e-05,8.840005853882893e-06,0.1095753822469118
0.375,50,0,-0.026305224037785076,1.2234941333418422e-06,-1.4218248334935535e-06,0.8877195053736121,3.130303305560136,7.740330329594221,-1.1528094299175011e-05,-2.036775492529262e-05,7.740330329629604,0.8866402449130477,17.459912008367482,2.6239492892377037e-07,-3.0600410891423735e-05,4.493600097976724e-05,0.08867225331600359
0.375,50,1,0.9028846361880876,2.02973770362992e-06,-1.7719382005912968e-06,1.1056728637994422,3.135456784575218,12.034221322581343,-9.930983222707592e-06,-4.667329760406287e-05,12.03422132267595,1.1049449754783824,21.78248073840197,6.438922266825513e-07,2.945866275621406e-05,1.2814015131423773e-05,0.11009191884843063
0.45,60,0,0.07820501048140296,1.287925743805389e-06,-2.4671620732472276e-06,0.8621423112206121,3.129477813173101,7.298323714819289,-2.2379440438488425e-05,-2.7179375281036785e-05,7.2983237149042095,0.8610381882074246,16.952381009019867,-3.99432519004872e-08,-2.6457033416082965e-05,5.000478793526497e-05,0.08497101787943973
0.45,60,1,0.9745736879373981,2.2503677328291143e-06,-2.3446905911698157e-06,1.1255316087181286,3.136515681711804,12.476151253945192,-1.0641992318857586e-05,-4.71042620742242e-05,12.476151254038653,1.1249302604293596,22.181199480360316,-1.234550681118024e-06,2.9602579080467706e-05,1.0349514877106003e-05,0.1127511900300501
0.525,70,0,0.1879116452868741,1.0138420538373722e-06,-2.6669281023112972e-06,0.8356073789342022,3.1272722114615665,6.849926687163785,-4.041120608733727e-05,-2.7498673157735113e-05,6.8499266873381845,0.834388094098509,16.419042255723923,-5.231550133681304e-07,-4.1660120483455465e-05,5.788157736219546e-05,0.08562009728976411
0.525,70,1,1.0433107433992688,2.592838175143591e-06,-3.791861519531191e-06,1.1458640109219373,3.1353150127979275,12.92437662823942,7.835360152665105e-07,-4.151232770008835e-05,12.924376628306112,1.1451054224095654,22.573251991262513,-2.150237998472409e-06,4.489434372967338e-05,9.109546319441275e-06,0.1166192478878026
0.6,80,0,0.3023883562286003,9.355476392603138e-07,-3.7567457282695244e-06,0.8075094763075461,3.1276275337417174,6.3974810253345735,-4.845092305763942e-05,-3.5147367405054826e-05,6.397481025614592,0.8062996633451172,15.868742891627141,-3.913205439862958e-07,-4.171516462248004e-05,6.369093330249598e-05,0.08176978749550888
0.6,80,1,1.1094094285641583,2.8606907691379587e-06,-4.417939062416038e-06,1.1653741471917445,3.1368644542263557,13.376855083145283,5.835772296912837e-06,-3.883363484708792e-05,13.376855083202924,1.1647776188970373,22.96894251088009,-2.64620020796677e-06,4.9498834643668665e-05,3.0727530389018654e-06,0.1149417087489128
