time,step,group_id,vortex_centroid_x,vortex_centroid_y,vortex_centroid_z,major_radius,tube_circulation,linear_impulse_x,linear_impulse_magnitude,impulse_radius,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,max_vortex_strength_magnitude
0.0,0,0,1.8513183118600874e-18,0.02311065231965587,-0.0238069307268866,1.0031255633011558,3.483967270404272,9.902615272303496,9.902615272303496,0.9019255075036309,21.95883183238086,0.0,-4.187057811577688e-09,-5.225501809036359e-09,0.012041036253640938
0.1,5,0,0.09488460460055594,0.033597330127332854,-0.030042365053348757,1.0026142795789892,3.5925541972350112,9.911763692004856,9.911764036339981,0.8759188397439295,22.631695053476957,0.0011937478313384098,0.0018080982910646526,0.010682629986348502,0.011607226347742498
0.2,10,0,0.18946928998617876,0.04217016988597285,-0.03310506724183532,1.0015419490474087,3.6698285122260983,9.943252792750242,9.94325484112001,0.8611202117859127,23.09376717682258,0.0022759914918495383,0.013793436432436579,0.018574800046977202,0.015187236322345064
0.3,15,0,0.28311284799598957,0.05307231569102966,-0.03889173774419338,1.0002672986168135,3.798380789469426,9.930461966495633,9.930463988164176,0.8319650770234739,23.872309697643686,-0.0018407899208900957,-0.0015453324875949193,0.024249387351090945,0.01782654232763601
0.4,20,0,0.3762426392119861,0.07338095138175656,-0.04761247168380958,0.9976339359926604,3.9757913306167514,9.942161097319763,9.942177016196664,0.7978786098664079,24.92152789472906,0.011100443281954142,-0.002286731678324827,0.03652376394683188,0.024121543875410923
0.5,25,0,0.468257317954893,0.0916974000074513,-0.058665010230697305,0.9970600707968551,4.1494106129086505,9.964524516701347,9.96455910962714,0.7666558910827015,25.99486738582234,0.0034422584652240573,0.01821299396210918,0.05358083067589803,0.026569982779802916
0.6,30,0,0.5595588474231636,0.12127904022712627,-0.07395982863356586,0.9938818286339876,4.41672880376612,9.977136248172261,9.977205543309518,0.7234750571306581,27.58133938405469,0.06557689199831529,-0.001875369855220299,0.037294022115304415,0.04744724237123406
0.7,35,0,0.6483195196041024,0.15705951826625272,-0.09154062225516524,0.9871707990730045,4.782315472529895,9.97598177702706,9.975997415256188,0.6726295353398887,29.662680245568414,0.03016243722000045,0.06646812697783844,0.02404019019155612,0.0762990696930475
0.8,40,0,0.7382464719880772,0.19614458276886265,-0.10877331678860207,0.9739341136763174,5.2719237233149805,9.994529632179855,9.99498867508099,0.6196318565461088,32.261054913458054,-0.06178561938605753,0.12330608750238525,0.0657117377081553,0.09969278086106909
0.9,45,0,0.8306602743842759,0.2636129749517818,-0.13239601673021067,0.9609337528813505,6.022422782875266,10.057784040390985,10.059591489686335,0.5533065144264273,36.36173161674911,-0.39879955177850235,-0.013372592376413195,0.12265592384575719,0.21722224630327688
